Time,mean,climatology,anomaly
1326931200,NaN,23.685058,NaN
1327017600,NaN,23.668264,NaN
1327104000,22.559999,23.651471,-1.091471
1327190400,22.757500,23.634677,-0.877178
1327276800,22.650000,23.617884,-0.967884
1327363200,23.045000,23.601090,-0.556090
1327449600,23.510000,23.584296,-0.074296
1327536000,NaN,23.567503,NaN
1327622400,NaN,23.550709,NaN
1327708800,23.894999,23.533916,0.361083
1327795200,NaN,23.517122,NaN
1327881600,23.850000,23.500328,0.349672
1327968000,23.764999,23.483535,0.281465
1328054400,23.885000,23.466741,0.418259
1328140800,NaN,23.449948,NaN
1328227200,23.894999,23.433154,0.461845
1328313600,NaN,23.416360,NaN
1328400000,NaN,23.399567,NaN
1328486400,NaN,23.382773,NaN
1328572800,NaN,23.365980,NaN
1328659200,NaN,23.349186,NaN
1328745600,NaN,23.332392,NaN
1328832000,24.324999,23.315599,1.009400
1328918400,NaN,23.298805,NaN
1329004800,NaN,23.282011,NaN
1329091200,23.775000,23.265218,0.509782
1329264000,24.199999,23.231631,0.968368
1329350400,24.609999,23.260446,1.349553
1329436800,NaN,23.289261,NaN
1329609600,24.244999,23.346891,0.898108
1329696000,23.894999,23.375706,0.519293
1329782400,23.869999,23.404521,0.465478
1329868800,NaN,23.433336,NaN
1329955200,NaN,23.462151,NaN
1330041600,23.880001,23.490966,0.389035
1330128000,NaN,23.519781,NaN
1330214400,NaN,23.548596,NaN
1330300800,NaN,23.577411,NaN
1330387200,24.514999,23.606226,0.908774
1330473600,24.404999,23.635041,0.769958
1330560000,24.597500,23.663856,0.933644
1330646400,24.859999,23.692671,1.167328
1330732800,24.209999,23.721486,0.488513
1330819200,24.750000,23.750301,0.999699
1330905600,23.904999,23.779116,0.125883
1330992000,23.799999,23.807931,-0.007932
1331078400,23.455000,23.836746,-0.381746
1331164800,23.539999,23.865561,-0.325562
1331251200,24.234999,23.894376,0.340623
1331424000,24.775000,23.952006,0.822994
1331510400,24.160000,23.980821,0.179179
1331596800,NaN,24.009636,NaN
1331683200,24.945000,24.038451,0.906549
1331769600,25.039999,24.074235,0.965764
1331856000,24.754999,24.110019,0.644980
1331942400,25.045000,24.145803,0.899197
1332028800,25.045000,24.181588,0.863412
1332115200,25.014999,24.217372,0.797628
1332201600,NaN,24.253156,NaN
1332288000,24.875000,24.288940,0.586060
1332374400,24.939999,24.324724,0.615274
1332460800,24.994999,24.360508,0.634491
1332547200,24.650000,24.396292,0.253707
1332806400,25.004999,24.503645,0.501354
1332892800,NaN,24.539429,NaN
1332979200,25.455000,24.575213,0.879787
1333065600,NaN,24.610997,NaN
1333152000,25.559999,24.646781,0.913218
1333238400,NaN,24.682566,NaN
1333324800,25.465000,24.718350,0.746650
1333411200,25.512501,24.754134,0.758367
1333497600,NaN,24.789918,NaN
1333584000,NaN,24.825702,NaN
1333670400,25.189999,24.861486,0.328512
1333756800,25.127499,24.897270,0.230228
1333843200,25.100000,24.933054,0.166946
1333929600,24.814999,24.968839,-0.153840
1334016000,25.154999,25.004623,0.150376
1334102400,25.004999,25.040407,-0.035408
1334188800,24.920000,25.076191,-0.156191
1334275200,25.330000,25.111975,0.218025
1334361600,25.064999,25.147759,-0.082761
1334448000,NaN,25.192200,NaN
1334534400,25.420000,25.236640,0.183360
1334620800,NaN,25.281081,NaN
1334707200,25.385000,25.325521,0.059479
1334793600,NaN,25.369962,NaN
1334880000,25.927498,25.414402,0.513096
1334966400,NaN,25.458843,NaN
1335052800,25.519999,25.503283,0.016715
1335139200,25.189999,25.547724,-0.357725
1335225600,NaN,25.592164,NaN
1335312000,24.324999,25.636604,-1.311606
1335398400,24.677500,25.681045,-1.003545
1335484800,24.535000,25.725485,-1.190486
1335571200,24.820000,25.769926,-0.949926
1335657600,NaN,25.814366,NaN
1335744000,NaN,25.858807,NaN
1335830400,NaN,25.903247,NaN
1335916800,NaN,25.947688,NaN
1336003200,24.684999,25.992128,-1.307129
1336089600,25.330000,26.036569,-0.706569
1336176000,25.705000,26.081009,-0.376009
1336262400,25.869999,26.125450,-0.255451
1336348800,25.959999,26.169890,-0.209891
1336435200,25.639999,26.214331,-0.574331
1336521600,26.064999,26.258771,-0.193772
1336608000,NaN,26.303212,NaN
1336694400,26.162498,26.347652,-0.185154
1336780800,25.959999,26.392093,-0.432093
1336867200,26.340000,26.436533,-0.096533
1336953600,26.535000,26.480973,0.054026
1337040000,NaN,26.550159,NaN
1337126400,NaN,26.619344,NaN
1337212800,NaN,26.688529,NaN
1337299200,26.047499,26.757714,-0.710215
1337385600,NaN,26.826899,NaN
1337472000,NaN,26.896085,NaN
1337558400,26.615000,26.965270,-0.350270
1337644800,NaN,27.034455,NaN
1337731200,26.369999,27.103640,-0.733641
1337817600,26.205000,27.172825,-0.967825
1337904000,26.965000,27.242010,-0.277010
1337990400,27.207500,27.311196,-0.103695
1338076800,27.317499,27.380381,-0.062882
1338163200,27.830000,27.449566,0.380434
1338249600,28.219999,27.518751,0.701248
1338336000,28.334999,27.587936,0.747063
1338422400,NaN,27.657121,NaN
1338508800,NaN,27.726307,NaN
1338595200,NaN,27.795492,NaN
1338681600,NaN,27.864677,NaN
1338768000,27.070000,27.933862,-0.863862
1338854400,NaN,28.003047,NaN
1338940800,NaN,28.072232,NaN
1339027200,NaN,28.141418,NaN
1339113600,NaN,28.210603,NaN
1339200000,NaN,28.279788,NaN
1339286400,27.974998,28.348973,-0.373975
1339372800,28.980000,28.418158,0.561841
1339459200,28.684999,28.487343,0.197656
1339545600,28.025000,28.556529,-0.531529
1339632000,28.514999,28.625714,-0.110714
1339718400,28.264999,28.664605,-0.399606
1339804800,28.885000,28.703496,0.181504
1339891200,NaN,28.742387,NaN
1339977600,27.189999,28.781279,-1.591280
1340064000,NaN,28.820170,NaN
1340150400,NaN,28.859061,NaN
1340236800,NaN,28.897952,NaN
1340409600,NaN,28.975735,NaN
1340496000,NaN,29.014626,NaN
1340582400,NaN,29.053517,NaN
1340668800,NaN,29.092409,NaN
1340755200,27.379999,29.131300,-1.751301
1340841600,NaN,29.170191,NaN
1340928000,27.369999,29.209082,-1.839083
1341014400,27.980000,29.247974,-1.267974
1341100800,28.174999,29.286865,-1.111866
1341187200,27.809999,29.325756,-1.515757
1341273600,NaN,29.364647,NaN
1341360000,28.525000,29.403538,-0.878539
1341446400,NaN,29.442430,NaN
1341532800,27.654999,29.481321,-1.826322
1341619200,28.049999,29.520212,-1.470213
1341705600,28.367500,29.559103,-1.191603
1341792000,28.902500,29.597995,-0.695494
1341878400,28.682499,29.636886,-0.954387
1341964800,NaN,29.675777,NaN
1342051200,28.295000,29.714668,-1.419668
1342137600,28.504999,29.753560,-1.248560
1342224000,NaN,29.792451,NaN
1342310400,NaN,29.805035,NaN
1342396800,28.424999,29.817619,-1.392620
1342483200,NaN,29.830203,NaN
1342569600,29.292500,29.842788,-0.550288
1342656000,NaN,29.855372,NaN
1342742400,28.125000,29.867956,-1.742956
1342828800,29.347500,29.880540,-0.533041
1342915200,NaN,29.893125,NaN
1343001600,28.240000,29.905709,-1.665709
1343088000,NaN,29.918293,NaN
1343174400,27.724998,29.930877,-2.205879
1343260800,NaN,29.943461,NaN
1343347200,29.400000,29.956046,-0.556046
1343433600,29.400000,29.968630,-0.568630
1343520000,29.542500,29.981214,-0.438715
1343606400,NaN,29.993798,NaN
1343692800,29.375000,30.006383,-0.631383
1343779200,30.389999,30.018967,0.371033
1343865600,30.247499,30.031551,0.215948
1343952000,30.525000,30.044135,0.480864
1344038400,31.295000,30.056720,1.238281
1344124800,30.762501,30.069304,0.693197
1344211200,NaN,30.081888,NaN
1344297600,NaN,30.094472,NaN
1344384000,28.760000,30.107056,-1.347056
1344470400,NaN,30.119641,NaN
1344556800,29.689999,30.132225,-0.442226
1344643200,NaN,30.144809,NaN
1344729600,NaN,30.157393,NaN
1344816000,30.039999,30.169978,-0.129979
1344902400,30.500000,30.182562,0.317438
1344988800,NaN,30.168110,NaN
1345075200,28.660000,30.153659,-1.493659
1345161600,30.365000,30.139208,0.225792
1345248000,30.230000,30.124757,0.105243
1345334400,29.629999,30.110305,-0.480306
1345420800,30.127499,30.095854,0.031644
1345507200,NaN,30.081403,NaN
1345593600,NaN,30.066952,NaN
1345680000,29.705000,30.052500,-0.347500
1345766400,28.794998,30.038049,-1.243051
1345852800,28.490000,30.023598,-1.533598
1345939200,NaN,30.009147,NaN
1346025600,NaN,29.994695,NaN
1346112000,NaN,29.980244,NaN
1346198400,NaN,29.965793,NaN
1346284800,28.135000,29.951341,-1.816341
1346371200,NaN,29.936890,NaN
1346457600,NaN,29.922439,NaN
1346544000,28.269999,29.907988,-1.637989
1346630400,28.254999,29.893536,-1.638537
1346716800,28.282499,29.879085,-1.596586
1346803200,29.740000,29.864634,-0.124634
1346889600,29.067499,29.850183,-0.782683
1346976000,29.480000,29.835731,-0.355732
1347062400,29.455000,29.821280,-0.366280
1347148800,29.500000,29.806829,-0.306829
1347235200,29.205000,29.792378,-0.587378
1347321600,28.959999,29.777926,-0.817927
1347408000,28.680000,29.763475,-1.083475
1347494400,NaN,29.749024,NaN
1347580800,NaN,29.734572,NaN
1347667200,NaN,29.691977,NaN
1347753600,28.855000,29.649381,-0.794381
1347840000,28.055000,29.606785,-1.551785
1347926400,28.849998,29.564189,-0.714191
1348012800,NaN,29.521593,NaN
1348099200,NaN,29.478998,NaN
1348185600,NaN,29.436402,NaN
1348272000,NaN,29.393806,NaN
1348358400,NaN,29.351210,NaN
1348444800,NaN,29.308614,NaN
1348531200,NaN,29.266018,NaN
1348617600,NaN,29.223423,NaN
1348704000,29.275000,29.180827,0.094173
1348790400,28.529999,29.138231,-0.608232
1348876800,28.570000,29.095635,-0.525635
1348963200,NaN,29.053039,NaN
1349049600,28.949999,29.010443,-0.060445
1349136000,NaN,28.967848,NaN
1349222400,NaN,28.925252,NaN
1349308800,28.707500,28.882656,-0.175156
1349395200,28.305000,28.840060,-0.535060
1349481600,NaN,28.797464,NaN
1349568000,29.539999,28.754869,0.785130
1349654400,29.275000,28.712273,0.562727
1349740800,28.549999,28.669677,-0.119678
1349827200,28.275000,28.627081,-0.352081
1349913600,NaN,28.584485,NaN
1350000000,27.955000,28.541889,-0.586890
1350086400,27.090000,28.499294,-1.409293
1350172800,26.939999,28.456698,-1.516699
1350259200,27.379999,28.391668,-1.011668
1350345600,27.020000,28.326637,-1.306637
1350432000,28.094999,28.261607,-0.166608
1350518400,NaN,28.196577,NaN
1350604800,27.894999,28.131546,-0.236548
1350691200,28.074999,28.066516,0.008483
1350777600,27.619999,28.001486,-0.381487
1350864000,27.369999,27.936455,-0.566456
1350950400,26.719999,27.871425,-1.151426
1351036800,26.639999,27.806395,-1.166395
1351123200,NaN,27.741364,NaN
1351209600,NaN,27.676334,NaN
1351296000,26.650000,27.611304,-0.961304
1351382400,26.455000,27.546273,-1.091273
1351468800,NaN,27.481243,NaN
1351555200,NaN,27.416213,NaN
1351641600,25.809999,27.351182,-1.541183
1351728000,26.135000,27.286152,-1.151152
1351814400,25.779999,27.221122,-1.441123
1351900800,NaN,27.156091,NaN
1351987200,26.049999,27.091061,-1.041062
1352073600,NaN,27.026031,NaN
1352160000,NaN,26.961001,NaN
1352246400,25.324999,26.895970,-1.570971
1352332800,NaN,26.830940,NaN
1352419200,24.984999,26.765910,-1.780911
1352505600,24.750000,26.700879,-1.950879
1352592000,25.372499,26.635849,-1.263349
1352678400,25.277500,26.570819,-1.293318
1352764800,25.459999,26.505788,-1.045789
1352851200,NaN,26.440758,NaN
1352937600,25.584999,26.394699,-0.809700
1353024000,24.567499,26.348641,-1.781142
1353110400,NaN,26.302582,NaN
1353196800,NaN,26.256524,NaN
1353283200,25.094999,26.210465,-1.115466
1353369600,NaN,26.164406,NaN
1353456000,NaN,26.118348,NaN
1353542400,24.154999,26.072289,-1.917290
1353628800,24.744999,26.026230,-1.281232
1353715200,24.660000,25.980172,-1.320172
1353801600,NaN,25.934113,NaN
1353888000,24.192499,25.888055,-1.695555
1353974400,NaN,25.841996,NaN
1354060800,NaN,25.795937,NaN
1354147200,24.494999,25.749879,-1.254880
1354233600,24.709999,25.703820,-0.993821
1354320000,25.320000,25.657761,-0.337762
1354406400,25.247499,25.611703,-0.364203
1354492800,25.314999,25.565644,-0.250646
1354579200,25.465000,25.519586,-0.054585
1354665600,NaN,25.473527,NaN
1354752000,NaN,25.427468,NaN
1354838400,25.062500,25.381410,-0.318910
1354924800,24.865000,25.335351,-0.470351
1355011200,25.252499,25.289293,-0.036794
1355097600,25.420000,25.243234,0.176766
1355184000,25.057499,25.197175,-0.139676
1355270400,NaN,25.151117,NaN
1355356800,25.312500,25.105058,0.207442
1355443200,NaN,25.058999,NaN
1355529600,25.525000,25.018163,0.506837
1355616000,25.434999,24.977326,0.457673
1355702400,NaN,24.936490,NaN
1355788800,25.445000,24.895654,0.549346
1355875200,25.365000,24.854817,0.510183
1355961600,25.309999,24.813981,0.496019
1356048000,25.584999,24.773144,0.811855
1356134400,24.989998,24.732308,0.257690
1356220800,24.184999,24.691471,-0.506472
1356307200,24.215000,24.650635,-0.435635
1356393600,NaN,24.609798,NaN
1356480000,NaN,24.568962,NaN
1356566400,NaN,24.528125,NaN
1356652800,NaN,24.487289,NaN
1356739200,24.292500,24.446452,-0.153953
1356825600,23.559999,24.405616,-0.845616
1356912000,NaN,24.364779,NaN
1356998400,NaN,24.323943,NaN
1357084800,23.774998,24.283107,-0.508109
