Date,Mean,Climatology,Anomaly
2012-01-19,NaN,23.685058,NaN
2012-01-20,NaN,23.668264,NaN
2012-01-21,22.559999,23.651471,-1.091471
2012-01-22,22.757500,23.634677,-0.877178
2012-01-23,22.650000,23.617884,-0.967884
2012-01-24,23.045000,23.601090,-0.556090
2012-01-25,23.510000,23.584296,-0.074296
2012-01-26,NaN,23.567503,NaN
2012-01-27,NaN,23.550709,NaN
2012-01-28,23.894999,23.533916,0.361083
2012-01-29,NaN,23.517122,NaN
2012-01-30,23.850000,23.500328,0.349672
2012-01-31,23.764999,23.483535,0.281465
2012-02-01,23.885000,23.466741,0.418259
2012-02-02,NaN,23.449948,NaN
2012-02-03,23.894999,23.433154,0.461845
2012-02-04,NaN,23.416360,NaN
2012-02-05,NaN,23.399567,NaN
2012-02-06,NaN,23.382773,NaN
2012-02-07,NaN,23.365980,NaN
2012-02-08,NaN,23.349186,NaN
2012-02-09,NaN,23.332392,NaN
2012-02-10,24.324999,23.315599,1.009400
2012-02-11,NaN,23.298805,NaN
2012-02-12,NaN,23.282011,NaN
2012-02-13,23.775000,23.265218,0.509782
2012-02-15,24.199999,23.231631,0.968368
2012-02-16,24.609999,23.260446,1.349553
2012-02-17,NaN,23.289261,NaN
2012-02-19,24.244999,23.346891,0.898108
2012-02-20,23.894999,23.375706,0.519293
2012-02-21,23.869999,23.404521,0.465478
2012-02-22,NaN,23.433336,NaN
2012-02-23,NaN,23.462151,NaN
2012-02-24,23.880001,23.490966,0.389035
2012-02-25,NaN,23.519781,NaN
2012-02-26,NaN,23.548596,NaN
2012-02-27,NaN,23.577411,NaN
2012-02-28,24.514999,23.606226,0.908774
2012-02-29,24.404999,23.635041,0.769958
2012-03-01,24.597500,23.663856,0.933644
2012-03-02,24.859999,23.692671,1.167328
2012-03-03,24.209999,23.721486,0.488513
2012-03-04,24.750000,23.750301,0.999699
2012-03-05,23.904999,23.779116,0.125883
2012-03-06,23.799999,23.807931,-0.007932
2012-03-07,23.455000,23.836746,-0.381746
2012-03-08,23.539999,23.865561,-0.325562
2012-03-09,24.234999,23.894376,0.340623
2012-03-11,24.775000,23.952006,0.822994
2012-03-12,24.160000,23.980821,0.179179
2012-03-13,NaN,24.009636,NaN
2012-03-14,24.945000,24.038451,0.906549
2012-03-15,25.039999,24.074235,0.965764
2012-03-16,24.754999,24.110019,0.644980
2012-03-17,25.045000,24.145803,0.899197
2012-03-18,25.045000,24.181588,0.863412
2012-03-19,25.014999,24.217372,0.797628
2012-03-20,NaN,24.253156,NaN
2012-03-21,24.875000,24.288940,0.586060
2012-03-22,24.939999,24.324724,0.615274
2012-03-23,24.994999,24.360508,0.634491
2012-03-24,24.650000,24.396292,0.253707
2012-03-27,25.004999,24.503645,0.501354
2012-03-28,NaN,24.539429,NaN
2012-03-29,25.455000,24.575213,0.879787
2012-03-30,NaN,24.610997,NaN
2012-03-31,25.559999,24.646781,0.913218
2012-04-01,NaN,24.682566,NaN
2012-04-02,25.465000,24.718350,0.746650
2012-04-03,25.512501,24.754134,0.758367
2012-04-04,NaN,24.789918,NaN
2012-04-05,NaN,24.825702,NaN
2012-04-06,25.189999,24.861486,0.328512
2012-04-07,25.127499,24.897270,0.230228
2012-04-08,25.100000,24.933054,0.166946
2012-04-09,24.814999,24.968839,-0.153840
2012-04-10,25.154999,25.004623,0.150376
2012-04-11,25.004999,25.040407,-0.035408
2012-04-12,24.920000,25.076191,-0.156191
2012-04-13,25.330000,25.111975,0.218025
2012-04-14,25.064999,25.147759,-0.082761
2012-04-15,NaN,25.192200,NaN
2012-04-16,25.420000,25.236640,0.183360
2012-04-17,NaN,25.281081,NaN
2012-04-18,25.385000,25.325521,0.059479
2012-04-19,NaN,25.369962,NaN
2012-04-20,25.927498,25.414402,0.513096
2012-04-21,NaN,25.458843,NaN
2012-04-22,25.519999,25.503283,0.016715
2012-04-23,25.189999,25.547724,-0.357725
2012-04-24,NaN,25.592164,NaN
2012-04-25,24.324999,25.636604,-1.311606
2012-04-26,24.677500,25.681045,-1.003545
2012-04-27,24.535000,25.725485,-1.190486
2012-04-28,24.820000,25.769926,-0.949926
2012-04-29,NaN,25.814366,NaN
2012-04-30,NaN,25.858807,NaN
2012-05-01,NaN,25.903247,NaN
2012-05-02,NaN,25.947688,NaN
2012-05-03,24.684999,25.992128,-1.307129
2012-05-04,25.330000,26.036569,-0.706569
2012-05-05,25.705000,26.081009,-0.376009
2012-05-06,25.869999,26.125450,-0.255451
2012-05-07,25.959999,26.169890,-0.209891
2012-05-08,25.639999,26.214331,-0.574331
2012-05-09,26.064999,26.258771,-0.193772
2012-05-10,NaN,26.303212,NaN
2012-05-11,26.162498,26.347652,-0.185154
2012-05-12,25.959999,26.392093,-0.432093
2012-05-13,26.340000,26.436533,-0.096533
2012-05-14,26.535000,26.480973,0.054026
2012-05-15,NaN,26.550159,NaN
2012-05-16,NaN,26.619344,NaN
2012-05-17,NaN,26.688529,NaN
2012-05-18,26.047499,26.757714,-0.710215
