Time,mean,climatology,anomaly
1326931200,NaN,21.690190,NaN
1327017600,20.994999,21.676623,-0.681624
1327104000,21.809999,21.663056,0.146944
1327190400,22.404999,21.649489,0.755510
1327276800,21.805000,21.635922,0.169079
1327363200,NaN,21.622355,NaN
1327449600,21.824999,21.608788,0.216211
1327536000,NaN,21.595221,NaN
1327622400,21.195000,21.581654,-0.386654
1327708800,NaN,21.568087,NaN
1327795200,20.509998,21.554519,-1.044521
1327881600,NaN,21.540952,NaN
1327968000,NaN,21.527385,NaN
1328054400,NaN,21.513818,NaN
1328140800,21.594999,21.500251,0.094748
1328227200,NaN,21.486684,NaN
1328313600,21.750000,21.473117,0.276883
1328400000,NaN,21.459550,NaN
1328486400,NaN,21.445983,NaN
1328572800,21.809999,21.432416,0.377583
1328659200,NaN,21.418849,NaN
1328745600,NaN,21.405282,NaN
1328832000,NaN,21.391715,NaN
1328918400,NaN,21.378148,NaN
1329004800,NaN,21.364581,NaN
1329091200,NaN,21.351014,NaN
1329264000,NaN,21.323880,NaN
1329350400,NaN,21.335604,NaN
1329436800,NaN,21.347327,NaN
1329609600,NaN,21.370774,NaN
1329696000,NaN,21.382498,NaN
1329782400,NaN,21.394221,NaN
1329868800,NaN,21.405945,NaN
1329955200,21.654999,21.417668,0.237331
1330041600,NaN,21.429392,NaN
1330128000,NaN,21.441115,NaN
1330214400,NaN,21.452838,NaN
1330300800,NaN,21.464562,NaN
1330387200,NaN,21.476285,NaN
1330473600,NaN,21.488009,NaN
1330560000,NaN,21.499732,NaN
1330646400,NaN,21.511456,NaN
1330732800,20.387501,21.523179,-1.135679
1330819200,21.324999,21.534903,-0.209904
1330905600,21.000000,21.546626,-0.546626
1330992000,20.379999,21.558350,-1.178351
1331078400,NaN,21.570073,NaN
1331164800,21.260000,21.581797,-0.321797
1331251200,NaN,21.593520,NaN
1331424000,NaN,21.616967,NaN
1331510400,21.334999,21.628691,-0.293692
1331596800,21.840000,21.640414,0.199586
1331683200,22.014999,21.652138,0.362862
1331769600,22.387501,21.686685,0.700815
1331856000,NaN,21.721233,NaN
1331942400,NaN,21.755781,NaN
1332028800,NaN,21.790328,NaN
1332115200,NaN,21.824876,NaN
1332201600,22.967499,21.859424,1.108075
1332288000,NaN,21.893971,NaN
1332374400,NaN,21.928519,NaN
1332460800,21.877499,21.963067,-0.085568
1332547200,21.907499,21.997614,-0.090115
1332806400,22.000000,22.101257,-0.101257
1332892800,NaN,22.135805,NaN
1332979200,23.199999,22.170352,1.029646
1333065600,23.010000,22.204900,0.805100
1333152000,NaN,22.239448,NaN
1333238400,22.577499,22.273995,0.303504
1333324800,NaN,22.308543,NaN
1333411200,23.469999,22.343091,1.126909
1333497600,NaN,22.377638,NaN
1333584000,NaN,22.412186,NaN
1333670400,NaN,22.446734,NaN
1333756800,24.097500,22.481281,1.616219
1333843200,NaN,22.515829,NaN
1333929600,23.820000,22.550377,1.269623
1334016000,23.900000,22.584924,1.315075
1334102400,24.244999,22.619472,1.625527
1334188800,NaN,22.654020,NaN
1334275200,NaN,22.688567,NaN
1334361600,23.782499,22.723115,1.059384
1334448000,NaN,22.794371,NaN
1334534400,NaN,22.865628,NaN
1334620800,NaN,22.936884,NaN
1334707200,NaN,23.008140,NaN
1334793600,NaN,23.079397,NaN
1334880000,NaN,23.150653,NaN
1334966400,NaN,23.221909,NaN
1335052800,23.340000,23.293166,0.046834
1335139200,22.969999,23.364422,-0.394423
1335225600,22.934999,23.435679,-0.500679
1335312000,23.240000,23.506935,-0.266935
1335398400,23.519999,23.578191,-0.058193
1335484800,NaN,23.649448,NaN
1335571200,23.170000,23.720704,-0.550704
1335657600,23.889999,23.791960,0.098039
1335744000,NaN,23.863217,NaN
1335830400,NaN,23.934473,NaN
1335916800,24.442499,24.005729,0.436770
1336003200,NaN,24.076986,NaN
1336089600,NaN,24.148242,NaN
1336176000,24.859999,24.219499,0.640500
1336262400,NaN,24.290755,NaN
1336348800,25.809999,24.362011,1.447988
1336435200,NaN,24.433268,NaN
1336521600,NaN,24.504524,NaN
1336608000,25.320000,24.575780,0.744219
1336694400,NaN,24.647037,NaN
1336780800,NaN,24.718293,NaN
1336867200,NaN,24.789550,NaN
1336953600,24.705000,24.860806,-0.155806
1337040000,25.637501,24.968646,0.668854
1337126400,NaN,25.076487,NaN
1337212800,25.394999,25.184328,0.210671
1337299200,25.732500,25.292168,0.440332
1337385600,25.285000,25.400009,-0.115009
1337472000,25.644999,25.507849,0.137149
1337558400,25.994999,25.615690,0.379309
