Date,Mean,Climatology,Anomaly
2012-01-19,NaN,22.270359,NaN
2012-01-20,NaN,22.247188,NaN
2012-01-21,NaN,22.224016,NaN
2012-01-22,NaN,22.200845,NaN
2012-01-23,NaN,22.177673,NaN
2012-01-24,NaN,22.154502,NaN
2012-01-25,21.875000,22.131331,-0.256331
2012-01-26,NaN,22.108159,NaN
2012-01-27,21.545000,22.084988,-0.539988
2012-01-28,21.227501,22.061816,-0.834315
2012-01-29,21.525000,22.038645,-0.513645
2012-01-30,NaN,22.015473,NaN
2012-01-31,NaN,21.992302,NaN
2012-02-01,NaN,21.969130,NaN
2012-02-02,NaN,21.945959,NaN
2012-02-03,NaN,21.922788,NaN
2012-02-04,22.250000,21.899616,0.350384
2012-02-05,NaN,21.876445,NaN
2012-02-06,NaN,21.853273,NaN
2012-02-07,22.182499,21.830102,0.352397
2012-02-08,NaN,21.806930,NaN
2012-02-09,NaN,21.783759,NaN
2012-02-10,NaN,21.760587,NaN
2012-02-11,NaN,21.737416,NaN
2012-02-12,NaN,21.714245,NaN
2012-02-13,NaN,21.691073,NaN
2012-02-15,NaN,21.644730,NaN
2012-02-16,NaN,21.654023,NaN
2012-02-17,NaN,21.663316,NaN
2012-02-19,NaN,21.681901,NaN
2012-02-20,NaN,21.691194,NaN
2012-02-21,NaN,21.700487,NaN
2012-02-22,NaN,21.709780,NaN
2012-02-23,21.295000,21.719073,-0.424072
2012-02-24,NaN,21.728365,NaN
2012-02-25,NaN,21.737658,NaN
2012-02-26,NaN,21.746951,NaN
2012-02-27,NaN,21.756244,NaN
2012-02-28,NaN,21.765536,NaN
2012-02-29,NaN,21.774829,NaN
2012-03-01,NaN,21.784122,NaN
2012-03-02,NaN,21.793415,NaN
2012-03-03,NaN,21.802708,NaN
2012-03-04,21.504999,21.812000,-0.307001
2012-03-05,21.275000,21.821293,-0.546294
2012-03-06,20.332500,21.830586,-1.498085
2012-03-07,NaN,21.839879,NaN
2012-03-08,21.314999,21.849171,-0.534173
2012-03-09,NaN,21.858464,NaN
2012-03-11,21.705000,21.877050,-0.172050
2012-03-12,NaN,21.886343,NaN
2012-03-13,22.025000,21.895635,0.129364
2012-03-14,22.309999,21.904928,0.405071
2012-03-15,22.850000,21.934023,0.915978
2012-03-16,NaN,21.963117,NaN
2012-03-17,NaN,21.992211,NaN
2012-03-18,NaN,22.021306,NaN
2012-03-19,NaN,22.050400,NaN
2012-03-20,22.830000,22.079495,0.750505
2012-03-21,NaN,22.108589,NaN
2012-03-22,NaN,22.137684,NaN
2012-03-23,21.760000,22.166778,-0.406778
2012-03-24,21.910000,22.195873,-0.285873
2012-03-27,22.264999,22.283156,-0.018156
2012-03-28,NaN,22.312250,NaN
2012-03-29,23.490000,22.341345,1.148655
2012-03-30,NaN,22.370439,NaN
2012-03-31,NaN,22.399534,NaN
2012-04-01,NaN,22.428628,NaN
2012-04-02,23.617500,22.457722,1.159778
2012-04-03,NaN,22.486817,NaN
2012-04-04,NaN,22.515911,NaN
2012-04-05,NaN,22.545006,NaN
2012-04-06,NaN,22.574100,NaN
2012-04-07,23.939999,22.603195,1.336804
2012-04-08,NaN,22.632289,NaN
2012-04-09,24.260000,22.661383,1.598617
2012-04-10,24.129999,22.690478,1.439521
2012-04-11,24.320000,22.719572,1.600427
2012-04-12,24.539999,22.748667,1.791332
2012-04-13,23.859999,22.777761,1.082238
2012-04-14,NaN,22.806856,NaN
2012-04-15,NaN,22.884757,NaN
2012-04-16,24.375000,22.962659,1.412341
2012-04-17,NaN,23.040561,NaN
2012-04-18,NaN,23.118463,NaN
2012-04-19,23.805000,23.196364,0.608636
2012-04-20,NaN,23.274266,NaN
2012-04-21,NaN,23.352168,NaN
2012-04-22,23.927500,23.430070,0.497430
2012-04-23,23.195000,23.507972,-0.312972
2012-04-24,23.689999,23.585873,0.104125
2012-04-25,23.900000,23.663775,0.236224
2012-04-26,23.965000,23.741677,0.223323
2012-04-27,22.734999,23.819579,-1.084580
2012-04-28,NaN,23.897481,NaN
2012-04-29,23.385000,23.975382,-0.590382
2012-04-30,23.474998,24.053284,-0.578286
2012-05-01,NaN,24.131186,NaN
2012-05-02,24.394999,24.209088,0.185911
2012-05-03,NaN,24.286989,NaN
2012-05-04,NaN,24.364891,NaN
2012-05-05,24.420000,24.442793,-0.022793
2012-05-06,25.792500,24.520695,1.271805
2012-05-07,26.189999,24.598597,1.591402
2012-05-08,NaN,24.676498,NaN
2012-05-09,NaN,24.754400,NaN
2012-05-10,NaN,24.832302,NaN
2012-05-11,NaN,24.910204,NaN
2012-05-12,25.094999,24.988105,0.106894
2012-05-13,24.849998,25.066007,-0.216009
2012-05-14,24.375000,25.143909,-0.768909
2012-05-15,25.424999,25.249094,0.175905
2012-05-16,NaN,25.354279,NaN
2012-05-17,25.494999,25.459465,0.035534
2012-05-18,25.484999,25.564650,-0.079651
2012-05-19,25.254999,25.669835,-0.414836
2012-05-20,25.340000,25.775021,-0.435020
2012-05-21,26.090000,25.880206,0.209794
2012-05-22,26.055000,25.985391,0.069609
2012-05-23,26.814999,26.090576,0.724422
2012-05-24,NaN,26.195762,NaN
2012-05-25,25.580000,26.300947,-0.720947
2012-05-26,NaN,26.406132,NaN
2012-05-27,26.244999,26.511317,-0.266318
2012-05-28,26.180000,26.616503,-0.436502
2012-05-29,26.717499,26.721688,-0.004189
2012-05-30,26.705000,26.826873,-0.121873
2012-05-31,27.430000,26.932058,0.497942
2012-06-01,27.817499,27.037244,0.780256
2012-06-02,27.514999,27.142429,0.372570
2012-06-03,28.434999,27.247614,1.187385
2012-06-04,NaN,27.352799,NaN
2012-06-05,NaN,27.457985,NaN
2012-06-06,NaN,27.563170,NaN
2012-06-07,28.875000,27.668355,1.206645
2012-06-08,NaN,27.773540,NaN
2012-06-09,28.889999,27.878726,1.011274
2012-06-10,28.695000,27.983911,0.711089
2012-06-11,NaN,28.089096,NaN
2012-06-12,NaN,28.194282,NaN
2012-06-13,NaN,28.299467,NaN
2012-06-14,29.570000,28.404652,1.165348
2012-06-15,29.355000,28.450077,0.904923
2012-06-16,NaN,28.495501,NaN
2012-06-17,NaN,28.540926,NaN
2012-06-18,NaN,28.586350,NaN
2012-06-19,27.945000,28.631775,-0.686775
2012-06-20,NaN,28.677199,NaN
2012-06-21,NaN,28.722624,NaN
2012-06-23,28.247499,28.813473,-0.565974
2012-06-24,28.574999,28.858898,-0.283899
2012-06-25,NaN,28.904322,NaN
2012-06-26,NaN,28.949747,NaN
2012-06-27,29.414999,28.995171,0.419828
2012-06-28,29.455000,29.040596,0.414404
2012-06-29,29.012501,29.086020,-0.073520
2012-06-30,NaN,29.131445,NaN
2012-07-01,NaN,29.176869,NaN
2012-07-02,NaN,29.222294,NaN
2012-07-03,29.059999,29.267719,-0.207719
2012-07-04,29.170000,29.313143,-0.143143
2012-07-05,29.355000,29.358568,-0.003568
2012-07-06,30.195000,29.403992,0.791007
2012-07-07,NaN,29.449417,NaN
2012-07-08,29.894999,29.494841,0.400157
2012-07-09,NaN,29.540266,NaN
2012-07-10,NaN,29.585690,NaN
2012-07-11,NaN,29.631115,NaN
2012-07-12,NaN,29.676540,NaN
2012-07-13,NaN,29.721964,NaN
2012-07-14,28.779999,29.767389,-0.987390
2012-07-15,29.174999,29.781893,-0.606894
