Date,Mean,Climatology,Anomaly
2012-01-19,NaN,22.104840,NaN
2012-01-20,NaN,22.081866,NaN
2012-01-21,NaN,22.058892,NaN
2012-01-22,NaN,22.035918,NaN
2012-01-23,NaN,22.012944,NaN
2012-01-24,NaN,21.989970,NaN
2012-01-25,22.020000,21.966996,0.053005
2012-01-26,NaN,21.944022,NaN
2012-01-27,21.670000,21.921048,-0.251048
2012-01-28,NaN,21.898074,NaN
2012-01-29,21.484999,21.875100,-0.390101
2012-01-30,NaN,21.852126,NaN
2012-01-31,NaN,21.829152,NaN
2012-02-01,NaN,21.806178,NaN
2012-02-02,20.952499,21.783204,-0.830704
2012-02-03,NaN,21.760230,NaN
2012-02-04,22.325001,21.737256,0.587745
2012-02-05,NaN,21.714282,NaN
2012-02-06,NaN,21.691308,NaN
2012-02-07,22.150000,21.668334,0.481666
2012-02-08,NaN,21.645360,NaN
2012-02-09,NaN,21.622386,NaN
2012-02-10,NaN,21.599412,NaN
2012-02-11,NaN,21.576438,NaN
2012-02-12,NaN,21.553464,NaN
2012-02-13,NaN,21.530490,NaN
2012-02-15,NaN,21.484542,NaN
2012-02-16,NaN,21.503194,NaN
2012-02-17,NaN,21.521845,NaN
2012-02-19,20.660000,21.559149,-0.899149
2012-02-20,NaN,21.577801,NaN
2012-02-21,NaN,21.596453,NaN
2012-02-22,NaN,21.615104,NaN
2012-02-23,21.367500,21.633756,-0.266256
2012-02-24,NaN,21.652408,NaN
2012-02-25,NaN,21.671060,NaN
2012-02-26,NaN,21.689712,NaN
2012-02-27,NaN,21.708363,NaN
2012-02-28,NaN,21.727015,NaN
2012-02-29,NaN,21.745667,NaN
2012-03-01,NaN,21.764319,NaN
2012-03-02,NaN,21.782971,NaN
2012-03-03,22.080000,21.801622,0.278377
2012-03-04,21.475000,21.820274,-0.345274
2012-03-05,21.184999,21.838926,-0.653927
2012-03-06,20.625000,21.857578,-1.232578
2012-03-07,NaN,21.876230,NaN
2012-03-08,21.330000,21.894882,-0.564882
2012-03-09,NaN,21.913533,NaN
2012-03-11,NaN,21.950837,NaN
2012-03-12,NaN,21.969489,NaN
