Time,mean,climatology,anomaly
1326931200,NaN,21.858543,NaN
1327017600,21.145000,21.837783,-0.692782
1327104000,21.582500,21.817022,-0.234522
1327190400,22.510000,21.796262,0.713738
1327276800,21.984999,21.775502,0.209497
1327363200,NaN,21.754741,NaN
1327449600,21.994999,21.733981,0.261018
1327536000,NaN,21.713221,NaN
1327622400,21.507500,21.692460,-0.184961
1327708800,NaN,21.671700,NaN
1327795200,21.107498,21.650940,-0.543442
1327881600,NaN,21.630179,NaN
1327968000,NaN,21.609419,NaN
1328054400,NaN,21.588659,NaN
1328140800,21.250000,21.567898,-0.317898
1328227200,NaN,21.547138,NaN
1328313600,21.535000,21.526378,0.008622
1328400000,NaN,21.505617,NaN
1328486400,NaN,21.484857,NaN
1328572800,21.897499,21.464097,0.433402
1328659200,NaN,21.443337,NaN
1328745600,NaN,21.422576,NaN
1328832000,NaN,21.401816,NaN
1328918400,NaN,21.381056,NaN
1329004800,NaN,21.360295,NaN
1329091200,NaN,21.339535,NaN
1329264000,NaN,21.298014,NaN
1329350400,NaN,21.317124,NaN
1329436800,NaN,21.336233,NaN
1329609600,NaN,21.374452,NaN
1329696000,NaN,21.393562,NaN
1329782400,NaN,21.412672,NaN
1329868800,NaN,21.431781,NaN
1329955200,NaN,21.450891,NaN
1330041600,NaN,21.470000,NaN
1330128000,NaN,21.489110,NaN
1330214400,NaN,21.508219,NaN
1330300800,NaN,21.527329,NaN
1330387200,NaN,21.546438,NaN
1330473600,NaN,21.565548,NaN
1330560000,21.344999,21.584657,-0.239658
1330646400,NaN,21.603767,NaN
1330732800,20.805000,21.622877,-0.817876
1330819200,20.785000,21.641986,-0.856986
1330905600,20.750000,21.661096,-0.911096
1330992000,NaN,21.680205,NaN
1331078400,NaN,21.699315,NaN
1331164800,21.299999,21.718424,-0.418425
1331251200,NaN,21.737534,NaN
1331424000,NaN,21.775753,NaN
1331510400,NaN,21.794863,NaN
1331596800,22.017500,21.813972,0.203528
1331683200,22.445000,21.833082,0.611918
1331769600,22.799999,21.866287,0.933712
1331856000,NaN,21.899493,NaN
1331942400,NaN,21.932699,NaN
1332028800,NaN,21.965905,NaN
1332115200,NaN,21.999110,NaN
1332201600,23.117500,22.032316,1.085184
1332288000,NaN,22.065522,NaN
1332374400,NaN,22.098728,NaN
1332460800,21.795000,22.131934,-0.336933
1332547200,21.902500,22.165139,-0.262639
1332806400,NaN,22.264757,NaN
1332892800,NaN,22.297962,NaN
1332979200,23.275000,22.331168,0.943831
1333065600,22.990000,22.364374,0.625626
1333152000,NaN,22.397580,NaN
1333238400,22.639999,22.430785,0.209214
1333324800,NaN,22.463991,NaN
1333411200,NaN,22.497197,NaN
1333497600,NaN,22.530403,NaN
1333584000,NaN,22.563609,NaN
1333670400,NaN,22.596814,NaN
1333756800,24.092499,22.630020,1.462479
1333843200,NaN,22.663226,NaN
1333929600,23.949999,22.696432,1.253567
1334016000,23.994999,22.729637,1.265362
1334102400,24.320000,22.762843,1.557157
1334188800,23.969999,22.796049,1.173950
1334275200,NaN,22.829255,NaN
1334361600,NaN,22.862460,NaN
1334448000,NaN,22.935981,NaN
1334534400,NaN,23.009501,NaN
1334620800,NaN,23.083021,NaN
1334707200,23.632500,23.156542,0.475958
1334793600,NaN,23.230062,NaN
1334880000,NaN,23.303582,NaN
1334966400,NaN,23.377103,NaN
1335052800,23.635000,23.450623,0.184377
1335139200,22.984999,23.524143,-0.539145
1335225600,23.469999,23.597664,-0.127664
1335312000,23.625000,23.671184,-0.046184
1335398400,23.954998,23.744704,0.210294
1335484800,NaN,23.818225,NaN
1335571200,NaN,23.891745,NaN
1335657600,NaN,23.965265,NaN
1335744000,24.705000,24.038786,0.666214
1335830400,NaN,24.112306,NaN
1335916800,24.420000,24.185826,0.234174
1336003200,NaN,24.259347,NaN
1336089600,NaN,24.332867,NaN
1336176000,25.705000,24.406387,1.298613
1336262400,NaN,24.479907,NaN
1336348800,NaN,24.553428,NaN
1336435200,NaN,24.626948,NaN
1336521600,26.449999,24.700468,1.749530
1336608000,26.209999,24.773989,1.436010
1336694400,NaN,24.847509,NaN
1336780800,NaN,24.921029,NaN
1336867200,NaN,24.994550,NaN
1336953600,24.709999,25.068070,-0.358071
1337040000,25.730000,25.172957,0.557043
1337126400,NaN,25.277844,NaN
1337212800,25.609999,25.382731,0.227268
1337299200,25.699999,25.487617,0.212381
1337385600,25.207500,25.592504,-0.385004
1337472000,26.000000,25.697391,0.302609
1337558400,26.189999,25.802278,0.387721
1337644800,26.045000,25.907165,0.137835
1337731200,27.055000,26.012052,1.042949
1337817600,NaN,26.116939,NaN
1337904000,25.344999,26.221825,-0.876826
1337990400,NaN,26.326712,NaN
1338076800,NaN,26.431599,NaN
1338163200,26.709999,26.536486,0.173513
1338249600,NaN,26.641373,NaN
1338336000,26.732498,26.746260,-0.013762
1338422400,NaN,26.851147,NaN
1338508800,27.824999,26.956033,0.868965
1338595200,27.615000,27.060920,0.554079
1338681600,NaN,27.165807,NaN
1338768000,NaN,27.270694,NaN
1338854400,NaN,27.375581,NaN
1338940800,NaN,27.480468,NaN
1339027200,28.670000,27.585355,1.084645
1339113600,28.587500,27.690241,0.897258
1339200000,29.170000,27.795128,1.374872
1339286400,28.209999,27.900015,0.309984
1339372800,27.790001,28.004902,-0.214901
1339459200,NaN,28.109789,NaN
1339545600,29.125000,28.214676,0.910324
1339632000,29.599998,28.319563,1.280436
1339718400,29.609999,28.364442,1.245557
1339804800,29.480000,28.409320,1.070679
1339891200,28.465000,28.454199,0.010801
1339977600,NaN,28.499078,NaN
1340064000,NaN,28.543957,NaN
1340150400,NaN,28.588836,NaN
1340236800,NaN,28.633715,NaN
1340409600,27.625000,28.723473,-1.098473
1340496000,28.459999,28.768352,-0.308353
1340582400,29.000000,28.813231,0.186769
1340668800,29.764999,28.858110,0.906890
1340755200,29.634998,28.902989,0.732010
1340841600,29.590000,28.947868,0.642132
1340928000,29.605000,28.992747,0.612253
1341014400,NaN,29.037626,NaN
1341100800,NaN,29.082505,NaN
1341187200,28.442499,29.127383,-0.684884
1341273600,28.529999,29.172262,-0.642264
1341360000,29.005001,29.217141,-0.212140
1341446400,29.635000,29.262020,0.372980
1341532800,30.455000,29.306899,1.148101
1341619200,NaN,29.351778,NaN
1341705600,29.930000,29.396657,0.533343
1341792000,NaN,29.441536,NaN
1341878400,NaN,29.486415,NaN
1341964800,NaN,29.531294,NaN
1342051200,NaN,29.576173,NaN
1342137600,NaN,29.621052,NaN
1342224000,28.969999,29.665931,-0.695931
1342310400,NaN,29.678589,NaN
1342396800,29.420000,29.691247,-0.271247
1342483200,29.009998,29.703906,-0.693908
1342569600,29.650000,29.716564,-0.066565
1342656000,29.609999,29.729223,-0.119224
1342742400,30.199999,29.741881,0.458118
1342828800,NaN,29.754539,NaN
1342915200,NaN,29.767198,NaN
1343001600,NaN,29.779856,NaN
1343088000,29.607498,29.792514,-0.185016
1343174400,29.670000,29.805173,-0.135173
1343260800,29.927498,29.817831,0.109667
1343347200,29.919998,29.830490,0.089509
1343433600,29.609999,29.843148,-0.233149
1343520000,29.434999,29.855806,-0.420807
1343606400,29.687500,29.868465,-0.180965
1343692800,29.872499,29.881123,-0.008624
1343779200,30.264999,29.893781,0.371218
1343865600,30.677500,29.906440,0.771060
1343952000,NaN,29.919098,NaN
1344038400,29.590000,29.931756,-0.341756
1344124800,NaN,29.944415,NaN
1344211200,30.379999,29.957073,0.422926
