Date,Mean,Climatology,Anomaly
2012-01-19,NaN,21.858543,NaN
2012-01-20,21.145000,21.837783,-0.692782
2012-01-21,21.582500,21.817022,-0.234522
2012-01-22,22.510000,21.796262,0.713738
2012-01-23,21.984999,21.775502,0.209497
2012-01-24,NaN,21.754741,NaN
2012-01-25,21.994999,21.733981,0.261018
2012-01-26,NaN,21.713221,NaN
2012-01-27,21.507500,21.692460,-0.184961
2012-01-28,NaN,21.671700,NaN
2012-01-29,21.107498,21.650940,-0.543442
2012-01-30,NaN,21.630179,NaN
2012-01-31,NaN,21.609419,NaN
2012-02-01,NaN,21.588659,NaN
2012-02-02,21.250000,21.567898,-0.317898
2012-02-03,NaN,21.547138,NaN
2012-02-04,21.535000,21.526378,0.008622
2012-02-05,NaN,21.505617,NaN
2012-02-06,NaN,21.484857,NaN
2012-02-07,21.897499,21.464097,0.433402
2012-02-08,NaN,21.443337,NaN
2012-02-09,NaN,21.422576,NaN
2012-02-10,NaN,21.401816,NaN
2012-02-11,NaN,21.381056,NaN
2012-02-12,NaN,21.360295,NaN
2012-02-13,NaN,21.339535,NaN
2012-02-15,NaN,21.298014,NaN
2012-02-16,NaN,21.317124,NaN
2012-02-17,NaN,21.336233,NaN
2012-02-19,NaN,21.374452,NaN
2012-02-20,NaN,21.393562,NaN
2012-02-21,NaN,21.412672,NaN
2012-02-22,NaN,21.431781,NaN
2012-02-23,NaN,21.450891,NaN
2012-02-24,NaN,21.470000,NaN
2012-02-25,NaN,21.489110,NaN
2012-02-26,NaN,21.508219,NaN
2012-02-27,NaN,21.527329,NaN
2012-02-28,NaN,21.546438,NaN
2012-02-29,NaN,21.565548,NaN
2012-03-01,21.344999,21.584657,-0.239658
2012-03-02,NaN,21.603767,NaN
2012-03-03,20.805000,21.622877,-0.817876
2012-03-04,20.785000,21.641986,-0.856986
2012-03-05,20.750000,21.661096,-0.911096
2012-03-06,NaN,21.680205,NaN
2012-03-07,NaN,21.699315,NaN
2012-03-08,21.299999,21.718424,-0.418425
2012-03-09,NaN,21.737534,NaN
2012-03-11,NaN,21.775753,NaN
2012-03-12,NaN,21.794863,NaN
2012-03-13,22.017500,21.813972,0.203528
2012-03-14,22.445000,21.833082,0.611918
2012-03-15,22.799999,21.866287,0.933712
2012-03-16,NaN,21.899493,NaN
2012-03-17,NaN,21.932699,NaN
2012-03-18,NaN,21.965905,NaN
2012-03-19,NaN,21.999110,NaN
2012-03-20,23.117500,22.032316,1.085184
2012-03-21,NaN,22.065522,NaN
2012-03-22,NaN,22.098728,NaN
2012-03-23,21.795000,22.131934,-0.336933
2012-03-24,21.902500,22.165139,-0.262639
2012-03-27,NaN,22.264757,NaN
2012-03-28,NaN,22.297962,NaN
2012-03-29,23.275000,22.331168,0.943831
2012-03-30,22.990000,22.364374,0.625626
2012-03-31,NaN,22.397580,NaN
2012-04-01,22.639999,22.430785,0.209214
2012-04-02,NaN,22.463991,NaN
2012-04-03,NaN,22.497197,NaN
2012-04-04,NaN,22.530403,NaN
2012-04-05,NaN,22.563609,NaN
2012-04-06,NaN,22.596814,NaN
2012-04-07,24.092499,22.630020,1.462479
2012-04-08,NaN,22.663226,NaN
