Time,mean,climatology,anomaly
1326931200,NaN,24.342356,NaN
1327017600,22.207500,24.336946,-2.129445
1327104000,NaN,24.331535,NaN
1327190400,23.439999,24.326124,-0.886125
1327276800,23.469999,24.320713,-0.850714
1327363200,23.789999,24.315303,-0.525304
1327449600,23.914999,24.309892,-0.394893
1327536000,23.330000,24.304481,-0.974481
1327622400,24.205000,24.299070,-0.094070
1327708800,24.139999,24.293659,-0.153660
1327795200,24.205000,24.288249,-0.083249
1327881600,24.167500,24.282838,-0.115338
1327968000,24.305000,24.277427,0.027573
1328054400,NaN,24.272016,NaN
1328140800,NaN,24.266606,NaN
1328227200,NaN,24.261195,NaN
1328313600,NaN,24.255784,NaN
1328400000,NaN,24.250373,NaN
1328486400,NaN,24.244963,NaN
1328572800,NaN,24.239552,NaN
1328659200,NaN,24.234141,NaN
1328745600,NaN,24.228730,NaN
1328832000,24.834999,24.223320,0.611680
1328918400,NaN,24.217909,NaN
1329004800,NaN,24.212498,NaN
1329091200,23.750000,24.207087,-0.457087
1329264000,23.859999,24.196266,-0.336267
1329350400,24.180000,24.207038,-0.027038
1329436800,24.230000,24.217810,0.012190
1329609600,24.215000,24.239354,-0.024354
1329696000,23.934999,24.250127,-0.315127
1329782400,23.975000,24.260899,-0.285898
1329868800,23.834999,24.271671,-0.436672
1329955200,24.195000,24.282443,-0.087443
1330041600,24.359999,24.293215,0.066784
1330128000,24.559999,24.303987,0.256012
1330214400,NaN,24.314759,NaN
1330300800,NaN,24.325532,NaN
1330387200,25.074999,24.336304,0.738695
1330473600,24.814999,24.347076,0.467923
1330560000,25.029999,24.357848,0.672151
1330646400,25.240000,24.368620,0.871379
1330732800,24.760000,24.379392,0.380608
1330819200,25.394999,24.390165,1.004834
1330905600,24.715000,24.400937,0.314063
1330992000,24.070000,24.411709,-0.341709
1331078400,25.037498,24.422481,0.615017
1331164800,25.090000,24.433253,0.656747
1331251200,24.879999,24.444025,0.435974
1331424000,25.240000,24.465570,0.774430
1331510400,NaN,24.476342,NaN
1331596800,25.295000,24.487114,0.807886
1331683200,24.869999,24.497886,0.372113
1331769600,25.059999,24.537361,0.522638
1331856000,25.109999,24.576836,0.533162
1331942400,25.144999,24.616312,0.528687
1332028800,25.029999,24.655787,0.374212
1332115200,24.969999,24.695262,0.274738
1332201600,NaN,24.734737,NaN
1332288000,24.975000,24.774212,0.200789
1332374400,24.962500,24.813687,0.148813
1332460800,25.240000,24.853162,0.386838
1332547200,24.855000,24.892637,-0.037638
1332806400,24.969999,25.011062,-0.041063
1332892800,NaN,25.050537,NaN
1332979200,25.117500,25.090013,0.027488
1333065600,25.142498,25.129488,0.013010
1333152000,25.264999,25.168963,0.096037
1333238400,25.115000,25.208438,-0.093438
1333324800,25.855000,25.247913,0.607087
1333411200,26.389999,25.287388,1.102611
1333497600,26.420000,25.326863,1.093137
1333584000,NaN,25.366338,NaN
1333670400,NaN,25.405813,NaN
1333756800,26.269999,25.445288,0.824710
1333843200,25.404999,25.484763,-0.079765
1333929600,25.635000,25.524239,0.110762
1334016000,25.830000,25.563714,0.266286
1334102400,25.942499,25.603189,0.339310
1334188800,25.795000,25.642664,0.152336
1334275200,26.244999,25.682139,0.562860
1334361600,26.160000,25.721614,0.438386
1334448000,NaN,25.765980,NaN
1334534400,25.369999,25.810347,-0.440348
1334620800,NaN,25.854713,NaN
1334707200,25.355000,25.899080,-0.544080
1334793600,NaN,25.943446,NaN
1334880000,25.900000,25.987812,-0.087813
1334966400,NaN,26.032179,NaN
1335052800,25.480000,26.076545,-0.596546
1335139200,24.914999,26.120911,-1.205912
1335225600,NaN,26.165278,NaN
1335312000,23.972500,26.209644,-2.237144
1335398400,NaN,26.254011,NaN
1335484800,24.025000,26.298377,-2.273377
1335571200,NaN,26.342743,NaN
1335657600,NaN,26.387110,NaN
1335744000,NaN,26.431476,NaN
1335830400,NaN,26.475842,NaN
1335916800,24.625000,26.520209,-1.895209
1336003200,24.824999,26.564575,-1.739576
1336089600,25.519999,26.608942,-1.088943
1336176000,26.025000,26.653308,-0.628308
1336262400,25.305000,26.697674,-1.392674
1336348800,26.059999,26.742041,-0.682041
1336435200,25.900000,26.786407,-0.886407
1336521600,26.547501,26.830773,-0.283273
1336608000,NaN,26.875140,NaN
1336694400,26.547501,26.919506,-0.372006
1336780800,26.664999,26.963873,-0.298874
1336867200,26.719999,27.008239,-0.288240
1336953600,27.019999,27.052605,-0.032607
1337040000,NaN,27.111815,NaN
1337126400,NaN,27.171025,NaN
1337212800,NaN,27.230235,NaN
1337299200,NaN,27.289444,NaN
1337385600,NaN,27.348654,NaN
1337472000,NaN,27.407864,NaN
1337558400,26.889999,27.467073,-0.577074
