Date,Mean,Climatology,Anomaly
2012-01-19,NaN,24.561263,NaN
2012-01-20,24.302500,24.554981,-0.252482
2012-01-21,NaN,24.548700,NaN
2012-01-22,NaN,24.542419,NaN
2012-01-23,NaN,24.536137,NaN
2012-01-24,NaN,24.529856,NaN
2012-01-25,23.834999,24.523575,-0.688576
2012-01-26,NaN,24.517293,NaN
2012-01-27,23.215000,24.511012,-1.296012
2012-01-28,23.559999,24.504731,-0.944731
2012-01-29,24.734999,24.498449,0.236549
2012-01-30,NaN,24.492168,NaN
2012-01-31,NaN,24.485887,NaN
2012-02-01,25.154999,24.479605,0.675394
2012-02-02,NaN,24.473324,NaN
2012-02-03,24.105000,24.467042,-0.362043
2012-02-04,NaN,24.460761,NaN
2012-02-05,NaN,24.454480,NaN
2012-02-06,NaN,24.448198,NaN
2012-02-07,24.760000,24.441917,0.318083
2012-02-08,NaN,24.435636,NaN
2012-02-09,NaN,24.429354,NaN
2012-02-10,NaN,24.423073,NaN
2012-02-11,NaN,24.416792,NaN
2012-02-12,NaN,24.410510,NaN
2012-02-13,25.279999,24.404229,0.875770
2012-02-15,25.000000,24.391666,0.608334
2012-02-16,NaN,24.399638,NaN
2012-02-17,NaN,24.407609,NaN
2012-02-19,NaN,24.423552,NaN
2012-02-20,24.834999,24.431524,0.403475
2012-02-21,NaN,24.439496,NaN
2012-02-22,25.724998,24.447467,1.277531
2012-02-23,23.740000,24.455439,-0.715439
2012-02-24,24.574999,24.463411,0.111588
2012-02-25,24.602499,24.471382,0.131117
2012-02-26,NaN,24.479354,NaN
2012-02-27,NaN,24.487325,NaN
2012-02-28,NaN,24.495297,NaN
2012-02-29,25.074999,24.503269,0.571730
2012-03-01,25.225000,24.511240,0.713760
2012-03-02,26.039999,24.519212,1.520787
2012-03-03,24.875000,24.527183,0.347817
2012-03-04,NaN,24.535155,NaN
2012-03-05,24.535000,24.543127,-0.008127
2012-03-06,24.357498,24.551098,-0.193600
2012-03-07,NaN,24.559070,NaN
2012-03-08,NaN,24.567041,NaN
2012-03-09,NaN,24.575013,NaN
2012-03-11,25.375000,24.590956,0.784044
2012-03-12,NaN,24.598928,NaN
2012-03-13,NaN,24.606899,NaN
2012-03-14,24.639999,24.614871,0.025128
2012-03-15,NaN,24.648907,NaN
2012-03-16,24.805000,24.682942,0.122058
2012-03-17,24.525000,24.716978,-0.191978
2012-03-18,NaN,24.751014,NaN
2012-03-19,NaN,24.785049,NaN
2012-03-20,NaN,24.819085,NaN
2012-03-21,24.379999,24.853121,-0.473121
2012-03-22,NaN,24.887156,NaN
2012-03-23,25.237499,24.921192,0.316307
2012-03-24,25.100000,24.955227,0.144773
2012-03-27,25.162498,25.057334,0.105164
2012-03-28,NaN,25.091370,NaN
2012-03-29,24.657499,25.125406,-0.467906
2012-03-30,24.480000,25.159441,-0.679442
2012-03-31,25.135000,25.193477,-0.058477
2012-04-01,NaN,25.227512,NaN
2012-04-02,NaN,25.261548,NaN
2012-04-03,26.042500,25.295584,0.746916
2012-04-04,25.869999,25.329619,0.540380
2012-04-05,NaN,25.363655,NaN
2012-04-06,NaN,25.397691,NaN
2012-04-07,25.187500,25.431726,-0.244226
2012-04-08,25.209999,25.465762,-0.255763
2012-04-09,24.699999,25.499798,-0.799799
2012-04-10,25.117500,25.533833,-0.416333
2012-04-11,25.117500,25.567869,-0.450369
2012-04-12,NaN,25.601904,NaN
2012-04-13,25.680000,25.635940,0.044060
2012-04-14,NaN,25.669976,NaN
2012-04-15,NaN,25.712328,NaN
2012-04-16,NaN,25.754680,NaN
2012-04-17,NaN,25.797032,NaN
2012-04-18,NaN,25.839385,NaN
2012-04-19,25.340000,25.881737,-0.541737
2012-04-20,25.365000,25.924089,-0.559089
2012-04-21,NaN,25.966441,NaN
2012-04-22,NaN,26.008794,NaN
2012-04-23,25.154999,26.051146,-0.896147
2012-04-24,25.095001,26.093498,-0.998497
2012-04-25,25.074999,26.135850,-1.060852
2012-04-26,24.474998,26.178203,-1.703204
2012-04-27,NaN,26.220555,NaN
2012-04-28,NaN,26.262907,NaN
2012-04-29,NaN,26.305260,NaN
2012-04-30,NaN,26.347612,NaN
2012-05-01,NaN,26.389964,NaN
2012-05-02,25.289999,26.432316,-1.142317
2012-05-03,24.680000,26.474669,-1.794668
2012-05-04,NaN,26.517021,NaN
2012-05-05,25.432499,26.559373,-1.126874
2012-05-06,25.555000,26.601725,-1.046725
2012-05-07,26.325001,26.644078,-0.319077
2012-05-08,NaN,26.686430,NaN
2012-05-09,25.750000,26.728782,-0.978782
2012-05-10,NaN,26.771134,NaN
2012-05-11,26.645000,26.813487,-0.168486
2012-05-12,NaN,26.855839,NaN
2012-05-13,26.639999,26.898191,-0.258192
