Date,Mean,Climatology,Anomaly
2012-01-19,NaN,24.537418,NaN
2012-01-20,23.852499,24.530385,-0.677886
2012-01-21,NaN,24.523352,NaN
2012-01-22,NaN,24.516319,NaN
2012-01-23,23.574999,24.509286,-0.934288
2012-01-24,24.064999,24.502254,-0.437255
2012-01-25,24.129999,24.495221,-0.365222
2012-01-26,23.820000,24.488188,-0.668188
2012-01-27,24.059999,24.481155,-0.421156
2012-01-28,23.824999,24.474122,-0.649124
2012-01-29,23.945000,24.467090,-0.522090
2012-01-30,23.824999,24.460057,-0.635058
2012-01-31,NaN,24.453024,NaN
2012-02-01,NaN,24.445991,NaN
2012-02-02,24.894999,24.438959,0.456040
2012-02-03,24.910000,24.431926,0.478074
2012-02-04,NaN,24.424893,NaN
2012-02-05,NaN,24.417860,NaN
2012-02-06,NaN,24.410827,NaN
2012-02-07,NaN,24.403795,NaN
2012-02-08,NaN,24.396762,NaN
2012-02-09,NaN,24.389729,NaN
2012-02-10,NaN,24.382696,NaN
2012-02-11,NaN,24.375663,NaN
2012-02-12,24.869999,24.368631,0.501368
2012-02-13,23.879999,24.361598,-0.481599
2012-02-15,24.410000,24.347532,0.062468
2012-02-16,24.414999,24.354872,0.060127
2012-02-17,24.555000,24.362212,0.192788
2012-02-19,24.090000,24.376892,-0.286892
2012-02-20,24.019999,24.384232,-0.364234
2012-02-21,24.250000,24.391573,-0.141573
2012-02-22,NaN,24.398913,NaN
2012-02-23,24.234999,24.406253,-0.171254
2012-02-24,24.369999,24.413593,-0.043594
2012-02-25,24.424999,24.420933,0.004067
2012-02-26,NaN,24.428273,NaN
2012-02-27,NaN,24.435613,NaN
2012-02-28,25.084999,24.442953,0.642046
2012-02-29,24.969999,24.450293,0.519706
2012-03-01,25.344999,24.457633,0.887366
2012-03-02,25.424999,24.464973,0.960026
2012-03-03,24.840000,24.472313,0.367687
2012-03-04,25.424999,24.479653,0.945346
2012-03-05,24.754999,24.486993,0.268006
2012-03-06,23.930000,24.494333,-0.564333
2012-03-07,23.719999,24.501673,-0.781674
2012-03-08,24.044998,24.509013,-0.464015
2012-03-09,24.919998,24.516353,0.403645
2012-03-11,25.047499,24.531033,0.516465
2012-03-12,NaN,24.538373,NaN
2012-03-13,25.285000,24.545713,0.739287
2012-03-14,25.125000,24.553053,0.571947
2012-03-15,25.012501,24.595592,0.416908
2012-03-16,25.234999,24.638131,0.596867
2012-03-17,25.275000,24.680670,0.594329
2012-03-18,25.172501,24.723209,0.449291
2012-03-19,NaN,24.765748,NaN
2012-03-20,NaN,24.808287,NaN
2012-03-21,24.750000,24.850826,-0.100826
2012-03-22,25.010000,24.893365,0.116635
2012-03-23,25.334999,24.935904,0.399095
2012-03-24,24.962500,24.978443,-0.015944
2012-03-27,25.105000,25.106060,-0.001061
2012-03-28,NaN,25.148599,NaN
2012-03-29,24.594999,25.191138,-0.596139
2012-03-30,25.115000,25.233677,-0.118678
2012-03-31,25.125000,25.276216,-0.151216
2012-04-01,24.997499,25.318755,-0.321256
2012-04-02,NaN,25.361294,NaN
2012-04-03,26.644999,25.403833,1.241165
2012-04-04,26.644999,25.446372,1.198626
2012-04-05,NaN,25.488911,NaN
2012-04-06,NaN,25.531450,NaN
2012-04-07,25.582500,25.573989,0.008511
2012-04-08,25.574999,25.616528,-0.041529
2012-04-09,25.295000,25.659067,-0.364067
2012-04-10,25.594999,25.701606,-0.106607
2012-04-11,25.557499,25.744145,-0.186646
2012-04-12,25.687500,25.786684,-0.099184
2012-04-13,26.094999,25.829223,0.265776
2012-04-14,26.184999,25.871762,0.313237
2012-04-15,25.347500,25.910662,-0.563162
2012-04-16,NaN,25.949562,NaN
2012-04-17,25.320000,25.988462,-0.668462
2012-04-18,25.379999,26.027362,-0.647362
2012-04-19,NaN,26.066261,NaN
2012-04-20,25.715000,26.105161,-0.390161
2012-04-21,NaN,26.144061,NaN
2012-04-22,25.312500,26.182961,-0.870461
2012-04-23,25.000000,26.221861,-1.221861
2012-04-24,24.910000,26.260761,-1.350761
2012-04-25,24.070000,26.299661,-2.229661
2012-04-26,NaN,26.338560,NaN
2012-04-27,NaN,26.377460,NaN
2012-04-28,NaN,26.416360,NaN
2012-04-29,NaN,26.455260,NaN
2012-04-30,NaN,26.494160,NaN
2012-05-01,24.612499,26.533060,-1.920560
2012-05-02,24.715000,26.571960,-1.856959
2012-05-03,25.115000,26.610859,-1.495860
2012-05-04,25.670000,26.649759,-0.979759
2012-05-05,26.119999,26.688659,-0.568660
2012-05-06,25.762499,26.727559,-0.965060
2012-05-07,26.334999,26.766459,-0.431460
2012-05-08,26.119999,26.805359,-0.685360
2012-05-09,26.484999,26.844259,-0.359260
2012-05-10,NaN,26.883158,NaN
2012-05-11,26.244999,26.922058,-0.677059
2012-05-12,27.080000,26.960958,0.119042
2012-05-13,26.934999,26.999858,-0.064858
2012-05-14,26.570000,27.038758,-0.468758
2012-05-15,NaN,27.102576,NaN
2012-05-16,NaN,27.166395,NaN
2012-05-17,NaN,27.230214,NaN
2012-05-18,NaN,27.294032,NaN
2012-05-19,NaN,27.357851,NaN
2012-05-20,NaN,27.421670,NaN
2012-05-21,26.879999,27.485488,-0.605489
2012-05-22,NaN,27.549307,NaN
2012-05-23,27.019999,27.613126,-0.593127
2012-05-24,26.752499,27.676944,-0.924446
2012-05-25,27.805000,27.740763,0.064237
2012-05-26,27.247499,27.804582,-0.557082
2012-05-27,NaN,27.868400,NaN
2012-05-28,28.480000,27.932219,0.547780
2012-05-29,28.744999,27.996038,0.748961
2012-05-30,NaN,28.059857,NaN
2012-05-31,NaN,28.123675,NaN
2012-06-01,NaN,28.187494,NaN
2012-06-02,NaN,28.251313,NaN
2012-06-03,NaN,28.315131,NaN
2012-06-04,28.459999,28.378950,0.081049
2012-06-05,NaN,28.442769,NaN
2012-06-06,27.442499,28.506587,-1.064088
2012-06-07,NaN,28.570406,NaN
2012-06-08,27.844999,28.634225,-0.789225
2012-06-09,NaN,28.698043,NaN
2012-06-10,28.764999,28.761862,0.003138
2012-06-11,28.649998,28.825681,-0.175683
2012-06-12,29.070000,28.889499,0.180500
2012-06-13,29.004999,28.953318,0.051681
2012-06-14,28.875000,29.017137,-0.142137
2012-06-15,29.342499,29.052596,0.289903
2012-06-16,29.320000,29.088055,0.231945
2012-06-17,NaN,29.123514,NaN
2012-06-18,27.322498,29.158974,-1.836475
2012-06-19,NaN,29.194433,NaN
2012-06-20,NaN,29.229892,NaN
2012-06-21,NaN,29.265352,NaN
2012-06-23,NaN,29.336270,NaN
2012-06-24,NaN,29.371730,NaN
2012-06-25,NaN,29.407189,NaN
2012-06-26,NaN,29.442648,NaN
2012-06-27,27.650000,29.478108,-1.828108
2012-06-28,27.224998,29.513567,-2.288568
2012-06-29,27.689999,29.549026,-1.859028
2012-06-30,29.039999,29.584486,-0.544487
2012-07-01,29.474998,29.619945,-0.144946
2012-07-02,28.965000,29.655404,-0.690404
2012-07-03,29.449999,29.690864,-0.240865
2012-07-04,29.707500,29.726323,-0.018822
2012-07-05,29.535000,29.761782,-0.226782
2012-07-06,29.014999,29.797241,-0.782242
2012-07-07,29.324999,29.832701,-0.507702
2012-07-08,28.977501,29.868160,-0.890659
2012-07-09,29.855000,29.903619,-0.048620
2012-07-10,29.709999,29.939079,-0.229080
2012-07-11,NaN,29.974538,NaN
2012-07-12,29.135000,30.009997,-0.874997
2012-07-13,28.865000,30.045457,-1.180457
2012-07-14,28.452499,30.080916,-1.628417
2012-07-15,NaN,30.092816,NaN
2012-07-16,28.602501,30.104717,-1.502216
2012-07-17,NaN,30.116617,NaN
2012-07-18,NaN,30.128518,NaN
2012-07-19,NaN,30.140418,NaN
2012-07-20,29.279999,30.152319,-0.872320
2012-07-21,NaN,30.164219,NaN
2012-07-22,NaN,30.176119,NaN
2012-07-23,29.152500,30.188020,-1.035520
2012-07-24,NaN,30.199920,NaN
2012-07-25,NaN,30.211821,NaN
2012-07-26,27.824999,30.223721,-2.398722
2012-07-27,29.869999,30.235622,-0.365623
2012-07-28,29.849998,30.247522,-0.397524
2012-07-29,29.250000,30.259422,-1.009422
2012-07-30,NaN,30.271323,NaN
2012-07-31,30.454998,30.283223,0.171775
2012-08-01,30.879999,30.295124,0.584875
2012-08-02,30.612499,30.307024,0.305475
2012-08-03,31.154999,30.318925,0.836074
2012-08-04,30.447498,30.330825,0.116673
2012-08-05,31.090000,30.342725,0.747275
2012-08-06,NaN,30.354626,NaN
2012-08-07,29.135000,30.366526,-1.231526
2012-08-08,28.844999,30.378427,-1.533427
2012-08-09,29.709999,30.390327,-0.680328
2012-08-10,30.594999,30.402228,0.192772
2012-08-11,NaN,30.414128,NaN
2012-08-12,NaN,30.426028,NaN
2012-08-13,30.222500,30.437929,-0.215429
2012-08-14,30.074999,30.449829,-0.374830
2012-08-15,NaN,30.431425,NaN
2012-08-16,NaN,30.413022,NaN
2012-08-17,30.625000,30.394618,0.230382
2012-08-18,30.414999,30.376214,0.038785
2012-08-19,29.160000,30.357810,-1.197810
2012-08-20,30.795000,30.339406,0.455594
2012-08-21,31.924999,30.321002,1.603997
2012-08-22,NaN,30.302598,NaN
2012-08-23,NaN,30.284194,NaN
2012-08-24,30.705000,30.265790,0.439209
2012-08-25,NaN,30.247387,NaN
2012-08-26,NaN,30.228983,NaN
2012-08-27,NaN,30.210579,NaN
2012-08-28,28.502499,30.192175,-1.689676
2012-08-29,28.584999,30.173771,-1.588772
2012-08-30,29.117500,30.155367,-1.037867
2012-08-31,NaN,30.136963,NaN
2012-09-01,29.320000,30.118559,-0.798560
2012-09-02,28.834999,30.100156,-1.265156
2012-09-03,28.775000,30.081752,-1.306752
2012-09-04,29.397499,30.063348,-0.665849
2012-09-05,30.107498,30.044944,0.062554
2012-09-06,29.715000,30.026540,-0.311540
2012-09-07,30.179998,30.008136,0.171862
2012-09-08,29.775000,29.989732,-0.214733
2012-09-09,30.152500,29.971328,0.181172
2012-09-10,29.804998,29.952925,-0.147926
2012-09-11,29.939999,29.934521,0.005478
2012-09-12,29.312500,29.916117,-0.603617
2012-09-13,NaN,29.897713,NaN
2012-09-14,NaN,29.879309,NaN
2012-09-15,29.049999,29.835650,-0.785651
2012-09-16,29.212500,29.791991,-0.579491
