Time,mean,climatology,anomaly
1326931200,NaN,24.662213,NaN
1327017600,22.760000,24.652311,-1.892311
1327104000,NaN,24.642409,NaN
1327190400,NaN,24.632507,NaN
1327276800,NaN,24.622605,NaN
1327363200,NaN,24.612703,NaN
1327449600,24.115000,24.602801,-0.487802
1327536000,NaN,24.592900,NaN
1327622400,23.467499,24.582998,-1.115499
1327708800,NaN,24.573096,NaN
1327795200,24.480000,24.563194,-0.083194
1327881600,NaN,24.553292,NaN
1327968000,NaN,24.543390,NaN
1328054400,NaN,24.533488,NaN
1328140800,NaN,24.523586,NaN
1328227200,24.074999,24.513684,-0.438686
1328313600,NaN,24.503783,NaN
1328400000,NaN,24.493881,NaN
1328486400,NaN,24.483979,NaN
1328572800,NaN,24.474077,NaN
1328659200,24.109999,24.464175,-0.354176
1328745600,NaN,24.454273,NaN
1328832000,NaN,24.444371,NaN
1328918400,NaN,24.434469,NaN
1329004800,23.615000,24.424567,-0.809568
1329091200,24.674999,24.414666,0.260334
1329264000,NaN,24.394862,NaN
1329350400,NaN,24.404748,NaN
1329436800,24.904999,24.414634,0.490365
1329609600,NaN,24.434406,NaN
1329696000,24.320000,24.444292,-0.124293
1329782400,NaN,24.454179,NaN
1329868800,NaN,24.464065,NaN
1329955200,24.115000,24.473951,-0.358951
1330041600,24.347500,24.483837,-0.136337
1330128000,24.365000,24.493723,-0.128723
1330214400,NaN,24.503609,NaN
1330300800,NaN,24.513495,NaN
1330387200,NaN,24.523381,NaN
1330473600,NaN,24.533268,NaN
1330560000,NaN,24.543154,NaN
1330646400,25.857498,24.553040,1.304458
1330732800,25.350000,24.562926,0.787074
1330819200,25.549999,24.572812,0.977187
1330905600,24.587500,24.582698,0.004801
1330992000,NaN,24.592584,NaN
1331078400,NaN,24.602471,NaN
1331164800,23.824999,24.612357,-0.787358
1331251200,NaN,24.622243,NaN
1331424000,NaN,24.642015,NaN
1331510400,25.237499,24.651901,0.585598
1331596800,24.484999,24.661787,-0.176789
1331683200,NaN,24.671673,NaN
1331769600,24.035000,24.705411,-0.670411
1331856000,24.879999,24.739148,0.140851
1331942400,24.767498,24.772885,-0.005387
1332028800,25.404999,24.806623,0.598376
1332115200,NaN,24.840360,NaN
1332201600,NaN,24.874098,NaN
1332288000,24.247499,24.907835,-0.660335
1332374400,24.797499,24.941572,-0.144074
1332460800,NaN,24.975310,NaN
1332547200,25.299999,25.009047,0.290952
1332806400,NaN,25.110259,NaN
1332892800,NaN,25.143997,NaN
1332979200,24.847500,25.177734,-0.330234
1333065600,24.567499,25.211471,-0.643972
1333152000,25.202499,25.245209,-0.042709
1333238400,25.369999,25.278946,0.091053
1333324800,26.064999,25.312683,0.752315
1333411200,26.377499,25.346421,1.031078
1333497600,26.474998,25.380158,1.094840
1333584000,NaN,25.413895,NaN
1333670400,NaN,25.447633,NaN
1333756800,25.689999,25.481370,0.208628
1333843200,NaN,25.515108,NaN
1333929600,25.500000,25.548845,-0.048845
1334016000,NaN,25.582582,NaN
1334102400,25.327499,25.616320,-0.288820
1334188800,25.650000,25.650057,-0.000057
1334275200,25.910000,25.683794,0.226206
1334361600,NaN,25.717532,NaN
1334448000,NaN,25.760740,NaN
1334534400,NaN,25.803948,NaN
1334620800,25.225000,25.847157,-0.622156
1334707200,NaN,25.890365,NaN
1334793600,NaN,25.933573,NaN
1334880000,NaN,25.976782,NaN
1334966400,NaN,26.019990,NaN
1335052800,25.049999,26.063198,-1.013199
1335139200,24.989998,26.106407,-1.116409
1335225600,24.594999,26.149615,-1.554616
1335312000,24.135000,26.192823,-2.057823
1335398400,NaN,26.236032,NaN
1335484800,NaN,26.279240,NaN
1335571200,NaN,26.322448,NaN
1335657600,NaN,26.365657,NaN
1335744000,NaN,26.408865,NaN
1335830400,NaN,26.452073,NaN
1335916800,NaN,26.495282,NaN
1336003200,NaN,26.538490,NaN
1336089600,25.627499,26.581698,-0.954200
1336176000,NaN,26.624907,NaN
1336262400,25.844999,26.668115,-0.823116
1336348800,NaN,26.711323,NaN
1336435200,26.562500,26.754532,-0.192032
1336521600,26.199999,26.797740,-0.597741
1336608000,NaN,26.840948,NaN
1336694400,26.769999,26.884157,-0.114158
1336780800,NaN,26.927365,NaN
1336867200,27.090000,26.970573,0.119427
1336953600,NaN,27.013782,NaN
1337040000,NaN,27.073158,NaN
1337126400,NaN,27.132535,NaN
1337212800,NaN,27.191912,NaN
1337299200,NaN,27.251289,NaN
1337385600,NaN,27.310666,NaN
1337472000,NaN,27.370043,NaN
1337558400,26.767498,27.429419,-0.661921
1337644800,NaN,27.488796,NaN
1337731200,NaN,27.548173,NaN
1337817600,26.605000,27.607550,-1.002550
1337904000,26.759998,27.666927,-0.906928
1337990400,26.900000,27.726304,-0.826304
1338076800,NaN,27.785680,NaN
1338163200,27.680000,27.845057,-0.165057
1338249600,NaN,27.904434,NaN
1338336000,28.452499,27.963811,0.488688
1338422400,NaN,28.023188,NaN
1338508800,NaN,28.082565,NaN
1338595200,NaN,28.141941,NaN
1338681600,28.170000,28.201318,-0.031318
1338768000,28.275000,28.260695,0.014304
1338854400,NaN,28.320072,NaN
1338940800,NaN,28.379449,NaN
1339027200,NaN,28.438826,NaN
1339113600,NaN,28.498202,NaN
1339200000,NaN,28.557579,NaN
1339286400,27.789999,28.616956,-0.826957
1339372800,28.965000,28.676333,0.288667
1339459200,NaN,28.735710,NaN
1339545600,28.759998,28.795087,-0.035088
1339632000,NaN,28.854464,NaN
1339718400,28.760000,28.888937,-0.128937
1339804800,29.414999,28.923411,0.491588
1339891200,27.559999,28.957884,-1.397885
1339977600,NaN,28.992358,NaN
1340064000,NaN,29.026832,NaN
1340150400,NaN,29.061305,NaN
1340236800,NaN,29.095779,NaN
1340409600,NaN,29.164726,NaN
1340496000,NaN,29.199200,NaN
1340582400,NaN,29.233674,NaN
1340668800,NaN,29.268147,NaN
1340755200,28.049999,29.302621,-1.252622
1340841600,NaN,29.337095,NaN
1340928000,NaN,29.371568,NaN
1341014400,28.117500,29.406042,-1.288542
1341100800,28.309999,29.440515,-1.130516
1341187200,28.760000,29.474989,-0.714989
1341273600,29.564999,29.509463,0.055536
1341360000,29.344999,29.543936,-0.198937
1341446400,29.645000,29.578410,0.066590
1341532800,28.855000,29.612884,-0.757884
1341619200,NaN,29.647357,NaN
1341705600,NaN,29.681831,NaN
1341792000,29.965000,29.716305,0.248696
1341878400,NaN,29.750778,NaN
1341964800,NaN,29.785252,NaN
1342051200,NaN,29.819726,NaN
1342137600,28.654999,29.854199,-1.199200
1342224000,28.644999,29.888673,-1.243674
1342310400,NaN,29.906415,NaN
1342396800,NaN,29.924156,NaN
1342483200,NaN,29.941898,NaN
1342569600,29.234999,29.959640,-0.724641
1342656000,NaN,29.977381,NaN
1342742400,29.254999,29.995123,-0.740124
1342828800,NaN,30.012865,NaN
1342915200,NaN,30.030607,NaN
1343001600,NaN,30.048348,NaN
1343088000,NaN,30.066090,NaN
1343174400,NaN,30.083832,NaN
1343260800,NaN,30.101573,NaN
1343347200,29.357498,30.119315,-0.761817
1343433600,29.232498,30.137057,-0.904559
1343520000,28.699999,30.154799,-1.454800
1343606400,29.959999,30.172540,-0.212541
1343692800,29.709999,30.190282,-0.480283
1343779200,30.439999,30.208024,0.231975
1343865600,29.927500,30.225765,-0.298266
1343952000,30.454998,30.243507,0.211491
1344038400,30.959999,30.261249,0.698750
1344124800,NaN,30.278991,NaN
1344211200,NaN,30.296732,NaN
1344297600,28.389999,30.314474,-1.924475
1344384000,28.740000,30.332216,-1.592216
1344470400,29.674999,30.349957,-0.674958
1344556800,NaN,30.367699,NaN
1344643200,NaN,30.385441,NaN
1344729600,NaN,30.403183,NaN
1344816000,NaN,30.420924,NaN
1344902400,29.337500,30.438666,-1.101166
1344988800,NaN,30.420750,NaN
1345075200,NaN,30.402835,NaN
1345161600,30.240000,30.384919,-0.144919
1345248000,29.702499,30.367003,-0.664504
1345334400,NaN,30.349087,NaN
1345420800,31.160000,30.331172,0.828828
1345507200,NaN,30.313256,NaN
1345593600,NaN,30.295340,NaN
1345680000,NaN,30.277425,NaN
1345766400,NaN,30.259509,NaN
1345852800,NaN,30.241593,NaN
1345939200,NaN,30.223677,NaN
1346025600,NaN,30.205762,NaN
1346112000,NaN,30.187846,NaN
1346198400,29.174999,30.169930,-0.994931
1346284800,28.904999,30.152015,-1.247016
1346371200,NaN,30.134099,NaN
1346457600,28.362499,30.116183,-1.753684
1346544000,29.090000,30.098267,-1.008267
1346630400,28.857498,30.080352,-1.222854
1346716800,28.757500,30.062436,-1.304936
1346803200,29.314999,30.044520,-0.729522
1346889600,NaN,30.026605,NaN
1346976000,30.045000,30.008689,0.036311
1347062400,NaN,29.990773,NaN
1347148800,29.779999,29.972858,-0.192859
1347235200,29.434999,29.954942,-0.519942
1347321600,29.244999,29.937026,-0.692027
1347408000,30.019999,29.919110,0.100888
1347494400,NaN,29.901195,NaN
1347580800,NaN,29.883279,NaN
1347667200,NaN,29.837996,NaN
1347753600,NaN,29.792714,NaN
1347840000,NaN,29.747431,NaN
1347926400,29.029999,29.702149,-0.672150
1348012800,NaN,29.656866,NaN
1348099200,NaN,29.611584,NaN
1348185600,NaN,29.566301,NaN
1348272000,NaN,29.521019,NaN
1348358400,NaN,29.475736,NaN
1348444800,NaN,29.430454,NaN
1348531200,NaN,29.385171,NaN
