Time,mean,climatology,anomaly
1326931200,NaN,24.524747,NaN
1327017600,22.510000,24.516166,-2.006166
1327104000,23.209999,24.507586,-1.297587
1327190400,NaN,24.499006,NaN
1327276800,24.782499,24.490426,0.292074
1327363200,24.044998,24.481846,-0.436847
1327449600,24.302500,24.473265,-0.170766
1327536000,23.614998,24.464685,-0.849687
1327622400,NaN,24.456105,NaN
1327708800,NaN,24.447525,NaN
1327795200,24.225000,24.438945,-0.213944
1327881600,NaN,24.430364,NaN
1327968000,NaN,24.421784,NaN
1328054400,24.174999,24.413204,-0.238205
1328140800,NaN,24.404624,NaN
1328227200,24.430000,24.396044,0.033957
1328313600,NaN,24.387463,NaN
1328400000,NaN,24.378883,NaN
1328486400,NaN,24.370303,NaN
1328572800,NaN,24.361723,NaN
1328659200,23.807499,24.353142,-0.545644
1328745600,NaN,24.344562,NaN
1328832000,NaN,24.335982,NaN
1328918400,NaN,24.327402,NaN
1329004800,24.202499,24.318822,-0.116322
1329091200,24.484999,24.310241,0.174757
1329264000,24.480000,24.293081,0.186918
1329350400,24.822498,24.304203,0.518295
1329436800,24.725000,24.315325,0.409675
1329609600,24.420000,24.337570,0.082430
1329696000,24.199999,24.348692,-0.148693
1329782400,NaN,24.359814,NaN
1329868800,NaN,24.370937,NaN
1329955200,24.049999,24.382059,-0.332059
1330041600,24.285000,24.393181,-0.108181
1330128000,24.430000,24.404303,0.025697
1330214400,NaN,24.415425,NaN
1330300800,NaN,24.426548,NaN
1330387200,25.025000,24.437670,0.587330
1330473600,25.387501,24.448792,0.938709
1330560000,25.484999,24.459914,1.025084
1330646400,25.594999,24.471036,1.123963
1330732800,24.859999,24.482159,0.377840
1330819200,25.627499,24.493281,1.134218
1330905600,24.650000,24.504403,0.145597
1330992000,NaN,24.515525,NaN
1331078400,NaN,24.526647,NaN
1331164800,24.809999,24.537770,0.272230
1331251200,23.170000,24.548892,-1.378892
1331424000,25.279999,24.571136,0.708862
1331510400,NaN,24.582259,NaN
1331596800,25.150000,24.593381,0.556619
1331683200,NaN,24.604503,NaN
1331769600,25.084999,24.641421,0.443578
1331856000,25.025000,24.678340,0.346660
1331942400,25.180000,24.715258,0.464742
1332028800,25.262501,24.752176,0.510324
1332115200,24.959999,24.789095,0.170904
1332201600,NaN,24.826013,NaN
1332288000,24.875000,24.862932,0.012068
1332374400,24.725000,24.899850,-0.174850
1332460800,25.475000,24.936768,0.538232
1332547200,25.154999,24.973687,0.181312
1332806400,24.885000,25.084442,-0.199442
1332892800,NaN,25.121360,NaN
1332979200,25.019999,25.158279,-0.138280
1333065600,24.779999,25.195197,-0.415198
1333152000,25.215000,25.232116,-0.017115
1333238400,25.299999,25.269034,0.030965
1333324800,NaN,25.305952,NaN
1333411200,26.184999,25.342871,0.842129
1333497600,26.445000,25.379789,1.065211
1333584000,NaN,25.416707,NaN
1333670400,NaN,25.453626,NaN
1333756800,25.607498,25.490544,0.116954
1333843200,NaN,25.527463,NaN
1333929600,25.295000,25.564381,-0.269381
1334016000,25.420000,25.601299,-0.181299
1334102400,25.644999,25.638218,0.006781
1334188800,25.562500,25.675136,-0.112636
1334275200,25.894999,25.712055,0.182944
1334361600,26.439999,25.748973,0.691026
1334448000,25.234999,25.790484,-0.555485
1334534400,25.057499,25.831995,-0.774496
1334620800,NaN,25.873506,NaN
1334707200,25.077499,25.915017,-0.837518
1334793600,NaN,25.956528,NaN
1334880000,25.257500,25.998039,-0.740539
1334966400,NaN,26.039550,NaN
