Time,mean,climatology,anomaly
1326931200,NaN,21.593164,NaN
1327017600,20.900000,21.574968,-0.674969
1327104000,21.559999,21.556772,0.003227
1327190400,22.439999,21.538576,0.901422
1327276800,21.654999,21.520381,0.134618
1327363200,NaN,21.502185,NaN
1327449600,NaN,21.483989,NaN
1327536000,NaN,21.465793,NaN
1327622400,21.625000,21.447597,0.177403
1327708800,NaN,21.429401,NaN
1327795200,21.289999,21.411205,-0.121206
1327881600,NaN,21.393009,NaN
1327968000,NaN,21.374813,NaN
1328054400,NaN,21.356617,NaN
1328140800,20.869999,21.338421,-0.468422
1328227200,NaN,21.320226,NaN
1328313600,21.757500,21.302030,0.455470
1328400000,NaN,21.283834,NaN
1328486400,NaN,21.265638,NaN
1328572800,21.699999,21.247442,0.452557
1328659200,NaN,21.229246,NaN
1328745600,NaN,21.211050,NaN
1328832000,NaN,21.192854,NaN
1328918400,NaN,21.174658,NaN
1329004800,NaN,21.156462,NaN
1329091200,NaN,21.138266,NaN
1329264000,NaN,21.101875,NaN
1329350400,NaN,21.110086,NaN
1329436800,NaN,21.118298,NaN
1329609600,NaN,21.134722,NaN
1329696000,NaN,21.142934,NaN
1329782400,NaN,21.151145,NaN
1329868800,NaN,21.159357,NaN
1329955200,21.260000,21.167569,0.092431
1330041600,NaN,21.175781,NaN
1330128000,NaN,21.183993,NaN
1330214400,NaN,21.192204,NaN
1330300800,NaN,21.200416,NaN
1330387200,NaN,21.208628,NaN
1330473600,NaN,21.216840,NaN
1330560000,NaN,21.225052,NaN
1330646400,21.475000,21.233263,0.241737
1330732800,20.615000,21.241475,-0.626475
1330819200,20.715000,21.249687,-0.534687
1330905600,20.427500,21.257899,-0.830399
1330992000,19.980000,21.266111,-1.286111
1331078400,NaN,21.274322,NaN
1331164800,21.189999,21.282534,-0.092536
1331251200,NaN,21.290746,NaN
1331424000,21.650000,21.307170,0.342830
1331510400,21.442499,21.315381,0.127118
1331596800,21.840000,21.323593,0.516407
1331683200,22.145000,21.331805,0.813195
1331769600,22.529999,21.370794,1.159205
1331856000,NaN,21.409783,NaN
1331942400,NaN,21.448773,NaN
1332028800,NaN,21.487762,NaN
1332115200,NaN,21.526751,NaN
1332201600,22.695000,21.565740,1.129260
1332288000,NaN,21.604729,NaN
1332374400,NaN,21.643718,NaN
1332460800,21.570000,21.682707,-0.112708
