Date,Mean,Climatology,Anomaly
2012-01-19,NaN,21.593164,NaN
2012-01-20,20.900000,21.574968,-0.674969
2012-01-21,21.559999,21.556772,0.003227
2012-01-22,22.439999,21.538576,0.901422
2012-01-23,21.654999,21.520381,0.134618
2012-01-24,NaN,21.502185,NaN
2012-01-25,NaN,21.483989,NaN
2012-01-26,NaN,21.465793,NaN
2012-01-27,21.625000,21.447597,0.177403
2012-01-28,NaN,21.429401,NaN
2012-01-29,21.289999,21.411205,-0.121206
2012-01-30,NaN,21.393009,NaN
2012-01-31,NaN,21.374813,NaN
2012-02-01,NaN,21.356617,NaN
2012-02-02,20.869999,21.338421,-0.468422
2012-02-03,NaN,21.320226,NaN
2012-02-04,21.757500,21.302030,0.455470
2012-02-05,NaN,21.283834,NaN
2012-02-06,NaN,21.265638,NaN
2012-02-07,21.699999,21.247442,0.452557
2012-02-08,NaN,21.229246,NaN
2012-02-09,NaN,21.211050,NaN
2012-02-10,NaN,21.192854,NaN
2012-02-11,NaN,21.174658,NaN
2012-02-12,NaN,21.156462,NaN
2012-02-13,NaN,21.138266,NaN
2012-02-15,NaN,21.101875,NaN
2012-02-16,NaN,21.110086,NaN
2012-02-17,NaN,21.118298,NaN
2012-02-19,NaN,21.134722,NaN
2012-02-20,NaN,21.142934,NaN
2012-02-21,NaN,21.151145,NaN
2012-02-22,NaN,21.159357,NaN
2012-02-23,21.260000,21.167569,0.092431
2012-02-24,NaN,21.175781,NaN
2012-02-25,NaN,21.183993,NaN
2012-02-26,NaN,21.192204,NaN
2012-02-27,NaN,21.200416,NaN
2012-02-28,NaN,21.208628,NaN
2012-02-29,NaN,21.216840,NaN
2012-03-01,NaN,21.225052,NaN
2012-03-02,21.475000,21.233263,0.241737
2012-03-03,20.615000,21.241475,-0.626475
2012-03-04,20.715000,21.249687,-0.534687
2012-03-05,20.427500,21.257899,-0.830399
2012-03-06,19.980000,21.266111,-1.286111
2012-03-07,NaN,21.274322,NaN
2012-03-08,21.189999,21.282534,-0.092536
2012-03-09,NaN,21.290746,NaN
2012-03-11,21.650000,21.307170,0.342830
2012-03-12,21.442499,21.315381,0.127118
2012-03-13,21.840000,21.323593,0.516407
2012-03-14,22.145000,21.331805,0.813195
2012-03-15,22.529999,21.370794,1.159205
2012-03-16,NaN,21.409783,NaN
2012-03-17,NaN,21.448773,NaN
2012-03-18,NaN,21.487762,NaN
2012-03-19,NaN,21.526751,NaN
2012-03-20,22.695000,21.565740,1.129260
2012-03-21,NaN,21.604729,NaN
2012-03-22,NaN,21.643718,NaN
2012-03-23,21.570000,21.682707,-0.112708
2012-03-24,21.865000,21.721696,0.143303
2012-03-27,22.145000,21.838664,0.306337
2012-03-28,NaN,21.877653,NaN
2012-03-29,23.250000,21.916642,1.333358
2012-03-30,NaN,21.955631,NaN
2012-03-31,NaN,21.994620,NaN
2012-04-01,22.574999,22.033610,0.541389
2012-04-02,NaN,22.072599,NaN
2012-04-03,NaN,22.111588,NaN
2012-04-04,NaN,22.150577,NaN
2012-04-05,NaN,22.189566,NaN
2012-04-06,23.279999,22.228555,1.051444
2012-04-07,23.959999,22.267544,1.692455
2012-04-08,NaN,22.306533,NaN
2012-04-09,23.830000,22.345523,1.484477
2012-04-10,23.850000,22.384512,1.465489
2012-04-11,24.139999,22.423501,1.716499
2012-04-12,23.059999,22.462490,0.597509
2012-04-13,23.782499,22.501479,1.281020
2012-04-14,23.910000,22.540468,1.369532
2012-04-15,NaN,22.619971,NaN
2012-04-16,NaN,22.699473,NaN
2012-04-17,NaN,22.778975,NaN
2012-04-18,NaN,22.858477,NaN
2012-04-19,23.427500,22.937980,0.489520
2012-04-20,NaN,23.017482,NaN
2012-04-21,NaN,23.096984,NaN
2012-04-22,23.572500,23.176487,0.396014
2012-04-23,23.055000,23.255989,-0.200989
2012-04-24,22.984999,23.335491,-0.350492
2012-04-25,23.209999,23.414993,-0.204994
2012-04-26,23.564999,23.494496,0.070503
2012-04-27,NaN,23.573998,NaN
2012-04-28,23.535000,23.653500,-0.118501
2012-04-29,NaN,23.733003,NaN
2012-04-30,NaN,23.812505,NaN
2012-05-01,NaN,23.892007,NaN
2012-05-02,24.334999,23.971510,0.363490
2012-05-03,NaN,24.051012,NaN
2012-05-04,25.205000,24.130514,1.074486
2012-05-05,25.049999,24.210016,0.839983
2012-05-06,25.644999,24.289519,1.355480
2012-05-07,25.895000,24.369021,1.525979
2012-05-08,NaN,24.448523,NaN
2012-05-09,26.707500,24.528026,2.179475
2012-05-10,26.334999,24.607528,1.727471
2012-05-11,NaN,24.687030,NaN
2012-05-12,NaN,24.766532,NaN
2012-05-13,NaN,24.846035,NaN
2012-05-14,24.639999,24.925537,-0.285538
2012-05-15,25.475000,25.033378,0.441623
2012-05-16,NaN,25.141218,NaN
2012-05-17,25.639999,25.249059,0.390940
2012-05-18,25.385000,25.356900,0.028100
2012-05-19,25.157499,25.464741,-0.307241
2012-05-20,NaN,25.572581,NaN
2012-05-21,26.144999,25.680422,0.464576
2012-05-22,25.984999,25.788263,0.196736
2012-05-23,26.939999,25.896104,1.043895
2012-05-24,NaN,26.003944,NaN
2012-05-25,NaN,26.111785,NaN
2012-05-26,NaN,26.219626,NaN
2012-05-27,26.484999,26.327466,0.157532
2012-05-28,26.789999,26.435307,0.354692
2012-05-29,27.039999,26.543148,0.496851
2012-05-30,26.625000,26.650989,-0.025989
2012-05-31,27.469999,26.758829,0.711170
2012-06-01,27.520000,26.866670,0.653330
2012-06-02,27.494999,26.974511,0.520488
2012-06-03,27.814999,27.082351,0.732647
2012-06-04,NaN,27.190192,NaN
2012-06-05,27.449999,27.298033,0.151966
2012-06-06,NaN,27.405874,NaN
2012-06-07,28.590000,27.513714,1.076286
2012-06-08,28.772499,27.621555,1.150944
2012-06-09,28.855000,27.729396,1.125604
2012-06-10,28.482498,27.837237,0.645262
2012-06-11,27.922501,27.945077,-0.022577
2012-06-12,28.154999,28.052918,0.102081
2012-06-13,NaN,28.160759,NaN
2012-06-14,29.679998,28.268599,1.411399
2012-06-15,29.385000,28.318717,1.066283
2012-06-16,29.519999,28.368835,1.151164
2012-06-17,NaN,28.418952,NaN
2012-06-18,28.154999,28.469070,-0.314071
2012-06-19,28.414999,28.519188,-0.104189
2012-06-20,NaN,28.569305,NaN
2012-06-21,NaN,28.619423,NaN
2012-06-23,NaN,28.719658,NaN
2012-06-24,28.660000,28.769776,-0.109776
2012-06-25,29.129999,28.819894,0.310106
2012-06-26,29.707499,28.870011,0.837487
2012-06-27,29.164999,28.920129,0.244870
2012-06-28,29.105000,28.970247,0.134753
2012-06-29,NaN,29.020364,NaN
2012-06-30,NaN,29.070482,NaN
2012-07-01,NaN,29.120600,NaN
2012-07-02,28.152500,29.170717,-1.018217
2012-07-03,NaN,29.220835,NaN
2012-07-04,29.184999,29.270952,-0.085953
2012-07-05,29.422499,29.321070,0.101429
2012-07-06,30.264999,29.371188,0.893812
2012-07-07,NaN,29.421305,NaN
2012-07-08,NaN,29.471423,NaN
2012-07-09,NaN,29.521541,NaN
2012-07-10,NaN,29.571658,NaN
2012-07-11,NaN,29.621776,NaN
2012-07-12,NaN,29.671894,NaN
2012-07-13,NaN,29.722011,NaN
2012-07-14,28.352501,29.772129,-1.419628
2012-07-15,NaN,29.785235,NaN
2012-07-16,29.619999,29.798341,-0.178342
2012-07-17,29.945000,29.811447,0.133553
2012-07-18,29.504999,29.824553,-0.319554
2012-07-19,29.754999,29.837659,-0.082660
2012-07-20,29.209999,29.850765,-0.640766
2012-07-21,NaN,29.863871,NaN
2012-07-22,NaN,29.876977,NaN
2012-07-23,29.279999,29.890083,-0.610084
2012-07-24,29.667500,29.903189,-0.235689
2012-07-25,29.362499,29.916295,-0.553795
2012-07-26,29.580000,29.929400,-0.349401
2012-07-27,30.129999,29.942506,0.187493
2012-07-28,29.314999,29.955612,-0.640614
2012-07-29,NaN,29.968718,NaN
2012-07-30,30.244999,29.981824,0.263175
2012-07-31,NaN,29.994930,NaN
2012-08-01,30.207500,30.008036,0.199464
2012-08-02,31.094999,30.021142,1.073857
2012-08-03,30.900000,30.034248,0.865751
2012-08-04,29.840000,30.047354,-0.207354
2012-08-05,NaN,30.060460,NaN
2012-08-06,29.804998,30.073566,-0.268568
2012-08-07,NaN,30.086672,NaN
2012-08-08,30.447498,30.099778,0.347720
2012-08-09,30.514999,30.112884,0.402115
2012-08-10,30.875000,30.125990,0.749010
2012-08-11,31.020000,30.139096,0.880905
2012-08-12,30.279999,30.152202,0.127797
2012-08-13,30.230000,30.165308,0.064692
2012-08-14,29.897499,30.178414,-0.280915
2012-08-15,30.849998,30.152938,0.697061
2012-08-16,30.889999,30.127462,0.762537
2012-08-17,30.830000,30.101986,0.728014
2012-08-18,NaN,30.076510,NaN
2012-08-19,NaN,30.051035,NaN
2012-08-20,NaN,30.025559,NaN
2012-08-21,29.969999,30.000083,-0.030084
2012-08-22,NaN,29.974607,NaN
2012-08-23,NaN,29.949131,NaN
2012-08-24,NaN,29.923656,NaN
2012-08-25,NaN,29.898180,NaN
2012-08-26,NaN,29.872704,NaN
2012-08-27,30.340000,29.847228,0.492772
2012-08-28,30.799999,29.821752,0.978247
2012-08-29,NaN,29.796277,NaN
2012-08-30,NaN,29.770801,NaN
2012-08-31,29.125000,29.745325,-0.620325
2012-09-01,NaN,29.719849,NaN
2012-09-02,NaN,29.694373,NaN
2012-09-03,NaN,29.668897,NaN
2012-09-04,30.019999,29.643422,0.376577
2012-09-05,29.984999,29.617946,0.367053
2012-09-06,30.054998,29.592470,0.462528
2012-09-07,30.250000,29.566994,0.683006
2012-09-08,30.105000,29.541518,0.563481
2012-09-09,NaN,29.516043,NaN
2012-09-10,29.852499,29.490567,0.361932
2012-09-11,NaN,29.465091,NaN
2012-09-12,29.487499,29.439615,0.047884
2012-09-13,NaN,29.414139,NaN
2012-09-14,30.115000,29.388664,0.726336
2012-09-15,29.980000,29.346466,0.633534
2012-09-16,NaN,29.304267,NaN
2012-09-17,NaN,29.262069,NaN
2012-09-18,28.292500,29.219871,-0.927372
2012-09-19,NaN,29.177673,NaN
2012-09-20,NaN,29.135475,NaN
2012-09-21,28.717499,29.093277,-0.375778
2012-09-22,28.744999,29.051079,-0.306080
2012-09-23,29.254999,29.008881,0.246118
2012-09-24,28.504999,28.966683,-0.461684
2012-09-25,28.612499,28.924485,-0.311986
2012-09-26,NaN,28.882287,NaN
2012-09-27,29.000000,28.840089,0.159911
2012-09-28,NaN,28.797891,NaN
2012-09-29,NaN,28.755693,NaN
2012-09-30,NaN,28.713495,NaN
2012-10-01,NaN,28.671297,NaN
2012-10-02,NaN,28.629099,NaN
2012-10-03,28.320000,28.586901,-0.266901
2012-10-04,28.049999,28.544703,-0.494703
2012-10-05,27.244999,28.502505,-1.257506
2012-10-06,27.764999,28.460306,-0.695307
2012-10-07,27.885000,28.418108,-0.533108
2012-10-08,NaN,28.375910,NaN
2012-10-09,NaN,28.333712,NaN
2012-10-10,27.209999,28.291514,-1.081515
2012-10-11,28.400000,28.249316,0.150683
2012-10-12,28.295000,28.207118,0.087882
2012-10-13,NaN,28.164920,NaN
2012-10-14,NaN,28.122722,NaN
2012-10-15,27.930000,28.026249,-0.096249
2012-10-16,NaN,27.929776,NaN
2012-10-17,NaN,27.833304,NaN
2012-10-18,NaN,27.736831,NaN
2012-10-19,NaN,27.640358,NaN
2012-10-20,27.465000,27.543885,-0.078885
2012-10-21,26.785000,27.447412,-0.662412
2012-10-22,27.115000,27.350939,-0.235940
2012-10-23,27.650000,27.254466,0.395533
2012-10-24,NaN,27.157994,NaN
2012-10-25,NaN,27.061521,NaN
2012-10-26,NaN,26.965048,NaN
2012-10-27,NaN,26.868575,NaN
2012-10-28,NaN,26.772102,NaN
2012-10-29,26.779999,26.675629,0.104369
2012-10-30,26.775000,26.579157,0.195843
2012-10-31,NaN,26.482684,NaN
2012-11-01,26.400000,26.386211,0.013789
2012-11-02,NaN,26.289738,NaN
2012-11-03,26.455000,26.193265,0.261735
2012-11-04,NaN,26.096792,NaN
2012-11-05,NaN,26.000319,NaN
2012-11-06,NaN,25.903847,NaN
2012-11-07,26.555000,25.807374,0.747627
2012-11-08,26.314999,25.710901,0.604098
2012-11-09,26.430000,25.614428,0.815572
2012-11-10,NaN,25.517955,NaN
2012-11-11,NaN,25.421482,NaN
2012-11-12,NaN,25.325009,NaN
2012-11-13,NaN,25.228537,NaN
2012-11-14,NaN,25.132064,NaN
2012-11-15,25.730000,25.068141,0.661859
2012-11-16,NaN,25.004218,NaN
2012-11-17,NaN,24.940295,NaN
2012-11-18,25.862499,24.876372,0.986127
2012-11-19,NaN,24.812449,NaN
2012-11-20,NaN,24.748526,NaN
2012-11-21,25.779999,24.684603,1.095396
2012-11-22,25.134998,24.620680,0.514318
2012-11-23,NaN,24.556757,NaN
2012-11-24,NaN,24.492834,NaN
2012-11-25,25.215000,24.428911,0.786089
2012-11-26,NaN,24.364988,NaN
2012-11-27,NaN,24.301065,NaN
2012-11-28,NaN,24.237142,NaN
2012-11-29,24.282499,24.173219,0.109280
2012-11-30,NaN,24.109296,NaN
2012-12-01,24.379999,24.045373,0.334626
2012-12-02,24.279999,23.981450,0.298549
2012-12-03,24.619999,23.917527,0.702472
2012-12-04,NaN,23.853604,NaN
2012-12-05,24.844999,23.789681,1.055318
2012-12-06,NaN,23.725758,NaN
2012-12-07,NaN,23.661835,NaN
2012-12-08,NaN,23.597912,NaN
2012-12-09,NaN,23.533989,NaN
2012-12-10,NaN,23.470066,NaN
