Time,mean,climatology,anomaly
1326931200,NaN,22.024698,NaN
1327017600,20.635000,22.004135,-1.369135
1327104000,21.234999,21.983572,-0.748573
1327190400,NaN,21.963009,NaN
1327276800,NaN,21.942446,NaN
1327363200,NaN,21.921883,NaN
1327449600,22.020000,21.901320,0.118680
1327536000,NaN,21.880758,NaN
1327622400,21.395000,21.860195,-0.465194
1327708800,NaN,21.839632,NaN
1327795200,21.355000,21.819069,-0.464069
1327881600,NaN,21.798506,NaN
1327968000,NaN,21.777943,NaN
1328054400,NaN,21.757380,NaN
1328140800,NaN,21.736817,NaN
1328227200,NaN,21.716254,NaN
1328313600,21.939999,21.695691,0.244307
1328400000,NaN,21.675129,NaN
1328486400,NaN,21.654566,NaN
1328572800,NaN,21.634003,NaN
1328659200,NaN,21.613440,NaN
1328745600,NaN,21.592877,NaN
1328832000,NaN,21.572314,NaN
1328918400,NaN,21.551751,NaN
1329004800,NaN,21.531188,NaN
1329091200,NaN,21.510625,NaN
1329264000,NaN,21.469500,NaN
1329350400,NaN,21.477480,NaN
1329436800,NaN,21.485461,NaN
1329609600,NaN,21.501423,NaN
1329696000,NaN,21.509403,NaN
1329782400,NaN,21.517384,NaN
1329868800,NaN,21.525365,NaN
1329955200,21.689999,21.533346,0.156653
1330041600,NaN,21.541326,NaN
1330128000,NaN,21.549307,NaN
1330214400,NaN,21.557288,NaN
1330300800,NaN,21.565269,NaN
1330387200,NaN,21.573249,NaN
1330473600,NaN,21.581230,NaN
1330560000,NaN,21.589211,NaN
1330646400,NaN,21.597192,NaN
1330732800,22.029999,21.605173,0.424826
1330819200,21.254999,21.613153,-0.358154
1330905600,21.342499,21.621134,-0.278635
1330992000,20.525000,21.629115,-1.104115
1331078400,NaN,21.637096,NaN
1331164800,21.359999,21.645076,-0.285078
1331251200,NaN,21.653057,NaN
1331424000,NaN,21.669019,NaN
1331510400,NaN,21.676999,NaN
1331596800,22.090000,21.684980,0.405020
1331683200,22.430000,21.692961,0.737039
