Time,mean,climatology,anomaly
1326931200,NaN,21.885783,NaN
1327017600,21.142500,21.884405,-0.741905
1327104000,NaN,21.883026,NaN
1327190400,NaN,21.881647,NaN
1327276800,NaN,21.880269,NaN
1327363200,NaN,21.878890,NaN
1327449600,21.945000,21.877511,0.067488
1327536000,NaN,21.876133,NaN
1327622400,21.494999,21.874754,-0.379755
1327708800,NaN,21.873375,NaN
1327795200,21.205000,21.871997,-0.666997
1327881600,NaN,21.870618,NaN
1327968000,NaN,21.869240,NaN
1328054400,NaN,21.867861,NaN
1328140800,NaN,21.866482,NaN
1328227200,NaN,21.865104,NaN
1328313600,22.474998,21.863725,0.611273
1328400000,22.035000,21.862346,0.172653
1328486400,NaN,21.860968,NaN
1328572800,NaN,21.859589,NaN
1328659200,NaN,21.858210,NaN
1328745600,NaN,21.856832,NaN
1328832000,NaN,21.855453,NaN
1328918400,NaN,21.854075,NaN
1329004800,NaN,21.852696,NaN
1329091200,NaN,21.851317,NaN
1329264000,NaN,21.848560,NaN
1329350400,NaN,21.844206,NaN
1329436800,NaN,21.839852,NaN
1329609600,NaN,21.831143,NaN
1329696000,NaN,21.826789,NaN
1329782400,NaN,21.822435,NaN
1329868800,NaN,21.818081,NaN
1329955200,21.969999,21.813727,0.156272
1330041600,NaN,21.809373,NaN
1330128000,NaN,21.805019,NaN
1330214400,NaN,21.800665,NaN
1330300800,NaN,21.796310,NaN
1330387200,NaN,21.791956,NaN
1330473600,NaN,21.787602,NaN
1330560000,22.070000,21.783248,0.286752
1330646400,NaN,21.778894,NaN
1330732800,21.969999,21.774540,0.195460
1330819200,21.174999,21.770186,-0.595186
1330905600,21.147499,21.765831,-0.618332
1330992000,20.332500,21.761477,-1.428977
1331078400,NaN,21.757123,NaN
1331164800,21.395000,21.752769,-0.357769
1331251200,NaN,21.748415,NaN
1331424000,NaN,21.739707,NaN
1331510400,NaN,21.735352,NaN
1331596800,NaN,21.730998,NaN
1331683200,23.219999,21.726644,1.493355
1331769600,23.752499,21.755642,1.996857
1331856000,NaN,21.784639,NaN
1331942400,NaN,21.813637,NaN
1332028800,NaN,21.842635,NaN
1332115200,NaN,21.871632,NaN
1332201600,23.609999,21.900630,1.709369
1332288000,NaN,21.929628,NaN
1332374400,NaN,21.958625,NaN
1332460800,NaN,21.987623,NaN
1332547200,NaN,22.016621,NaN
1332806400,22.840000,22.103613,0.736387
1332892800,NaN,22.132611,NaN
1332979200,23.754999,22.161609,1.593390
1333065600,NaN,22.190606,NaN
1333152000,NaN,22.219604,NaN
1333238400,23.869999,22.248602,1.621397
1333324800,NaN,22.277599,NaN
1333411200,23.830000,22.306597,1.523403
1333497600,NaN,22.335595,NaN
1333584000,NaN,22.364592,NaN
1333670400,NaN,22.393590,NaN
1333756800,23.747499,22.422587,1.324912
1333843200,NaN,22.451585,NaN
1333929600,24.049999,22.480583,1.569416
1334016000,24.049999,22.509580,1.540419
1334102400,24.477501,22.538578,1.938923
1334188800,24.670000,22.567576,2.102424
1334275200,NaN,22.596573,NaN
1334361600,NaN,22.625571,NaN
1334448000,NaN,22.704776,NaN
1334534400,NaN,22.783982,NaN
1334620800,NaN,22.863187,NaN
1334707200,NaN,22.942393,NaN
1334793600,NaN,23.021599,NaN
1334880000,24.545000,23.100804,1.444196
1334966400,NaN,23.180010,NaN
1335052800,24.367500,23.259215,1.108285
1335139200,23.660000,23.338421,0.321579
1335225600,24.167500,23.417626,0.749873
1335312000,24.184999,23.496832,0.688168
1335398400,24.074999,23.576037,0.498962
1335484800,NaN,23.655243,NaN
1335571200,NaN,23.734448,NaN
1335657600,24.240000,23.813654,0.426346
1335744000,24.879999,23.892859,0.987140
1335830400,24.762501,23.972065,0.790436
1335916800,NaN,24.051270,NaN
1336003200,NaN,24.130476,NaN
1336089600,NaN,24.209681,NaN
1336176000,25.697500,24.288887,1.408613
1336262400,26.099998,24.368092,1.731906
1336348800,26.154999,24.447298,1.707701
1336435200,NaN,24.526503,NaN
1336521600,26.607498,24.605709,2.001789
1336608000,NaN,24.684914,NaN
1336694400,NaN,24.764120,NaN
1336780800,25.724998,24.843325,0.881673
1336867200,25.220001,24.922531,0.297470
1336953600,25.014999,25.001736,0.013263
1337040000,25.572498,25.111462,0.461036
1337126400,25.344999,25.221189,0.123811
1337212800,25.945000,25.330915,0.614085
1337299200,25.225000,25.440641,-0.215640
1337385600,25.285000,25.550367,-0.265367
1337472000,NaN,25.660093,NaN
1337558400,26.014999,25.769819,0.245180
1337644800,26.014999,25.879545,0.135454
1337731200,26.564999,25.989271,0.575727
1337817600,NaN,26.098997,NaN
1337904000,25.814999,26.208723,-0.393725
1337990400,25.664999,26.318449,-0.653450
1338076800,26.144999,26.428175,-0.283177
1338163200,26.219999,26.537902,-0.317902
1338249600,26.619999,26.647628,-0.027629
1338336000,26.939999,26.757354,0.182645
1338422400,26.955000,26.867080,0.087920
1338508800,27.692499,26.976806,0.715693
1338595200,27.184999,27.086532,0.098468
1338681600,NaN,27.196258,NaN
1338768000,NaN,27.305984,NaN
1338854400,27.502499,27.415710,0.086788
1338940800,NaN,27.525436,NaN
