Time,mean,climatology,anomaly
1326931200,NaN,21.783616,NaN
1327017600,20.709999,21.767142,-1.057143
1327104000,NaN,21.750669,NaN
1327190400,NaN,21.734195,NaN
1327276800,NaN,21.717721,NaN
1327363200,NaN,21.701248,NaN
1327449600,21.947498,21.684774,0.262724
1327536000,NaN,21.668300,NaN
1327622400,21.639999,21.651827,-0.011827
1327708800,NaN,21.635353,NaN
1327795200,NaN,21.618879,NaN
1327881600,NaN,21.602406,NaN
1327968000,NaN,21.585932,NaN
1328054400,NaN,21.569459,NaN
1328140800,21.244999,21.552985,-0.307986
1328227200,NaN,21.536511,NaN
1328313600,21.955000,21.520038,0.434962
1328400000,NaN,21.503564,NaN
1328486400,NaN,21.487090,NaN
1328572800,21.942501,21.470617,0.471884
1328659200,NaN,21.454143,NaN
1328745600,NaN,21.437669,NaN
1328832000,NaN,21.421196,NaN
1328918400,NaN,21.404722,NaN
1329004800,NaN,21.388249,NaN
1329091200,NaN,21.371775,NaN
1329264000,NaN,21.338828,NaN
1329350400,NaN,21.352500,NaN
1329436800,NaN,21.366172,NaN
1329609600,NaN,21.393517,NaN
1329696000,NaN,21.407190,NaN
1329782400,NaN,21.420862,NaN
1329868800,NaN,21.434534,NaN
1329955200,21.715000,21.448207,0.266793
1330041600,NaN,21.461879,NaN
1330128000,NaN,21.475552,NaN
1330214400,NaN,21.489224,NaN
1330300800,NaN,21.502896,NaN
1330387200,NaN,21.516569,NaN
1330473600,NaN,21.530241,NaN
1330560000,NaN,21.543914,NaN
1330646400,NaN,21.557586,NaN
1330732800,20.639999,21.571258,-0.931259
1330819200,21.389999,21.584931,-0.194932
1330905600,21.225000,21.598603,-0.373603
1330992000,20.520000,21.612276,-1.092275
1331078400,NaN,21.625948,NaN
1331164800,21.369999,21.639621,-0.269622
1331251200,NaN,21.653293,NaN
1331424000,21.779999,21.680638,0.099361
1331510400,21.574999,21.694310,-0.119311
1331596800,21.869999,21.707983,0.162016
1331683200,22.094999,21.721655,0.373344
1331769600,22.529999,21.756764,0.773235
1331856000,NaN,21.791873,NaN
1331942400,NaN,21.826982,NaN
1332028800,NaN,21.862091,NaN
1332115200,NaN,21.897200,NaN
1332201600,22.889999,21.932310,0.957690
1332288000,NaN,21.967419,NaN
1332374400,NaN,22.002528,NaN
1332460800,21.494999,22.037637,-0.542638
1332547200,22.055000,22.072746,-0.017746
1332806400,22.385000,22.178073,0.206927
1332892800,NaN,22.213182,NaN
1332979200,23.234999,22.248292,0.986707
1333065600,22.789999,22.283401,0.506598
1333152000,NaN,22.318510,NaN
1333238400,22.570000,22.353619,0.216381
1333324800,NaN,22.388728,NaN
1333411200,NaN,22.423837,NaN
1333497600,NaN,22.458946,NaN
1333584000,NaN,22.494055,NaN
1333670400,23.510000,22.529164,0.980836
1333756800,NaN,22.564274,NaN
1333843200,NaN,22.599383,NaN
1333929600,23.785000,22.634492,1.150508
1334016000,23.855000,22.669601,1.185399
1334102400,24.099998,22.704710,1.395288
1334188800,23.547499,22.739819,0.807680
1334275200,23.695000,22.774928,0.920071
1334361600,23.709999,22.810037,0.899962
1334448000,NaN,22.879992,NaN
1334534400,NaN,22.949947,NaN
1334620800,NaN,23.019902,NaN
1334707200,23.167500,23.089856,0.077643
1334793600,NaN,23.159811,NaN
1334880000,NaN,23.229766,NaN
1334966400,NaN,23.299721,NaN
1335052800,23.507500,23.369676,0.137824
1335139200,23.189999,23.439630,-0.249632
1335225600,22.965000,23.509585,-0.544585
1335312000,23.164999,23.579540,-0.414541
1335398400,23.590000,23.649495,-0.059495
1335484800,NaN,23.719449,NaN
1335571200,23.840000,23.789404,0.050596
1335657600,23.615000,23.859359,-0.244359
1335744000,NaN,23.929314,NaN
1335830400,NaN,23.999269,NaN
1335916800,24.625000,24.069223,0.555777
1336003200,NaN,24.139178,NaN
1336089600,25.320000,24.209133,1.110867
1336176000,24.985001,24.279088,0.705913
1336262400,25.844999,24.349043,1.495957
1336348800,25.875000,24.418997,1.456003
1336435200,NaN,24.488952,NaN
1336521600,NaN,24.558907,NaN
1336608000,26.260000,24.628862,1.631139
1336694400,NaN,24.698816,NaN
1336780800,NaN,24.768771,NaN
1336867200,25.100000,24.838726,0.261274
1336953600,24.584999,24.908681,-0.323682
1337040000,25.625000,25.019045,0.605955
1337126400,NaN,25.129409,NaN
1337212800,25.469999,25.239774,0.230226
1337299200,25.664999,25.350138,0.314861
