Date,Mean,Climatology,Anomaly
2012-01-19,NaN,21.783616,NaN
2012-01-20,20.709999,21.767142,-1.057143
2012-01-21,NaN,21.750669,NaN
2012-01-22,NaN,21.734195,NaN
2012-01-23,NaN,21.717721,NaN
2012-01-24,NaN,21.701248,NaN
2012-01-25,21.947498,21.684774,0.262724
2012-01-26,NaN,21.668300,NaN
2012-01-27,21.639999,21.651827,-0.011827
2012-01-28,NaN,21.635353,NaN
2012-01-29,NaN,21.618879,NaN
2012-01-30,NaN,21.602406,NaN
2012-01-31,NaN,21.585932,NaN
2012-02-01,NaN,21.569459,NaN
2012-02-02,21.244999,21.552985,-0.307986
2012-02-03,NaN,21.536511,NaN
2012-02-04,21.955000,21.520038,0.434962
2012-02-05,NaN,21.503564,NaN
2012-02-06,NaN,21.487090,NaN
2012-02-07,21.942501,21.470617,0.471884
2012-02-08,NaN,21.454143,NaN
2012-02-09,NaN,21.437669,NaN
2012-02-10,NaN,21.421196,NaN
2012-02-11,NaN,21.404722,NaN
2012-02-12,NaN,21.388249,NaN
2012-02-13,NaN,21.371775,NaN
2012-02-15,NaN,21.338828,NaN
2012-02-16,NaN,21.352500,NaN
2012-02-17,NaN,21.366172,NaN
2012-02-19,NaN,21.393517,NaN
2012-02-20,NaN,21.407190,NaN
2012-02-21,NaN,21.420862,NaN
2012-02-22,NaN,21.434534,NaN
2012-02-23,21.715000,21.448207,0.266793
2012-02-24,NaN,21.461879,NaN
2012-02-25,NaN,21.475552,NaN
2012-02-26,NaN,21.489224,NaN
2012-02-27,NaN,21.502896,NaN
2012-02-28,NaN,21.516569,NaN
2012-02-29,NaN,21.530241,NaN
2012-03-01,NaN,21.543914,NaN
2012-03-02,NaN,21.557586,NaN
2012-03-03,20.639999,21.571258,-0.931259
2012-03-04,21.389999,21.584931,-0.194932
2012-03-05,21.225000,21.598603,-0.373603
2012-03-06,20.520000,21.612276,-1.092275
2012-03-07,NaN,21.625948,NaN
2012-03-08,21.369999,21.639621,-0.269622
2012-03-09,NaN,21.653293,NaN
2012-03-11,21.779999,21.680638,0.099361
2012-03-12,21.574999,21.694310,-0.119311
2012-03-13,21.869999,21.707983,0.162016
2012-03-14,22.094999,21.721655,0.373344
2012-03-15,22.529999,21.756764,0.773235
2012-03-16,NaN,21.791873,NaN
2012-03-17,NaN,21.826982,NaN
2012-03-18,NaN,21.862091,NaN
2012-03-19,NaN,21.897200,NaN
2012-03-20,22.889999,21.932310,0.957690
2012-03-21,NaN,21.967419,NaN
2012-03-22,NaN,22.002528,NaN
2012-03-23,21.494999,22.037637,-0.542638
2012-03-24,22.055000,22.072746,-0.017746
2012-03-27,22.385000,22.178073,0.206927
2012-03-28,NaN,22.213182,NaN
2012-03-29,23.234999,22.248292,0.986707
2012-03-30,22.789999,22.283401,0.506598
2012-03-31,NaN,22.318510,NaN
2012-04-01,22.570000,22.353619,0.216381
2012-04-02,NaN,22.388728,NaN
2012-04-03,NaN,22.423837,NaN
2012-04-04,NaN,22.458946,NaN
2012-04-05,NaN,22.494055,NaN
2012-04-06,23.510000,22.529164,0.980836
2012-04-07,NaN,22.564274,NaN
2012-04-08,NaN,22.599383,NaN
2012-04-09,23.785000,22.634492,1.150508
2012-04-10,23.855000,22.669601,1.185399
2012-04-11,24.099998,22.704710,1.395288
2012-04-12,23.547499,22.739819,0.807680
2012-04-13,23.695000,22.774928,0.920071
2012-04-14,23.709999,22.810037,0.899962
2012-04-15,NaN,22.879992,NaN
2012-04-16,NaN,22.949947,NaN
2012-04-17,NaN,23.019902,NaN
2012-04-18,23.167500,23.089856,0.077643
2012-04-19,NaN,23.159811,NaN
2012-04-20,NaN,23.229766,NaN
2012-04-21,NaN,23.299721,NaN
2012-04-22,23.507500,23.369676,0.137824
