Time,mean,climatology,anomaly
1326931200,NaN,23.697952,NaN
1327017600,22.219999,23.680113,-1.460114
1327104000,NaN,23.662274,NaN
1327190400,21.900000,23.644435,-1.744436
1327276800,NaN,23.626596,NaN
1327363200,NaN,23.608757,NaN
1327449600,NaN,23.590918,NaN
1327536000,NaN,23.573079,NaN
1327622400,NaN,23.555240,NaN
1327708800,NaN,23.537401,NaN
1327795200,NaN,23.519562,NaN
1327881600,NaN,23.501723,NaN
1327968000,NaN,23.483884,NaN
1328054400,23.237499,23.466045,-0.228546
1328140800,NaN,23.448206,NaN
1328227200,NaN,23.430367,NaN
1328313600,24.545000,23.412528,1.132472
1328400000,NaN,23.394689,NaN
1328486400,NaN,23.376849,NaN
1328572800,NaN,23.359010,NaN
1328659200,NaN,23.341171,NaN
1328745600,NaN,23.323332,NaN
1328832000,NaN,23.305493,NaN
1328918400,NaN,23.287654,NaN
1329004800,NaN,23.269815,NaN
1329091200,NaN,23.251976,NaN
1329264000,22.670000,23.216298,-0.546298
1329350400,NaN,23.222260,NaN
1329436800,NaN,23.228221,NaN
1329609600,23.699999,23.240145,0.459854
1329696000,24.150000,23.246106,0.903893
1329782400,NaN,23.252068,NaN
1329868800,NaN,23.258029,NaN
1329955200,NaN,23.263991,NaN
1330041600,NaN,23.269953,NaN
1330128000,NaN,23.275914,NaN
1330214400,NaN,23.281876,NaN
1330300800,NaN,23.287838,NaN
1330387200,24.305000,23.293799,1.011201
1330473600,24.187500,23.299761,0.887739
1330560000,24.234999,23.305723,0.929276
1330646400,23.212500,23.311684,-0.099185
1330732800,23.234999,23.317646,-0.082647
1330819200,23.090000,23.323607,-0.233607
1330905600,NaN,23.329569,NaN
1330992000,20.750000,23.335531,-2.585531
1331078400,NaN,23.341492,NaN
1331164800,22.215000,23.347454,-1.132454
1331251200,23.994999,23.353416,0.641583
1331424000,NaN,23.365339,NaN
1331510400,NaN,23.371300,NaN
1331596800,NaN,23.377262,NaN
1331683200,24.584999,23.383224,1.201775
1331769600,NaN,23.422411,NaN
1331856000,24.904999,23.461599,1.443400
1331942400,24.847500,23.500787,1.346713
1332028800,25.230000,23.539974,1.690025
1332115200,NaN,23.579162,NaN
1332201600,NaN,23.618350,NaN
1332288000,24.807499,23.657537,1.149961
1332374400,NaN,23.696725,NaN
1332460800,24.639999,23.735913,0.904087
1332547200,NaN,23.775101,NaN
1332806400,NaN,23.892664,NaN
1332892800,NaN,23.931851,NaN
1332979200,NaN,23.971039,NaN
1333065600,24.924999,24.010227,0.914773
1333152000,24.434999,24.049414,0.385585
1333238400,NaN,24.088602,NaN
1333324800,24.219999,24.127790,0.092210
1333411200,24.934999,24.166977,0.768022
1333497600,24.764999,24.206165,0.558834
1333584000,NaN,24.245353,NaN
1333670400,25.410000,24.284540,1.125459
1333756800,NaN,24.323728,NaN
1333843200,NaN,24.362916,NaN
1333929600,24.379999,24.402103,-0.022104
1334016000,24.414999,24.441291,-0.026292
1334102400,24.482498,24.480479,0.002019
1334188800,24.670000,24.519666,0.150334
1334275200,NaN,24.558854,NaN
1334361600,NaN,24.598042,NaN
1334448000,NaN,24.639827,NaN
1334534400,NaN,24.681612,NaN
1334620800,NaN,24.723398,NaN
1334707200,NaN,24.765183,NaN
1334793600,NaN,24.806968,NaN
1334880000,NaN,24.848753,NaN
1334966400,NaN,24.890539,NaN
1335052800,NaN,24.932324,NaN
1335139200,NaN,24.974109,NaN
1335225600,22.207500,25.015894,-2.808394
1335312000,22.275000,25.057679,-2.782680
1335398400,22.014999,25.099465,-3.084465
1335484800,23.724998,25.141250,-1.416251
1335571200,NaN,25.183035,NaN
1335657600,NaN,25.224820,NaN
1335744000,NaN,25.266606,NaN
1335830400,NaN,25.308391,NaN
1335916800,24.844999,25.350176,-0.505177
1336003200,24.789999,25.391961,-0.601962
1336089600,NaN,25.433747,NaN
1336176000,25.135000,25.475532,-0.340532
1336262400,25.000000,25.517317,-0.517317
1336348800,25.639999,25.559102,0.080897
1336435200,25.295000,25.600888,-0.305888
1336521600,24.880001,25.642673,-0.762672
1336608000,NaN,25.684458,NaN
1336694400,NaN,25.726243,NaN
1336780800,NaN,25.768029,NaN
1336867200,25.115000,25.809814,-0.694814
1336953600,NaN,25.851599,NaN
1337040000,NaN,25.904119,NaN
1337126400,NaN,25.956639,NaN
1337212800,NaN,26.009158,NaN
1337299200,NaN,26.061678,NaN
1337385600,26.115000,26.114198,0.000802
1337472000,25.730000,26.166718,-0.436718
1337558400,NaN,26.219237,NaN
1337644800,NaN,26.271757,NaN
1337731200,26.369999,26.324277,0.045722
1337817600,25.165001,26.376797,-1.211796
1337904000,26.484999,26.429317,0.055682
1337990400,26.580000,26.481836,0.098164
1338076800,27.219999,26.534356,0.685643
1338163200,NaN,26.586876,NaN
1338249600,26.942499,26.639396,0.303103
1338336000,26.427500,26.691915,-0.264416
1338422400,26.242500,26.744435,-0.501935
1338508800,NaN,26.796955,NaN
1338595200,NaN,26.849475,NaN
1338681600,NaN,26.901995,NaN
1338768000,25.635000,26.954514,-1.319514
1338854400,NaN,27.007034,NaN
1338940800,NaN,27.059554,NaN
1339027200,NaN,27.112074,NaN
1339113600,NaN,27.164593,NaN
1339200000,NaN,27.217113,NaN
1339286400,NaN,27.269633,NaN
1339372800,NaN,27.322153,NaN
1339459200,27.090000,27.374673,-0.284672
1339545600,27.670000,27.427192,0.242808
1339632000,NaN,27.479712,NaN
1339718400,27.724998,27.516043,0.208955
1339804800,NaN,27.552374,NaN
1339891200,27.290001,27.588706,-0.298705
1339977600,27.059999,27.625037,-0.565037
1340064000,NaN,27.661368,NaN
1340150400,NaN,27.697699,NaN
1340236800,NaN,27.734030,NaN
1340409600,NaN,27.806693,NaN
1340496000,NaN,27.843024,NaN
1340582400,NaN,27.879355,NaN
1340668800,NaN,27.915686,NaN
1340755200,NaN,27.952017,NaN
1340841600,NaN,27.988348,NaN
1340928000,NaN,28.024679,NaN
1341014400,26.122499,28.061011,-1.938511
1341100800,26.834999,28.097342,-1.262343
1341187200,27.382500,28.133673,-0.751173
1341273600,27.415001,28.170004,-0.755003
1341360000,NaN,28.206335,NaN
1341446400,28.055000,28.242666,-0.187666
1341532800,28.170000,28.278998,-0.108997
1341619200,28.017498,28.315329,-0.297831
1341705600,27.772499,28.351660,-0.579161
1341792000,27.699999,28.387991,-0.687992
1341878400,NaN,28.424322,NaN
1341964800,NaN,28.460653,NaN
1342051200,NaN,28.496984,NaN
1342137600,NaN,28.533316,NaN
1342224000,27.115000,28.569647,-1.454647
1342310400,NaN,28.576138,NaN
1342396800,NaN,28.582629,NaN
1342483200,NaN,28.589120,NaN
1342569600,28.082500,28.595611,-0.513111
1342656000,26.904999,28.602102,-1.697103
1342742400,NaN,28.608593,NaN
1342828800,29.160000,28.615084,0.544915
1342915200,NaN,28.621576,NaN
1343001600,NaN,28.628067,NaN
1343088000,28.709999,28.634558,0.075441
1343174400,NaN,28.641049,NaN
1343260800,27.070000,28.647540,-1.577540
1343347200,28.062500,28.654031,-0.591531
1343433600,27.894999,28.660522,-0.765524
1343520000,27.379999,28.667013,-1.287014
1343606400,27.334999,28.673504,-1.338505
1343692800,28.517498,28.679996,-0.162497
1343779200,NaN,28.686487,NaN
