Time,mean,climatology,anomaly
1326931200,NaN,20.787317,NaN
1327017600,18.635000,20.815368,-2.180368
1327104000,NaN,20.843419,NaN
1327190400,NaN,20.871470,NaN
1327276800,NaN,20.899521,NaN
1327363200,NaN,20.927572,NaN
1327449600,20.955000,20.955622,-0.000622
1327536000,20.900000,20.983673,-0.083674
1327622400,21.759998,21.011724,0.748274
1327708800,21.727501,21.039775,0.687726
1327795200,NaN,21.067826,NaN
1327881600,21.635000,21.095876,0.539124
1327968000,20.949999,21.123927,-0.173928
1328054400,21.455000,21.151978,0.303022
1328140800,NaN,21.180029,NaN
1328227200,NaN,21.208080,NaN
1328313600,NaN,21.236130,NaN
1328400000,NaN,21.264181,NaN
1328486400,NaN,21.292232,NaN
1328572800,22.340000,21.320283,1.019717
1328659200,NaN,21.348334,NaN
1328745600,NaN,21.376385,NaN
1328832000,NaN,21.404435,NaN
1328918400,NaN,21.432486,NaN
1329004800,21.834999,21.460537,0.374462
1329091200,19.709999,21.488588,-1.778589
1329264000,19.494999,21.544689,-2.049690
1329350400,20.410000,21.589512,-1.179512
1329436800,21.004999,21.634335,-0.629336
1329609600,22.010000,21.723980,0.286020
1329696000,22.264999,21.768803,0.496196
1329782400,22.205000,21.813626,0.391374
1329868800,21.967499,21.858448,0.109050
1329955200,22.605000,21.903271,0.701728
1330041600,23.144999,21.948094,1.196905
1330128000,NaN,21.992917,NaN
1330214400,NaN,22.037739,NaN
1330300800,NaN,22.082562,NaN
1330387200,24.309999,22.127385,2.182615
1330473600,24.465000,22.172208,2.292793
1330560000,24.894999,22.217030,2.677968
1330646400,25.344999,22.261853,3.083146
1330732800,24.153749,22.306676,1.847074
1330819200,25.404999,22.351498,3.053500
1330905600,23.445000,22.396321,1.048679
1330992000,22.145000,22.441144,-0.296143
1331078400,20.955000,22.485967,-1.530967
1331164800,21.869999,22.530789,-0.660790
1331251200,22.500000,22.575612,-0.075612
1331424000,23.609999,22.665257,0.944741
1331510400,23.744999,22.710080,1.034919
1331596800,23.830000,22.754903,1.075097
1331683200,23.552500,22.799726,0.752774
1331769600,23.609999,22.891427,0.718572
1331856000,23.644999,22.983128,0.661871
1331942400,23.879999,23.074829,0.805171
1332028800,24.067499,23.166530,0.900970
1332115200,23.789999,23.258231,0.531768
1332201600,NaN,23.349932,NaN
1332288000,24.035000,23.441633,0.593367
1332374400,NaN,23.533334,NaN
1332460800,24.820000,23.625035,1.194965
1332547200,24.482498,23.716736,0.765763
1332806400,24.430000,23.991839,0.438162
1332892800,NaN,24.083540,NaN
1332979200,24.154999,24.175241,-0.020242
1333065600,24.564999,24.266942,0.298057
1333152000,24.695000,24.358643,0.336357
1333238400,25.125000,24.450344,0.674656
1333324800,NaN,24.542045,NaN
1333411200,26.439999,24.633746,1.806253
1333497600,26.285000,24.725447,1.559553
1333584000,NaN,24.817148,NaN
1333670400,26.875000,24.908849,1.966151
1333756800,26.269999,25.000550,1.269449
1333843200,25.215000,25.092251,0.122750
1333929600,24.879999,25.183952,-0.303952
1334016000,25.240000,25.275653,-0.035653
1334102400,NaN,25.367354,NaN
1334188800,25.480000,25.459055,0.020945
1334275200,25.584999,25.550756,0.034244
1334361600,25.955000,25.642457,0.312543
1334448000,24.410000,25.697227,-1.287227
1334534400,24.840000,25.751998,-0.911997
1334620800,NaN,25.806768,NaN
1334707200,24.545000,25.861539,-1.316539
1334793600,NaN,25.916309,NaN
1334880000,NaN,25.971080,NaN
1334966400,NaN,26.025850,NaN
1335052800,24.924999,26.080621,-1.155622
1335139200,24.259998,26.135391,-1.875393
1335225600,23.939999,26.190162,-2.250163
1335312000,22.867500,26.244932,-3.377432
1335398400,22.350000,26.299703,-3.949703
1335484800,22.869999,26.354473,-3.484475
1335571200,22.700001,26.409244,-3.709243
1335657600,NaN,26.464015,NaN
1335744000,NaN,26.518785,NaN
1335830400,NaN,26.573556,NaN
1335916800,24.234999,26.628326,-2.393327
1336003200,24.719999,26.683097,-1.963097
1336089600,25.467499,26.737867,-1.270368
1336176000,26.174999,26.792638,-0.617638
1336262400,25.654999,26.847408,-1.192409
1336348800,NaN,26.902179,NaN
1336435200,NaN,26.956949,NaN
1336521600,27.119999,27.011720,0.108279
1336608000,NaN,27.066490,NaN
1336694400,27.542500,27.121261,0.421239
1336780800,28.105000,27.176031,0.928968
1336867200,NaN,27.230802,NaN
1336953600,NaN,27.285572,NaN
1337040000,NaN,27.366022,NaN
1337126400,NaN,27.446472,NaN
1337212800,NaN,27.526922,NaN
1337299200,NaN,27.607372,NaN
1337385600,NaN,27.687822,NaN
1337472000,27.382500,27.768272,-0.385772
1337558400,27.769999,27.848722,-0.078723
1337644800,NaN,27.929172,NaN
1337731200,27.894999,28.009622,-0.114623
1337817600,27.410000,28.090071,-0.680072
1337904000,28.715000,28.170521,0.544479
1337990400,NaN,28.250971,NaN
1338076800,NaN,28.331421,NaN
1338163200,NaN,28.411871,NaN
1338249600,29.760000,28.492321,1.267679
1338336000,29.939999,28.572771,1.367228
1338422400,NaN,28.653221,NaN
1338508800,NaN,28.733671,NaN
1338595200,NaN,28.814121,NaN
1338681600,NaN,28.894571,NaN
1338768000,28.062500,28.975020,-0.912520
1338854400,NaN,29.055470,NaN
1338940800,NaN,29.135920,NaN
1339027200,NaN,29.216370,NaN
1339113600,NaN,29.296820,NaN
1339200000,NaN,29.377270,NaN
1339286400,30.039999,29.457720,0.582279
1339372800,30.474998,29.538170,0.936829
1339459200,30.590000,29.618620,0.971380
1339545600,30.019999,29.699070,0.320929
1339632000,NaN,29.779519,NaN
1339718400,30.469999,29.801056,0.668944
1339804800,31.129999,29.822592,1.307407
1339891200,29.109999,29.844128,-0.734129
1339977600,28.449999,29.865664,-1.415665
1340064000,NaN,29.887200,NaN
1340150400,NaN,29.908736,NaN
1340236800,NaN,29.930273,NaN
1340409600,NaN,29.973345,NaN
1340496000,NaN,29.994881,NaN
1340582400,NaN,30.016417,NaN
1340668800,NaN,30.037953,NaN
1340755200,27.779999,30.059490,-2.279491
1340841600,27.279999,30.081026,-2.801027
1340928000,28.160000,30.102562,-1.942562
1341014400,28.795000,30.124098,-1.329098
1341100800,28.827499,30.145634,-1.318135
1341187200,29.930000,30.167170,-0.237170
1341273600,29.992500,30.188706,-0.196206
1341360000,NaN,30.210243,NaN
1341446400,28.449999,30.231779,-1.781780
1341532800,28.879999,30.253315,-1.373316
1341619200,29.372499,30.274851,-0.902352
1341705600,NaN,30.296387,NaN
1341792000,NaN,30.317923,NaN
1341878400,29.590000,30.339460,-0.749459
1341964800,NaN,30.360996,NaN
1342051200,NaN,30.382532,NaN
1342137600,29.654999,30.404068,-0.749069
1342224000,28.617500,30.425604,-1.808104
1342310400,NaN,30.433169,NaN
1342396800,NaN,30.440735,NaN
1342483200,NaN,30.448300,NaN
1342569600,29.424999,30.455865,-1.030866
1342656000,NaN,30.463430,NaN
1342742400,28.814999,30.470996,-1.655997
1342828800,NaN,30.478561,NaN
1342915200,NaN,30.486126,NaN
1343001600,NaN,30.493691,NaN
1343088000,NaN,30.501257,NaN
1343174400,NaN,30.508822,NaN
1343260800,NaN,30.516387,NaN
1343347200,30.754999,30.523952,0.231047
1343433600,30.799999,30.531517,0.268482
1343520000,30.584999,30.539083,0.045916
1343606400,29.469999,30.546648,-1.076649
1343692800,30.929998,30.554213,0.375785
1343779200,31.709999,30.561778,1.148221
1343865600,31.554998,30.569344,0.985655
1343952000,32.059998,30.576909,1.483089
1344038400,31.755001,30.584474,1.170527
1344124800,31.090000,30.592039,0.497961
1344211200,NaN,30.599605,NaN
1344297600,NaN,30.607170,NaN
1344384000,29.635000,30.614735,-0.979735
1344470400,30.379999,30.622300,-0.242301
1344556800,30.987499,30.629866,0.357634
1344643200,NaN,30.637431,NaN
1344729600,NaN,30.644996,NaN
1344816000,30.609999,30.652561,-0.042563
1344902400,30.779999,30.660126,0.119872
1344988800,NaN,30.630335,NaN
1345075200,30.224998,30.600543,-0.375545
1345161600,31.275000,30.570752,0.704248
1345248000,31.257500,30.540960,0.716539
1345334400,NaN,30.511169,NaN
1345420800,NaN,30.481377,NaN
1345507200,NaN,30.451586,NaN
1345593600,NaN,30.421794,NaN
1345680000,NaN,30.392003,NaN
1345766400,30.974998,30.362211,0.612787
1345852800,NaN,30.332420,NaN
1345939200,NaN,30.302628,NaN
1346025600,NaN,30.272837,NaN
1346112000,NaN,30.243045,NaN
1346198400,NaN,30.213254,NaN
1346284800,29.080000,30.183462,-1.103462
1346371200,NaN,30.153671,NaN
1346457600,29.375000,30.123879,-0.748879
1346544000,29.590000,30.094088,-0.504087
1346630400,28.937500,30.064296,-1.126796
1346716800,29.372499,30.034505,-0.662005
1346803200,NaN,30.004713,NaN
1346889600,NaN,29.974922,NaN
1346976000,30.877499,29.945130,0.932369
1347062400,NaN,29.915338,NaN
1347148800,30.885000,29.885547,0.999453
1347235200,NaN,29.855755,NaN
1347321600,29.740000,29.825964,-0.085964
1347408000,29.992500,29.796172,0.196328
1347494400,NaN,29.766381,NaN
1347580800,NaN,29.736589,NaN
1347667200,NaN,29.673212,NaN
1347753600,NaN,29.609836,NaN
1347840000,29.324999,29.546459,-0.221460
1347926400,29.049999,29.483082,-0.433083
1348012800,NaN,29.419705,NaN
1348099200,NaN,29.356328,NaN
1348185600,NaN,29.292951,NaN
1348272000,NaN,29.229575,NaN
1348358400,NaN,29.166198,NaN
1348444800,28.682499,29.102821,-0.420322
1348531200,NaN,29.039444,NaN
1348617600,NaN,28.976067,NaN
1348704000,NaN,28.912690,NaN
1348790400,29.617500,28.849314,0.768187
1348876800,29.154999,28.785937,0.369062
1348963200,29.090000,28.722560,0.367440
1349049600,NaN,28.659183,NaN
1349136000,NaN,28.595806,NaN
1349222400,NaN,28.532429,NaN
1349308800,NaN,28.469053,NaN
1349395200,NaN,28.405676,NaN
1349481600,NaN,28.342299,NaN
1349568000,NaN,28.278922,NaN
1349654400,29.422501,28.215545,1.206955
1349740800,28.934999,28.152168,0.782831
1349827200,28.809999,28.088792,0.721208
1349913600,NaN,28.025415,NaN
1350000000,28.449999,27.962038,0.487961
1350086400,27.244999,27.898661,-0.653662
1350172800,26.592499,27.835284,-1.242786
1350259200,26.889999,27.729807,-0.839808
1350345600,NaN,27.624330,NaN
1350432000,27.512501,27.518853,-0.006352
1350518400,NaN,27.413376,NaN
1350604800,27.855000,27.307899,0.547101
1350691200,28.230000,27.202422,1.027578
1350777600,27.859999,27.096945,0.763054
1350864000,27.695000,26.991467,0.703532
1350950400,26.250000,26.885990,-0.635990
1351036800,26.070000,26.780513,-0.710514
1351123200,NaN,26.675036,NaN
1351209600,NaN,26.569559,NaN
