Date,Mean,Climatology,Anomaly
2012-01-19,NaN,20.787317,NaN
2012-01-20,18.635000,20.815368,-2.180368
2012-01-21,NaN,20.843419,NaN
2012-01-22,NaN,20.871470,NaN
2012-01-23,NaN,20.899521,NaN
2012-01-24,NaN,20.927572,NaN
2012-01-25,20.955000,20.955622,-0.000622
2012-01-26,20.900000,20.983673,-0.083674
2012-01-27,21.759998,21.011724,0.748274
2012-01-28,21.727501,21.039775,0.687726
2012-01-29,NaN,21.067826,NaN
2012-01-30,21.635000,21.095876,0.539124
2012-01-31,20.949999,21.123927,-0.173928
2012-02-01,21.455000,21.151978,0.303022
2012-02-02,NaN,21.180029,NaN
2012-02-03,NaN,21.208080,NaN
2012-02-04,NaN,21.236130,NaN
2012-02-05,NaN,21.264181,NaN
2012-02-06,NaN,21.292232,NaN
2012-02-07,22.340000,21.320283,1.019717
2012-02-08,NaN,21.348334,NaN
2012-02-09,NaN,21.376385,NaN
2012-02-10,NaN,21.404435,NaN
2012-02-11,NaN,21.432486,NaN
2012-02-12,21.834999,21.460537,0.374462
2012-02-13,19.709999,21.488588,-1.778589
2012-02-15,19.494999,21.544689,-2.049690
2012-02-16,20.410000,21.589512,-1.179512
2012-02-17,21.004999,21.634335,-0.629336
2012-02-19,22.010000,21.723980,0.286020
2012-02-20,22.264999,21.768803,0.496196
2012-02-21,22.205000,21.813626,0.391374
2012-02-22,21.967499,21.858448,0.109050
2012-02-23,22.605000,21.903271,0.701728
2012-02-24,23.144999,21.948094,1.196905
2012-02-25,NaN,21.992917,NaN
2012-02-26,NaN,22.037739,NaN
2012-02-27,NaN,22.082562,NaN
2012-02-28,24.309999,22.127385,2.182615
2012-02-29,24.465000,22.172208,2.292793
2012-03-01,24.894999,22.217030,2.677968
2012-03-02,25.344999,22.261853,3.083146
2012-03-03,24.153749,22.306676,1.847074
2012-03-04,25.404999,22.351498,3.053500
2012-03-05,23.445000,22.396321,1.048679
2012-03-06,22.145000,22.441144,-0.296143
2012-03-07,20.955000,22.485967,-1.530967
2012-03-08,21.869999,22.530789,-0.660790
2012-03-09,22.500000,22.575612,-0.075612
2012-03-11,23.609999,22.665257,0.944741
2012-03-12,23.744999,22.710080,1.034919
2012-03-13,23.830000,22.754903,1.075097
2012-03-14,23.552500,22.799726,0.752774
2012-03-15,23.609999,22.891427,0.718572
2012-03-16,23.644999,22.983128,0.661871
2012-03-17,23.879999,23.074829,0.805171
2012-03-18,24.067499,23.166530,0.900970
2012-03-19,23.789999,23.258231,0.531768
2012-03-20,NaN,23.349932,NaN
2012-03-21,24.035000,23.441633,0.593367
2012-03-22,NaN,23.533334,NaN
2012-03-23,24.820000,23.625035,1.194965
2012-03-24,24.482498,23.716736,0.765763
2012-03-27,24.430000,23.991839,0.438162
2012-03-28,NaN,24.083540,NaN
2012-03-29,24.154999,24.175241,-0.020242
2012-03-30,24.564999,24.266942,0.298057
2012-03-31,24.695000,24.358643,0.336357
2012-04-01,25.125000,24.450344,0.674656
2012-04-02,NaN,24.542045,NaN
2012-04-03,26.439999,24.633746,1.806253
2012-04-04,26.285000,24.725447,1.559553
2012-04-05,NaN,24.817148,NaN
2012-04-06,26.875000,24.908849,1.966151
2012-04-07,26.269999,25.000550,1.269449
2012-04-08,25.215000,25.092251,0.122750
2012-04-09,24.879999,25.183952,-0.303952
2012-04-10,25.240000,25.275653,-0.035653
2012-04-11,NaN,25.367354,NaN
2012-04-12,25.480000,25.459055,0.020945
2012-04-13,25.584999,25.550756,0.034244
2012-04-14,25.955000,25.642457,0.312543
2012-04-15,24.410000,25.697227,-1.287227
2012-04-16,24.840000,25.751998,-0.911997
2012-04-17,NaN,25.806768,NaN
