Date,Mean,Climatology,Anomaly
2012-01-19,NaN,21.208407,NaN
2012-01-20,NaN,21.195566,NaN
2012-01-21,NaN,21.182726,NaN
2012-01-22,NaN,21.169885,NaN
2012-01-23,20.805000,21.157045,-0.352045
2012-01-24,NaN,21.144204,NaN
2012-01-25,NaN,21.131364,NaN
2012-01-26,NaN,21.118523,NaN
2012-01-27,20.637501,21.105683,-0.468182
2012-01-28,NaN,21.092843,NaN
2012-01-29,20.895000,21.080002,-0.185002
2012-01-30,NaN,21.067162,NaN
2012-01-31,NaN,21.054321,NaN
2012-02-01,NaN,21.041481,NaN
2012-02-02,20.090000,21.028640,-0.938640
2012-02-03,NaN,21.015800,NaN
2012-02-04,NaN,21.002959,NaN
2012-02-05,NaN,20.990119,NaN
2012-02-06,NaN,20.977278,NaN
2012-02-07,NaN,20.964438,NaN
2012-02-08,NaN,20.951597,NaN
2012-02-09,NaN,20.938757,NaN
2012-02-10,NaN,20.925916,NaN
2012-02-11,NaN,20.913076,NaN
2012-02-12,NaN,20.900235,NaN
2012-02-13,NaN,20.887395,NaN
2012-02-15,NaN,20.861714,NaN
2012-02-16,NaN,20.878719,NaN
2012-02-17,NaN,20.895724,NaN
2012-02-19,NaN,20.929734,NaN
2012-02-20,NaN,20.946739,NaN
2012-02-21,NaN,20.963744,NaN
2012-02-22,NaN,20.980749,NaN
2012-02-23,NaN,20.997755,NaN
2012-02-24,NaN,21.014760,NaN
2012-02-25,NaN,21.031765,NaN
2012-02-26,NaN,21.048770,NaN
2012-02-27,NaN,21.065775,NaN
2012-02-28,NaN,21.082780,NaN
2012-02-29,NaN,21.099785,NaN
2012-03-01,NaN,21.116790,NaN
2012-03-02,20.385000,21.133795,-0.748795
2012-03-03,NaN,21.150801,NaN
2012-03-04,20.459999,21.167806,-0.707807
2012-03-05,20.577499,21.184811,-0.607311
2012-03-06,NaN,21.201816,NaN
2012-03-07,NaN,21.218821,NaN
2012-03-08,20.744999,21.235826,-0.490827
2012-03-09,NaN,21.252831,NaN
2012-03-11,NaN,21.286841,NaN
2012-03-12,20.892500,21.303846,-0.411347
2012-03-13,21.055000,21.320852,-0.265851
2012-03-14,21.939999,21.337857,0.602142
2012-03-15,NaN,21.376220,NaN
2012-03-16,NaN,21.414583,NaN
2012-03-17,NaN,21.452946,NaN
2012-03-18,NaN,21.491309,NaN
2012-03-19,NaN,21.529673,NaN
2012-03-20,22.380001,21.568036,0.811965
2012-03-21,NaN,21.606399,NaN
2012-03-22,NaN,21.644762,NaN
2012-03-23,21.924999,21.683125,0.241874
2012-03-24,22.029999,21.721488,0.308510
2012-03-27,NaN,21.836578,NaN
2012-03-28,NaN,21.874941,NaN
2012-03-29,NaN,21.913304,NaN
2012-03-30,NaN,21.951667,NaN
2012-03-31,NaN,21.990031,NaN
2012-04-01,NaN,22.028394,NaN
2012-04-02,NaN,22.066757,NaN
2012-04-03,NaN,22.105120,NaN
2012-04-04,23.525000,22.143483,1.381516
2012-04-05,23.779999,22.181846,1.598152
2012-04-06,23.840000,22.220210,1.619791
2012-04-07,24.385000,22.258573,2.126428
2012-04-08,NaN,22.296936,NaN
2012-04-09,23.879999,22.335299,1.544700
2012-04-10,23.955000,22.373662,1.581338
2012-04-11,24.455000,22.412025,2.042975
2012-04-12,NaN,22.450389,NaN
2012-04-13,NaN,22.488752,NaN
2012-04-14,NaN,22.527115,NaN
2012-04-15,23.752499,22.593144,1.159355
2012-04-16,NaN,22.659173,NaN
2012-04-17,NaN,22.725202,NaN
2012-04-18,NaN,22.791231,NaN
2012-04-19,NaN,22.857260,NaN
2012-04-20,NaN,22.923289,NaN
2012-04-21,NaN,22.989318,NaN
2012-04-22,23.795000,23.055347,0.739653
2012-04-23,23.519999,23.121376,0.398622
2012-04-24,23.555000,23.187405,0.367595
2012-04-25,23.705000,23.253434,0.451565
2012-04-26,23.792500,23.319463,0.473036
2012-04-27,24.299999,23.385493,0.914507
2012-04-28,23.264999,23.451522,-0.186522
2012-04-29,24.045000,23.517551,0.527449
2012-04-30,24.510000,23.583580,0.926421
2012-05-01,NaN,23.649609,NaN
2012-05-02,24.292500,23.715638,0.576862
