Time,mean,climatology,anomaly
1326931200,20.617500,20.631167,-0.013666
1327017600,20.609999,20.633846,-0.023847
1327104000,NaN,20.636526,NaN
1327190400,NaN,20.639205,NaN
1327276800,NaN,20.641885,NaN
1327363200,NaN,20.644564,NaN
1327449600,NaN,20.647244,NaN
1327536000,NaN,20.649923,NaN
1327622400,NaN,20.652603,NaN
1327708800,NaN,20.655282,NaN
1327795200,19.917500,20.657962,-0.740462
1327881600,21.189999,20.660641,0.529358
1327968000,NaN,20.663321,NaN
1328054400,NaN,20.666000,NaN
1328140800,NaN,20.668680,NaN
1328227200,NaN,20.671359,NaN
1328313600,21.522499,20.674039,0.848461
1328400000,21.400000,20.676718,0.723282
1328486400,NaN,20.679398,NaN
1328572800,NaN,20.682077,NaN
1328659200,NaN,20.684757,NaN
1328745600,NaN,20.687436,NaN
1328832000,NaN,20.690116,NaN
1328918400,NaN,20.692795,NaN
1329004800,NaN,20.695475,NaN
1329091200,NaN,20.698154,NaN
1329264000,NaN,20.703513,NaN
1329350400,NaN,20.714874,NaN
1329436800,NaN,20.726235,NaN
1329609600,NaN,20.748957,NaN
1329696000,NaN,20.760318,NaN
1329782400,NaN,20.771679,NaN
1329868800,20.757500,20.783040,-0.025541
1329955200,21.275000,20.794402,0.480598
1330041600,NaN,20.805763,NaN
1330128000,NaN,20.817124,NaN
1330214400,NaN,20.828485,NaN
1330300800,NaN,20.839846,NaN
1330387200,NaN,20.851207,NaN
1330473600,NaN,20.862568,NaN
1330560000,NaN,20.873929,NaN
1330646400,NaN,20.885290,NaN
1330732800,21.654999,20.896651,0.758348
1330819200,20.869999,20.908012,-0.038013
1330905600,20.420000,20.919373,-0.499373
1330992000,20.039999,20.930734,-0.890735
1331078400,NaN,20.942095,NaN
1331164800,NaN,20.953457,NaN
1331251200,NaN,20.964818,NaN
1331424000,NaN,20.987540,NaN
1331510400,NaN,20.998901,NaN
1331596800,22.125000,21.010262,1.114738
1331683200,22.792500,21.021623,1.770877
1331769600,23.217499,21.055830,2.161669
1331856000,NaN,21.090037,NaN
1331942400,NaN,21.124245,NaN
1332028800,NaN,21.158452,NaN
1332115200,NaN,21.192659,NaN
1332201600,23.379999,21.226866,2.153133
1332288000,NaN,21.261074,NaN
1332374400,NaN,21.295281,NaN
1332460800,NaN,21.329488,NaN
1332547200,22.040001,21.363695,0.676305
1332806400,22.594999,21.466317,1.128682
1332892800,23.225000,21.500524,1.724476
1332979200,NaN,21.534732,NaN
1333065600,NaN,21.568939,NaN
1333152000,NaN,21.603146,NaN
1333238400,NaN,21.637353,NaN
1333324800,NaN,21.671561,NaN
1333411200,NaN,21.705768,NaN
1333497600,23.939999,21.739975,2.200023
1333584000,23.639999,21.774182,1.865817
1333670400,NaN,21.808390,NaN
1333756800,23.180000,21.842597,1.337403
1333843200,23.910000,21.876804,2.033196
1333929600,23.507500,21.911011,1.596488
1334016000,NaN,21.945219,NaN
1334102400,NaN,21.979426,NaN
1334188800,24.434999,22.013633,2.421366
1334275200,NaN,22.047840,NaN
1334361600,NaN,22.082048,NaN
1334448000,NaN,22.172030,NaN
1334534400,NaN,22.262012,NaN
1334620800,NaN,22.351993,NaN
1334707200,NaN,22.441975,NaN
1334793600,NaN,22.531957,NaN
1334880000,23.914999,22.621939,1.293060
1334966400,NaN,22.711921,NaN
1335052800,23.865000,22.801903,1.063097
1335139200,22.664999,22.891885,-0.226886
1335225600,23.044998,22.981867,0.063132
1335312000,22.969999,23.071848,-0.101849
1335398400,22.920000,23.161830,-0.241830
1335484800,23.132500,23.251812,-0.119313
1335571200,NaN,23.341794,NaN
1335657600,23.545000,23.431776,0.113224
1335744000,NaN,23.521758,NaN
1335830400,24.404999,23.611740,0.793259
1335916800,NaN,23.701722,NaN
1336003200,NaN,23.791704,NaN
1336089600,NaN,23.881685,NaN
1336176000,NaN,23.971667,NaN
1336262400,25.577499,24.061649,1.515850
1336348800,26.019999,24.151631,1.868367
1336435200,NaN,24.241613,NaN
1336521600,NaN,24.331595,NaN
1336608000,25.945000,24.421577,1.523423
1336694400,NaN,24.511559,NaN
1336780800,25.094999,24.601541,0.493459
1336867200,24.449999,24.691522,-0.241524
1336953600,24.740000,24.781504,-0.041505
1337040000,25.170000,24.902806,0.267195
1337126400,25.375000,25.024107,0.350893
1337212800,25.469999,25.145408,0.324591
1337299200,25.449999,25.266709,0.183290
1337385600,25.549999,25.388011,0.161989
1337472000,25.617500,25.509312,0.108189
1337558400,26.035000,25.630613,0.404387
1337644800,26.129999,25.751914,0.378085
1337731200,26.719999,25.873216,0.846784
1337817600,NaN,25.994517,NaN
1337904000,25.680000,26.115818,-0.435818
1337990400,25.740000,26.237119,-0.497119
1338076800,26.070000,26.358420,-0.288421
1338163200,26.859999,26.479722,0.380277
1338249600,26.590000,26.601023,-0.011023
1338336000,27.647499,26.722324,0.925175
1338422400,27.625000,26.843625,0.781375
1338508800,27.869999,26.964927,0.905072
1338595200,27.924999,27.086228,0.838771
1338681600,NaN,27.207529,NaN
1338768000,NaN,27.328830,NaN
1338854400,28.082500,27.450132,0.632369
1338940800,27.882500,27.571433,0.311067
1339027200,NaN,27.692734,NaN
1339113600,27.699999,27.814035,-0.114037
1339200000,27.855000,27.935337,-0.080337
1339286400,NaN,28.056638,NaN
1339372800,NaN,28.177939,NaN
1339459200,27.855000,28.299240,-0.444241
1339545600,NaN,28.420542,NaN
1339632000,29.344999,28.541843,0.803156
1339718400,29.750000,28.589769,1.160231
1339804800,NaN,28.637695,NaN
1339891200,27.320000,28.685621,-1.365621
1339977600,NaN,28.733547,NaN
1340064000,NaN,28.781473,NaN
1340150400,27.820000,28.829399,-1.009399
1340236800,NaN,28.877325,NaN
1340409600,NaN,28.973177,NaN
1340496000,NaN,29.021103,NaN
1340582400,28.459999,29.069029,-0.609030
1340668800,29.320000,29.116955,0.203044
1340755200,28.634998,29.164882,-0.529883
1340841600,NaN,29.212808,NaN
1340928000,28.740000,29.260734,-0.520734
1341014400,NaN,29.308660,NaN
1341100800,28.760000,29.356586,-0.596585
1341187200,NaN,29.404512,NaN
1341273600,NaN,29.452438,NaN
1341360000,29.309999,29.500364,-0.190364
1341446400,29.672499,29.548290,0.124209
1341532800,30.549999,29.596216,0.953783
1341619200,NaN,29.644142,NaN
1341705600,NaN,29.692068,NaN
1341792000,NaN,29.739994,NaN
1341878400,NaN,29.787920,NaN
1341964800,NaN,29.835846,NaN
1342051200,28.822498,29.883772,-1.061274
1342137600,NaN,29.931698,NaN
1342224000,29.324999,29.979624,-0.654626
1342310400,NaN,29.993040,NaN
1342396800,29.779999,30.006455,-0.226456
1342483200,29.482500,30.019870,-0.537370
1342569600,NaN,30.033286,NaN
1342656000,NaN,30.046701,NaN
1342742400,NaN,30.060116,NaN
1342828800,NaN,30.073532,NaN
1342915200,NaN,30.086947,NaN
1343001600,30.087500,30.100362,-0.012863
1343088000,29.037498,30.113778,-1.076279
1343174400,29.465000,30.127193,-0.662193
1343260800,30.344999,30.140608,0.204391
1343347200,29.467499,30.154024,-0.686525
1343433600,30.454998,30.167439,0.287559
1343520000,29.884998,30.180854,-0.295856
1343606400,30.074999,30.194270,-0.119271
1343692800,NaN,30.207685,NaN
1343779200,30.797501,30.221100,0.576400
1343865600,NaN,30.234515,NaN
1343952000,NaN,30.247931,NaN
1344038400,NaN,30.261346,NaN
1344124800,NaN,30.274761,NaN
1344211200,NaN,30.288177,NaN
1344297600,NaN,30.301592,NaN
1344384000,31.244999,30.315007,0.929992
1344470400,30.875000,30.328423,0.546577
1344556800,NaN,30.341838,NaN
1344643200,NaN,30.355253,NaN
1344729600,NaN,30.368669,NaN
1344816000,30.179998,30.382084,-0.202086
1344902400,30.785000,30.395499,0.389501
1344988800,30.250000,30.359482,-0.109482
1345075200,30.625000,30.323465,0.301535
1345161600,31.014999,30.287448,0.727551
1345248000,NaN,30.251431,NaN
1345334400,NaN,30.215414,NaN
1345420800,NaN,30.179397,NaN
1345507200,29.449999,30.143380,-0.693381
1345593600,NaN,30.107363,NaN
1345680000,30.209999,30.071346,0.138653
1345766400,30.400000,30.035329,0.364671
1345852800,NaN,29.999312,NaN
1345939200,NaN,29.963295,NaN
1346025600,30.189999,29.927278,0.262721
1346112000,NaN,29.891261,NaN
1346198400,NaN,29.855244,NaN
1346284800,NaN,29.819226,NaN
1346371200,NaN,29.783209,NaN
1346457600,29.369999,29.747192,-0.377193
1346544000,30.032499,29.711175,0.321324
1346630400,NaN,29.675158,NaN
