Date,Mean,Climatology,Anomaly
2012-01-19,NaN,24.515187,NaN
2012-01-20,23.504999,24.505044,-1.000045
2012-01-21,NaN,24.494901,NaN
2012-01-22,NaN,24.484758,NaN
2012-01-23,23.494999,24.474614,-0.979616
2012-01-24,23.622499,24.464471,-0.841972
2012-01-25,23.963749,24.454328,-0.490579
2012-01-26,23.352499,24.444185,-1.091686
2012-01-27,24.197498,24.434042,-0.236543
2012-01-28,NaN,24.423898,NaN
2012-01-29,24.025000,24.413755,-0.388756
2012-01-30,24.549999,24.403612,0.146387
2012-01-31,NaN,24.393469,NaN
2012-02-01,NaN,24.383325,NaN
2012-02-02,NaN,24.373182,NaN
2012-02-03,NaN,24.363039,NaN
2012-02-04,NaN,24.352896,NaN
2012-02-05,NaN,24.342753,NaN
2012-02-06,NaN,24.332609,NaN
2012-02-07,NaN,24.322466,NaN
2012-02-08,NaN,24.312323,NaN
2012-02-09,NaN,24.302180,NaN
2012-02-10,24.869999,24.292036,0.577962
2012-02-11,NaN,24.281893,NaN
2012-02-12,NaN,24.271750,NaN
2012-02-13,23.837500,24.261607,-0.424107
2012-02-15,24.260000,24.241320,0.018680
2012-02-16,24.732498,24.252981,0.479517
2012-02-17,24.357498,24.264642,0.092856
2012-02-19,24.320000,24.287964,0.032036
2012-02-20,23.889999,24.299625,-0.409626
2012-02-21,23.529999,24.311286,-0.781287
2012-02-22,NaN,24.322947,NaN
2012-02-23,24.160000,24.334608,-0.174608
2012-02-24,24.340000,24.346269,-0.006269
2012-02-25,24.619999,24.357930,0.262069
2012-02-26,NaN,24.369591,NaN
2012-02-27,NaN,24.381252,NaN
2012-02-28,25.189999,24.392913,0.797086
2012-02-29,24.889999,24.404574,0.485426
2012-03-01,25.305000,24.416235,0.888766
2012-03-02,25.087500,24.427896,0.659604
2012-03-03,24.837500,24.439557,0.397943
2012-03-04,25.385000,24.451218,0.933783
2012-03-05,24.807499,24.462879,0.344620
2012-03-06,24.090000,24.474540,-0.384539
2012-03-07,25.244999,24.486201,0.758798
2012-03-08,NaN,24.497862,NaN
2012-03-09,NaN,24.509522,NaN
2012-03-11,24.719999,24.532844,0.187155
2012-03-12,NaN,24.544505,NaN
2012-03-13,24.754999,24.556166,0.198833
2012-03-14,NaN,24.567827,NaN
2012-03-15,25.047501,24.606651,0.440849
2012-03-16,25.164999,24.645475,0.519524
2012-03-17,24.959999,24.684299,0.275700
2012-03-18,25.094999,24.723123,0.371876
2012-03-19,NaN,24.761947,NaN
2012-03-20,NaN,24.800771,NaN
2012-03-21,24.752499,24.839595,-0.087097
2012-03-22,24.969999,24.878419,0.091580
2012-03-23,25.200001,24.917243,0.282758
2012-03-24,24.820000,24.956067,-0.136068
2012-03-27,24.880001,25.072539,-0.192538
2012-03-28,NaN,25.111363,NaN
2012-03-29,25.049999,25.150187,-0.100188
2012-03-30,25.105000,25.189011,-0.084012
2012-03-31,25.167500,25.227835,-0.060336
2012-04-01,25.082500,25.266659,-0.184159
2012-04-02,NaN,25.305483,NaN
2012-04-03,26.574999,25.344307,1.230692
2012-04-04,26.391251,25.383131,1.008120
2012-04-05,NaN,25.421955,NaN
2012-04-06,NaN,25.460779,NaN
2012-04-07,26.162498,25.499603,0.662895
2012-04-08,NaN,25.538427,NaN
2012-04-09,25.654999,25.577251,0.077748
2012-04-10,25.904999,25.616075,0.288924
2012-04-11,25.862499,25.654899,0.207600
2012-04-12,25.934999,25.693723,0.241276
2012-04-13,26.410000,25.732547,0.677453
2012-04-14,26.209999,25.771371,0.438628
2012-04-15,NaN,25.817021,NaN
2012-04-16,NaN,25.862671,NaN
2012-04-17,NaN,25.908321,NaN
2012-04-18,25.309999,25.953971,-0.643972
2012-04-19,NaN,25.999621,NaN
2012-04-20,25.969999,26.045272,-0.075272
2012-04-21,NaN,26.090922,NaN
2012-04-22,25.445000,26.136572,-0.691572
2012-04-23,24.955000,26.182222,-1.227222
2012-04-24,NaN,26.227872,NaN
2012-04-25,23.877499,26.273522,-2.396023
2012-04-26,NaN,26.319172,NaN
2012-04-27,NaN,26.364822,NaN
2012-04-28,NaN,26.410472,NaN
2012-04-29,NaN,26.456122,NaN
2012-04-30,NaN,26.501772,NaN
2012-05-01,NaN,26.547422,NaN
2012-05-02,NaN,26.593072,NaN
2012-05-03,24.724998,26.638723,-1.913724
2012-05-04,25.605000,26.684373,-1.079373
2012-05-05,26.219999,26.730023,-0.510023
2012-05-06,NaN,26.775673,NaN
2012-05-07,26.084999,26.821323,-0.736324
2012-05-08,26.035000,26.866973,-0.831973
2012-05-09,26.529999,26.912623,-0.382624
2012-05-10,NaN,26.958273,NaN
2012-05-11,26.134998,27.003923,-0.868925
2012-05-12,26.895000,27.049573,-0.154573
2012-05-13,26.619999,27.095223,-0.475224
2012-05-14,27.039999,27.140873,-0.100874
2012-05-15,NaN,27.202410,NaN
2012-05-16,NaN,27.263947,NaN
2012-05-17,NaN,27.325484,NaN
2012-05-18,NaN,27.387021,NaN
2012-05-19,NaN,27.448558,NaN
2012-05-20,NaN,27.510095,NaN
2012-05-21,26.809999,27.571632,-0.761632
2012-05-22,27.400000,27.633169,-0.233169
2012-05-23,27.057499,27.694705,-0.637206
2012-05-24,27.205000,27.756242,-0.551242
2012-05-25,27.772499,27.817779,-0.045280
2012-05-26,27.372499,27.879316,-0.506817
2012-05-27,29.314999,27.940853,1.374146
2012-05-28,28.965000,28.002390,0.962610
2012-05-29,28.962500,28.063927,0.898573
2012-05-30,NaN,28.125464,NaN
2012-05-31,NaN,28.187000,NaN
2012-06-01,NaN,28.248537,NaN
2012-06-02,NaN,28.310074,NaN
2012-06-03,NaN,28.371611,NaN
2012-06-04,NaN,28.433148,NaN
2012-06-05,NaN,28.494685,NaN
2012-06-06,NaN,28.556222,NaN
2012-06-07,NaN,28.617759,NaN
2012-06-08,NaN,28.679296,NaN
2012-06-09,NaN,28.740832,NaN
2012-06-10,29.269999,28.802369,0.467629
2012-06-11,29.355000,28.863906,0.491093
2012-06-12,29.307499,28.925443,0.382056
2012-06-13,29.709999,28.986980,0.723019
2012-06-14,28.724998,29.048517,-0.323518
2012-06-15,28.574999,29.078733,-0.503734
2012-06-16,NaN,29.108949,NaN
2012-06-17,NaN,29.139165,NaN
2012-06-18,NaN,29.169381,NaN
2012-06-19,NaN,29.199597,NaN
2012-06-20,NaN,29.229813,NaN
2012-06-21,NaN,29.260029,NaN
2012-06-23,NaN,29.320462,NaN
2012-06-24,NaN,29.350678,NaN
2012-06-25,NaN,29.380894,NaN
2012-06-26,NaN,29.411110,NaN
2012-06-27,NaN,29.441326,NaN
