Date,Mean,Climatology,Anomaly
2012-01-19,NaN,22.075096,NaN
2012-01-20,NaN,22.058013,NaN
2012-01-21,21.525000,22.040931,-0.515931
2012-01-22,NaN,22.023848,NaN
2012-01-23,NaN,22.006766,NaN
2012-01-24,NaN,21.989683,NaN
2012-01-25,22.105000,21.972601,0.132399
2012-01-26,NaN,21.955519,NaN
2012-01-27,21.439999,21.938436,-0.498437
2012-01-28,NaN,21.921354,NaN
2012-01-29,21.445000,21.904271,-0.459271
2012-01-30,NaN,21.887189,NaN
2012-01-31,NaN,21.870106,NaN
2012-02-01,NaN,21.853024,NaN
2012-02-02,NaN,21.835941,NaN
2012-02-03,NaN,21.818859,NaN
2012-02-04,21.660000,21.801776,-0.141777
2012-02-05,NaN,21.784694,NaN
2012-02-06,NaN,21.767612,NaN
2012-02-07,NaN,21.750529,NaN
2012-02-08,NaN,21.733447,NaN
2012-02-09,NaN,21.716364,NaN
2012-02-10,NaN,21.699282,NaN
2012-02-11,NaN,21.682199,NaN
2012-02-12,NaN,21.665117,NaN
2012-02-13,NaN,21.648034,NaN
2012-02-15,NaN,21.613869,NaN
2012-02-16,NaN,21.619795,NaN
2012-02-17,NaN,21.625721,NaN
2012-02-19,NaN,21.637573,NaN
2012-02-20,NaN,21.643498,NaN
2012-02-21,NaN,21.649424,NaN
2012-02-22,NaN,21.655350,NaN
2012-02-23,21.707500,21.661276,0.046225
2012-02-24,NaN,21.667201,NaN
2012-02-25,NaN,21.673127,NaN
2012-02-26,NaN,21.679053,NaN
2012-02-27,NaN,21.684979,NaN
2012-02-28,NaN,21.690905,NaN
2012-02-29,21.189999,21.696830,-0.506832
2012-03-01,NaN,21.702756,NaN
2012-03-02,NaN,21.708682,NaN
2012-03-03,NaN,21.714608,NaN
2012-03-04,NaN,21.720533,NaN
2012-03-05,21.000000,21.726459,-0.726459
2012-03-06,20.227501,21.732385,-1.504884
2012-03-07,NaN,21.738311,NaN
2012-03-08,21.484999,21.744237,-0.259238
2012-03-09,NaN,21.750162,NaN
2012-03-11,NaN,21.762014,NaN
2012-03-12,NaN,21.767940,NaN
2012-03-13,22.160000,21.773865,0.386134
2012-03-14,22.805000,21.779791,1.025209
2012-03-15,22.805000,21.809339,0.995661
2012-03-16,NaN,21.838888,NaN
2012-03-17,NaN,21.868436,NaN
2012-03-18,NaN,21.897984,NaN
2012-03-19,22.879999,21.927532,0.952467
2012-03-20,22.830000,21.957080,0.872920
2012-03-21,NaN,21.986628,NaN
2012-03-22,NaN,22.016176,NaN
2012-03-23,NaN,22.045724,NaN
2012-03-24,NaN,22.075273,NaN
2012-03-27,23.025000,22.163917,0.861083
2012-03-28,NaN,22.193465,NaN
2012-03-29,23.840000,22.223013,1.616987
2012-03-30,NaN,22.252561,NaN
2012-03-31,NaN,22.282109,NaN
2012-04-01,NaN,22.311658,NaN
2012-04-02,24.174999,22.341206,1.833794
2012-04-03,23.605000,22.370754,1.234246
2012-04-04,NaN,22.400302,NaN
2012-04-05,NaN,22.429850,NaN
