Date,Mean,Climatology,Anomaly
2012-01-19,NaN,20.765466,NaN
2012-01-20,NaN,20.758813,NaN
2012-01-21,NaN,20.752161,NaN
2012-01-22,NaN,20.745508,NaN
2012-01-23,NaN,20.738855,NaN
2012-01-24,NaN,20.732203,NaN
2012-01-25,NaN,20.725550,NaN
2012-01-26,NaN,20.718898,NaN
2012-01-27,20.219999,20.712245,-0.492246
2012-01-28,NaN,20.705592,NaN
2012-01-29,20.985001,20.698940,0.286061
2012-01-30,NaN,20.692287,NaN
2012-01-31,NaN,20.685634,NaN
2012-02-01,NaN,20.678982,NaN
2012-02-02,NaN,20.672329,NaN
2012-02-03,NaN,20.665677,NaN
2012-02-04,21.275000,20.659024,0.615976
2012-02-05,NaN,20.652371,NaN
2012-02-06,NaN,20.645719,NaN
2012-02-07,21.389999,20.639066,0.750933
2012-02-08,NaN,20.632413,NaN
2012-02-09,NaN,20.625761,NaN
2012-02-10,NaN,20.619108,NaN
2012-02-11,NaN,20.612456,NaN
2012-02-12,NaN,20.605803,NaN
2012-02-13,NaN,20.599150,NaN
2012-02-15,NaN,20.585845,NaN
2012-02-16,NaN,20.597121,NaN
2012-02-17,NaN,20.608397,NaN
2012-02-19,NaN,20.630949,NaN
2012-02-20,NaN,20.642224,NaN
2012-02-21,NaN,20.653500,NaN
2012-02-22,NaN,20.664776,NaN
2012-02-23,21.135000,20.676052,0.458948
2012-02-24,NaN,20.687328,NaN
2012-02-25,NaN,20.698604,NaN
2012-02-26,NaN,20.709880,NaN
2012-02-27,NaN,20.721155,NaN
2012-02-28,NaN,20.732431,NaN
2012-02-29,NaN,20.743707,NaN
2012-03-01,21.904999,20.754983,1.150016
2012-03-02,21.090000,20.766259,0.323741
2012-03-03,NaN,20.777535,NaN
2012-03-04,20.775000,20.788811,-0.013811
2012-03-05,20.702499,20.800086,-0.097587
2012-03-06,20.004999,20.811362,-0.806363
2012-03-07,NaN,20.822638,NaN
2012-03-08,21.230000,20.833914,0.396086
2012-03-09,NaN,20.845190,NaN
2012-03-11,NaN,20.867742,NaN
2012-03-12,NaN,20.879017,NaN
2012-03-13,21.520000,20.890293,0.629707
2012-03-14,22.004999,20.901569,1.103430
2012-03-15,22.564999,20.936884,1.628115
2012-03-16,NaN,20.972199,NaN
2012-03-17,NaN,21.007513,NaN
2012-03-18,NaN,21.042828,NaN
2012-03-19,21.884998,21.078143,0.806856
2012-03-20,23.000000,21.113457,1.886543
2012-03-21,NaN,21.148772,NaN
2012-03-22,NaN,21.184087,NaN
2012-03-23,NaN,21.219401,NaN
2012-03-24,21.910000,21.254716,0.655284
2012-03-27,22.394999,21.360660,1.034338
2012-03-28,NaN,21.395975,NaN
2012-03-29,23.195000,21.431290,1.763710
2012-03-30,NaN,21.466604,NaN
2012-03-31,NaN,21.501919,NaN
2012-04-01,22.742500,21.537234,1.205267
2012-04-02,NaN,21.572548,NaN
