time,mean,climatology,anomaly
1249084800,31.026,31.012,0.014
1249171200,31.171,31.011,0.159
1249257600,31.446,31.011,0.435
1249344000,31.771,31.010,0.761
1249430400,31.313,31.010,0.303
1249516800,30.333,31.009,-0.676
1249603200,30.700,31.009,-0.309
1249689600,31.033,31.008,0.025
1249776000,31.421,31.008,0.413
1249862400,31.558,31.007,0.551
1249948800,31.417,31.007,0.410
1250035200,31.233,31.006,0.227
1250121600,31.554,31.005,0.549
1250208000,30.888,31.005,-0.117
1250294400,29.858,31.004,-1.146
1250380800,28.308,30.976,-2.668
1250467200,29.745,30.948,-1.203
1250553600,30.213,30.921,-0.708
1250640000,29.896,30.893,-0.997
1250726400,30.374,30.865,-0.491
1250812800,30.900,30.837,0.063
1250899200,31.308,30.809,0.500
1250985600,31.771,30.781,0.990
1251072000,32.092,30.753,1.339
1251158400,31.561,30.725,0.836
1251244800,30.615,30.697,-0.082
1251331200,30.554,30.669,-0.115
1251417600,31.148,30.641,0.507
1251504000,31.617,30.613,1.003
1251590400,31.754,30.585,1.169
1251676800,32.950,30.557,2.393
1251763200,32.556,30.529,2.027
1251849600,32.660,30.502,2.158
1251936000,31.996,30.474,1.522
1252022400,31.863,30.446,1.417
1252108800,30.783,30.418,0.366
1252195200,28.546,30.390,-1.844
1252281600,29.542,30.362,-0.820
1252368000,30.526,30.334,0.192
1252454400,30.376,30.306,0.070
1252540800,29.650,30.278,-0.628
1252627200,30.088,30.250,-0.163
1252713600,30.274,30.222,0.052
1252800000,30.312,30.194,0.118
1252886400,30.405,30.166,0.238
1252972800,30.867,30.138,0.728
1253059200,31.422,30.053,1.369
1253145600,31.350,29.967,1.383
1253232000,30.954,29.881,1.073
1253318400,30.637,29.795,0.842
1253404800,30.104,29.710,0.394
1253491200,30.643,29.624,1.019
1253577600,30.345,29.538,0.807
1253664000,29.783,29.452,0.331
1253750400,29.709,29.367,0.342
1253836800,29.804,29.281,0.523
1253923200,29.929,29.195,0.734
1254009600,30.230,29.109,1.121
1254096000,30.579,29.024,1.556
1254182400,30.604,28.938,1.666
1254268800,29.709,28.852,0.857
1254355200,28.995,28.766,0.229
1254441600,29.030,28.681,0.349
1254528000,30.052,28.595,1.457
1254614400,30.578,28.509,2.069
1254700800,30.632,28.423,2.208
1254787200,31.352,28.338,3.015
1254873600,31.691,28.252,3.439
1254960000,31.810,28.166,3.644
1255046400,30.414,28.080,2.334
1255132800,30.011,27.995,2.016
1255219200,30.045,27.909,2.137
1255305600,29.741,27.823,1.918
1255392000,29.887,27.737,2.149
1255478400,29.635,27.652,1.983
1255564800,30.355,27.566,2.789
1255651200,30.455,27.467,2.987
1255737600,30.200,27.369,2.831
1255824000,25.545,27.270,-1.725
1255910400,20.950,27.171,-6.221
1255996800,21.848,27.072,-5.225
1256083200,23.850,26.974,-3.124
1256169600,24.787,26.875,-2.088
1256256000,26.448,26.776,-0.329
1256342400,27.073,26.678,0.395
1256428800,26.967,26.579,0.388
1256515200,27.950,26.480,1.470
1256601600,27.886,26.382,1.505
1256688000,28.370,26.283,2.087
1256774400,28.845,26.184,2.661
