Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.323811,NaN
2002-07-05,NaN,0.323922,NaN
2002-07-06,NaN,0.324033,NaN
2002-07-07,NaN,0.324144,NaN
2002-07-08,NaN,0.324255,NaN
2002-07-09,NaN,0.324366,NaN
2002-07-10,NaN,0.324477,NaN
2002-07-11,NaN,0.324588,NaN
2002-07-12,NaN,0.324699,NaN
2002-07-13,NaN,0.324810,NaN
2002-07-14,NaN,0.324921,NaN
2002-07-15,NaN,0.325032,NaN
2002-07-16,NaN,0.325399,NaN
2002-07-17,NaN,0.325767,NaN
2002-07-18,NaN,0.326134,NaN
2002-07-19,NaN,0.326502,NaN
2002-07-20,NaN,0.326869,NaN
2002-07-21,NaN,0.327236,NaN
2002-07-22,NaN,0.327604,NaN
2002-07-23,NaN,0.327971,NaN
2002-07-24,NaN,0.328339,NaN
2002-07-25,NaN,0.328706,NaN
2002-07-26,NaN,0.329073,NaN
2002-07-27,NaN,0.329441,NaN
2002-07-28,NaN,0.329808,NaN
2002-07-29,0.283943,0.330176,-0.046232
2002-08-07,NaN,0.333482,NaN
2002-08-08,NaN,0.333850,NaN
2002-08-09,NaN,0.334217,NaN
2002-08-10,NaN,0.334585,NaN
2002-08-11,NaN,0.334952,NaN
2002-08-12,NaN,0.335319,NaN
2002-08-13,NaN,0.335687,NaN
2002-08-14,NaN,0.336054,NaN
2002-08-15,0.279116,0.336422,-0.057306
2002-08-16,0.308925,0.336120,-0.027195
2002-08-17,NaN,0.335818,NaN
2002-08-18,NaN,0.335516,NaN
2002-08-19,NaN,0.335214,NaN
2002-08-20,NaN,0.334912,NaN
2002-08-21,0.404526,0.334611,0.069915
2002-08-22,NaN,0.334309,NaN
2002-08-23,0.265995,0.334007,-0.068012
2002-08-24,NaN,0.333705,NaN
2002-08-25,NaN,0.333403,NaN
2002-08-26,NaN,0.333102,NaN
2002-08-27,NaN,0.332800,NaN
2002-08-28,NaN,0.332498,NaN
2002-08-29,NaN,0.332196,NaN
2002-08-30,NaN,0.331894,NaN
2002-08-31,NaN,0.331592,NaN
2002-09-01,NaN,0.331291,NaN
2002-09-02,NaN,0.330989,NaN
2002-09-03,0.379609,0.330687,0.048922
2002-09-04,NaN,0.330385,NaN
2002-09-05,NaN,0.330083,NaN
2002-09-06,NaN,0.329782,NaN
2002-09-07,NaN,0.329480,NaN
2002-09-08,NaN,0.329178,NaN
2002-09-09,NaN,0.328876,NaN
2002-09-10,0.451631,0.328574,0.123057
2002-09-11,NaN,0.328272,NaN
2002-09-13,NaN,0.327669,NaN
2002-09-14,NaN,0.327367,NaN
2002-09-15,NaN,0.327065,NaN
2002-09-16,NaN,0.327209,NaN
2002-09-17,NaN,0.327353,NaN
2002-09-18,NaN,0.327497,NaN
2002-09-19,NaN,0.327641,NaN
2002-09-20,NaN,0.327785,NaN
2002-09-21,0.322790,0.327930,-0.005139
2002-09-22,NaN,0.328074,NaN
2002-09-23,NaN,0.328218,NaN
2002-09-24,NaN,0.328362,NaN
2002-09-25,NaN,0.328506,NaN
2002-09-26,NaN,0.328650,NaN
2002-09-27,NaN,0.328794,NaN
2002-09-28,0.232713,0.328938,-0.096225
2002-09-29,NaN,0.329082,NaN
2002-09-30,NaN,0.329226,NaN
2002-10-01,NaN,0.329370,NaN
2002-10-02,NaN,0.329514,NaN
2002-10-03,NaN,0.329658,NaN
2002-10-04,NaN,0.329802,NaN
2002-10-05,0.339648,0.329946,0.009702
2002-10-06,NaN,0.330090,NaN
2002-10-07,0.342307,0.330234,0.012072
2002-10-08,NaN,0.330378,NaN
2002-10-09,NaN,0.330523,NaN
2002-10-10,NaN,0.330667,NaN
2002-10-11,NaN,0.330811,NaN
2002-10-12,0.259554,0.330955,-0.071401
2002-10-13,NaN,0.331099,NaN
2002-10-14,NaN,0.331243,NaN
2002-10-15,NaN,0.331387,NaN
2002-10-16,NaN,0.330763,NaN
2002-10-17,0.346098,0.330139,0.015959
2002-10-18,NaN,0.329515,NaN
2002-10-19,NaN,0.328891,NaN
2002-10-20,NaN,0.328268,NaN
2002-10-21,NaN,0.327644,NaN
2002-10-22,NaN,0.327020,NaN
2002-10-23,NaN,0.326396,NaN
2002-10-24,NaN,0.325772,NaN
2002-10-25,NaN,0.325148,NaN
2002-10-26,NaN,0.324524,NaN
2002-10-27,NaN,0.323900,NaN
2002-10-28,0.316442,0.323277,-0.006835
2002-10-29,NaN,0.322653,NaN
2002-10-30,NaN,0.322029,NaN
2002-10-31,NaN,0.321405,NaN
2002-11-01,0.299225,0.320781,-0.021556
2002-11-02,NaN,0.320157,NaN
2002-11-03,NaN,0.319533,NaN
2002-11-04,NaN,0.318909,NaN
2002-11-05,NaN,0.318286,NaN
2002-11-06,NaN,0.317662,NaN
2002-11-07,0.345742,0.317038,0.028704
2002-11-08,0.305702,0.316414,-0.010712
2002-11-09,NaN,0.315790,NaN
2002-11-10,0.299839,0.315166,-0.015327
2002-11-11,0.383476,0.314542,0.068933
2002-11-12,NaN,0.313918,NaN
2002-11-13,NaN,0.313295,NaN
2002-11-14,0.308312,0.312671,-0.004359
2002-11-15,NaN,0.312047,NaN
2002-11-16,NaN,0.311626,NaN
2002-11-17,NaN,0.311205,NaN
2002-11-18,0.380882,0.310784,0.070098
2002-11-19,0.214740,0.310363,-0.095623
2002-11-20,NaN,0.309943,NaN
2002-11-21,NaN,0.309522,NaN
2002-11-22,0.387418,0.309101,0.078316
2002-11-23,NaN,0.308680,NaN
2002-11-24,0.277113,0.308259,-0.031147
2002-11-25,0.369812,0.307839,0.061973
2002-11-26,NaN,0.307418,NaN
2002-11-27,NaN,0.306997,NaN
2002-11-28,NaN,0.306576,NaN
2002-11-29,0.231700,0.306155,-0.074455
2002-11-30,NaN,0.305735,NaN
2002-12-01,0.266253,0.305314,-0.039061
2002-12-02,0.628377,0.304893,0.323484
2002-12-03,0.255812,0.304472,-0.048660
2002-12-04,NaN,0.304051,NaN
2002-12-05,NaN,0.303630,NaN
2002-12-06,NaN,0.303210,NaN
2002-12-07,NaN,0.302789,NaN
2002-12-08,NaN,0.302368,NaN
2002-12-09,NaN,0.301947,NaN
2002-12-10,NaN,0.301526,NaN
2002-12-11,NaN,0.301106,NaN
2002-12-12,NaN,0.300685,NaN
2002-12-13,NaN,0.300264,NaN
2002-12-14,NaN,0.299843,NaN
2002-12-15,NaN,0.299422,NaN
2002-12-16,0.178432,0.298180,-0.119747
2002-12-17,NaN,0.296937,NaN
2002-12-18,NaN,0.295694,NaN
2002-12-19,NaN,0.294452,NaN
2002-12-20,NaN,0.293209,NaN
2002-12-21,0.299237,0.291967,0.007270
2002-12-22,0.272655,0.290724,-0.018069
2002-12-23,NaN,0.289481,NaN
2002-12-24,NaN,0.288239,NaN
2002-12-25,NaN,0.286996,NaN
2002-12-26,NaN,0.285753,NaN
2002-12-27,NaN,0.284511,NaN
2002-12-28,0.178167,0.283268,-0.105101
2002-12-29,0.223140,0.282025,-0.058886
2002-12-30,0.218951,0.280783,-0.061831
2002-12-31,NaN,0.279540,NaN
2003-01-01,NaN,0.278298,NaN
2003-01-02,NaN,0.277055,NaN
2003-01-03,NaN,0.275812,NaN
2003-01-04,0.383897,0.274570,0.109327
2003-01-05,0.283304,0.273327,0.009977
2003-01-06,0.194503,0.272084,-0.077582
2003-01-07,0.199566,0.270842,-0.071276
2003-01-08,0.198232,0.269599,-0.071367
2003-01-09,0.197147,0.268356,-0.071209
2003-01-10,NaN,0.267114,NaN
2003-01-11,0.124577,0.265871,-0.141294
2003-01-12,NaN,0.264628,NaN
2003-01-13,NaN,0.263386,NaN
2003-01-14,0.205404,0.262143,-0.056739
2003-01-15,0.155251,0.260901,-0.105649
2003-01-16,0.193695,0.260592,-0.066897
2003-01-17,NaN,0.260284,NaN
2003-01-18,NaN,0.259975,NaN
2003-01-19,NaN,0.259667,NaN
2003-01-20,0.208730,0.259359,-0.050629
2003-01-21,NaN,0.259050,NaN
2003-01-22,NaN,0.258742,NaN
2003-01-23,NaN,0.258434,NaN
2003-01-24,0.172835,0.258125,-0.085290
2003-01-25,NaN,0.257817,NaN
2003-01-26,NaN,0.257508,NaN
2003-01-27,0.189001,0.257200,-0.068199
2003-01-28,0.165251,0.256892,-0.091641
2003-01-29,0.152325,0.256583,-0.104259
2003-01-30,NaN,0.256275,NaN
2003-01-31,NaN,0.255967,NaN
2003-02-01,0.229758,0.255658,-0.025900
2003-02-02,NaN,0.255350,NaN
2003-02-03,NaN,0.255041,NaN
2003-02-04,NaN,0.254733,NaN
2003-02-05,NaN,0.254425,NaN
2003-02-06,NaN,0.254116,NaN
2003-02-07,NaN,0.253808,NaN
2003-02-08,NaN,0.253500,NaN
2003-02-09,NaN,0.253191,NaN
2003-02-10,0.161715,0.252883,-0.091168
2003-02-11,0.154579,0.252574,-0.097995
2003-02-12,0.127467,0.252266,-0.124799
2003-02-13,NaN,0.251958,NaN
2003-02-14,NaN,0.251649,NaN
2003-02-15,0.260888,0.251341,0.009547
2003-02-16,NaN,0.251906,NaN
2003-02-17,NaN,0.252471,NaN
2003-02-18,NaN,0.253036,NaN
2003-02-19,0.275186,0.253601,0.021585
2003-02-20,NaN,0.254166,NaN
2003-02-21,NaN,0.254731,NaN
2003-02-22,NaN,0.255296,NaN
2003-02-23,0.228405,0.255861,-0.027457
2003-02-24,0.188928,0.256426,-0.067498
2003-02-25,0.155673,0.256991,-0.101319
2003-02-26,NaN,0.257556,NaN
2003-02-27,NaN,0.258121,NaN
2003-02-28,NaN,0.258686,NaN
2003-03-01,NaN,0.259251,NaN
2003-03-02,NaN,0.259816,NaN
2003-03-03,NaN,0.260381,NaN
2003-03-04,NaN,0.260946,NaN
2003-03-05,NaN,0.261511,NaN
2003-03-06,NaN,0.262076,NaN
2003-03-07,NaN,0.262641,NaN
2003-03-08,NaN,0.263206,NaN
2003-03-09,NaN,0.263771,NaN
2003-03-10,NaN,0.264336,NaN
2003-03-11,NaN,0.264902,NaN
2003-03-12,NaN,0.265467,NaN
2003-03-13,NaN,0.266032,NaN
2003-03-14,NaN,0.266597,NaN
2003-03-15,NaN,0.267162,NaN
2003-03-16,NaN,0.268255,NaN
2003-03-17,NaN,0.269347,NaN
2003-03-18,NaN,0.270440,NaN
2003-03-19,NaN,0.271533,NaN
2003-03-20,NaN,0.272626,NaN
2003-03-21,NaN,0.273719,NaN
2003-03-22,0.310352,0.274812,0.035540
2003-03-23,NaN,0.275905,NaN
2003-03-24,NaN,0.276998,NaN
2003-03-25,0.248597,0.278091,-0.029493
2003-03-26,NaN,0.279184,NaN
2003-03-27,NaN,0.280277,NaN
