Time,mean,climatology,anomaly
1025740800,NaN,0.230214,NaN
1025827200,NaN,0.230579,NaN
1025913600,NaN,0.230943,NaN
1026000000,NaN,0.231307,NaN
1026086400,0.216691,0.231672,-0.014981
1026172800,0.262244,0.232036,0.030208
1026259200,0.214321,0.232400,-0.018079
1026345600,NaN,0.232765,NaN
1026432000,NaN,0.233129,NaN
1026518400,NaN,0.233493,NaN
1026604800,NaN,0.233857,NaN
1026691200,0.144608,0.234222,-0.089613
1026777600,NaN,0.234740,NaN
1026864000,NaN,0.235259,NaN
1026950400,NaN,0.235778,NaN
1027036800,NaN,0.236297,NaN
1027123200,NaN,0.236815,NaN
1027209600,NaN,0.237334,NaN
1027296000,NaN,0.237853,NaN
1027382400,NaN,0.238371,NaN
1027468800,NaN,0.238890,NaN
1027555200,NaN,0.239409,NaN
1027641600,0.273436,0.239927,0.033509
1027728000,NaN,0.240446,NaN
1027814400,NaN,0.240965,NaN
1027900800,0.212424,0.241483,-0.029059
1028678400,0.314861,0.246152,0.068709
1028764800,NaN,0.246670,NaN
1028851200,0.379006,0.247189,0.131817
1028937600,0.284291,0.247708,0.036583
1029024000,0.227227,0.248226,-0.020999
1029110400,NaN,0.248745,NaN
1029196800,NaN,0.249264,NaN
1029283200,0.278938,0.249782,0.029156
1029369600,NaN,0.250301,NaN
1029456000,NaN,0.250719,NaN
1029542400,NaN,0.251137,NaN
1029628800,NaN,0.251555,NaN
1029715200,NaN,0.251972,NaN
1029801600,NaN,0.252390,NaN
1029888000,NaN,0.252808,NaN
1029974400,NaN,0.253226,NaN
1030060800,NaN,0.253644,NaN
1030147200,NaN,0.254062,NaN
1030233600,NaN,0.254480,NaN
1030320000,NaN,0.254897,NaN
1030406400,NaN,0.255315,NaN
1030492800,NaN,0.255733,NaN
1030579200,NaN,0.256151,NaN
1030665600,NaN,0.256569,NaN
1030752000,NaN,0.256987,NaN
1030838400,NaN,0.257405,NaN
1030924800,NaN,0.257822,NaN
1031011200,0.359965,0.258240,0.101725
1031097600,NaN,0.258658,NaN
1031184000,0.255459,0.259076,-0.003617
1031270400,NaN,0.259494,NaN
1031356800,NaN,0.259912,NaN
1031443200,NaN,0.260330,NaN
1031529600,NaN,0.260747,NaN
1031616000,NaN,0.261165,NaN
1031702400,0.176194,0.261583,-0.085389
1031875200,NaN,0.262419,NaN
1031961600,NaN,0.262837,NaN
1032048000,NaN,0.263254,NaN
1032134400,NaN,0.263438,NaN
1032220800,NaN,0.263621,NaN
