Time,mean,climatology,anomaly
1025740800,NaN,0.104529,NaN
1025827200,NaN,0.104841,NaN
1025913600,NaN,0.105153,NaN
1026000000,NaN,0.105465,NaN
1026086400,0.088903,0.105777,-0.016874
1026172800,NaN,0.106089,NaN
1026259200,NaN,0.106401,NaN
1026345600,NaN,0.106714,NaN
1026432000,NaN,0.107026,NaN
1026518400,NaN,0.107338,NaN
1026604800,NaN,0.107650,NaN
1026691200,0.118503,0.107962,0.010541
1026777600,0.139221,0.107801,0.031420
1026864000,0.123761,0.107640,0.016121
1026950400,NaN,0.107479,NaN
1027036800,NaN,0.107318,NaN
1027123200,NaN,0.107157,NaN
1027209600,NaN,0.106997,NaN
1027296000,NaN,0.106836,NaN
1027382400,NaN,0.106675,NaN
1027468800,NaN,0.106514,NaN
1027555200,0.157807,0.106353,0.051454
1027641600,0.132782,0.106192,0.026589
1027728000,NaN,0.106032,NaN
1027814400,NaN,0.105871,NaN
1027900800,0.084874,0.105710,-0.020835
1028678400,NaN,0.104262,NaN
1028764800,0.141021,0.104101,0.036920
1028851200,NaN,0.103941,NaN
1028937600,0.111986,0.103780,0.008207
1029024000,NaN,0.103619,NaN
1029110400,NaN,0.103458,NaN
1029196800,NaN,0.103297,NaN
1029283200,0.121059,0.103136,0.017923
1029369600,NaN,0.102975,NaN
1029456000,NaN,0.104467,NaN
1029542400,NaN,0.105958,NaN
1029628800,NaN,0.107450,NaN
1029715200,NaN,0.108942,NaN
1029801600,NaN,0.110433,NaN
1029888000,NaN,0.111925,NaN
1029974400,NaN,0.113416,NaN
1030060800,0.025838,0.114908,-0.089070
1030147200,NaN,0.116399,NaN
1030233600,NaN,0.117891,NaN
1030320000,NaN,0.119382,NaN
1030406400,NaN,0.120874,NaN
1030492800,NaN,0.122365,NaN
1030579200,NaN,0.123857,NaN
1030665600,NaN,0.125348,NaN
1030752000,NaN,0.126840,NaN
1030838400,NaN,0.128331,NaN
1030924800,NaN,0.129823,NaN
1031011200,0.192259,0.131314,0.060945
1031097600,NaN,0.132806,NaN
1031184000,0.189432,0.134297,0.055134
1031270400,NaN,0.135789,NaN
1031356800,NaN,0.137280,NaN
1031443200,NaN,0.138772,NaN
1031529600,NaN,0.140263,NaN
1031616000,0.106661,0.141755,-0.035094
1031702400,NaN,0.143246,NaN
1031875200,NaN,0.146229,NaN
1031961600,NaN,0.147721,NaN
1032048000,NaN,0.149212,NaN
1032134400,NaN,0.149450,NaN
1032220800,0.111029,0.149687,-0.038658
1032307200,NaN,0.149924,NaN
1032393600,NaN,0.150162,NaN
1032480000,NaN,0.150399,NaN
1032566400,0.182300,0.150636,0.031663
1032652800,NaN,0.150874,NaN
1032739200,NaN,0.151111,NaN
1032825600,NaN,0.151348,NaN
1032912000,NaN,0.151585,NaN
1032998400,NaN,0.151823,NaN
1033084800,NaN,0.152060,NaN
1033171200,0.097034,0.152297,-0.055263
1033257600,NaN,0.152535,NaN
1033344000,NaN,0.152772,NaN
1033430400,NaN,0.153009,NaN
1033516800,NaN,0.153247,NaN
1033603200,NaN,0.153484,NaN
1033689600,NaN,0.153721,NaN
1033776000,0.136742,0.153958,-0.017216
1033862400,NaN,0.154196,NaN
1033948800,0.175152,0.154433,0.020719
1034035200,NaN,0.154670,NaN
1034121600,NaN,0.154908,NaN
1034208000,NaN,0.155145,NaN
1034294400,NaN,0.155382,NaN
1034380800,0.167166,0.155620,0.011546
1034467200,NaN,0.155857,NaN
1034553600,NaN,0.156094,NaN
1034640000,NaN,0.156332,NaN
1034726400,NaN,0.155993,NaN
1034812800,0.237631,0.155655,0.081977
1034899200,NaN,0.155317,NaN
1034985600,NaN,0.154978,NaN
1035072000,NaN,0.154640,NaN
1035158400,NaN,0.154302,NaN
1035244800,NaN,0.153963,NaN
1035331200,NaN,0.153625,NaN
1035417600,NaN,0.153287,NaN
1035504000,NaN,0.152949,NaN
1035590400,NaN,0.152610,NaN
1035676800,NaN,0.152272,NaN
1035763200,NaN,0.151934,NaN
1035849600,NaN,0.151595,NaN
1035936000,NaN,0.151257,NaN
1036022400,NaN,0.150919,NaN
1036108800,0.125530,0.150580,-0.025051
1036195200,NaN,0.150242,NaN
1036281600,NaN,0.149904,NaN
1036368000,NaN,0.149566,NaN
1036454400,NaN,0.149227,NaN
1036540800,0.243538,0.148889,0.094649
1036627200,NaN,0.148551,NaN
1036713600,0.107105,0.148212,-0.041107
1036800000,NaN,0.147874,NaN
1036886400,0.145836,0.147536,-0.001700
