Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.135617,NaN
2002-07-05,NaN,0.135439,NaN
2002-07-06,NaN,0.135260,NaN
2002-07-07,NaN,0.135081,NaN
2002-07-08,0.210200,0.134903,0.075297
2002-07-09,NaN,0.134724,NaN
2002-07-10,NaN,0.134546,NaN
2002-07-11,NaN,0.134367,NaN
2002-07-12,NaN,0.134188,NaN
2002-07-13,NaN,0.134010,NaN
2002-07-14,NaN,0.133831,NaN
2002-07-15,NaN,0.133653,NaN
2002-07-16,NaN,0.135147,NaN
2002-07-17,NaN,0.136641,NaN
2002-07-18,NaN,0.138136,NaN
2002-07-19,NaN,0.139630,NaN
2002-07-20,NaN,0.141124,NaN
2002-07-21,NaN,0.142619,NaN
2002-07-22,NaN,0.144113,NaN
2002-07-23,NaN,0.145607,NaN
2002-07-24,NaN,0.147101,NaN
2002-07-25,NaN,0.148596,NaN
2002-07-26,NaN,0.150090,NaN
2002-07-27,NaN,0.151584,NaN
2002-07-28,NaN,0.153079,NaN
2002-07-29,0.081600,0.154573,-0.072973
2002-08-07,NaN,0.168022,NaN
2002-08-08,0.200600,0.169516,0.031084
2002-08-09,NaN,0.171010,NaN
2002-08-10,NaN,0.172505,NaN
2002-08-11,NaN,0.173999,NaN
2002-08-12,NaN,0.175493,NaN
2002-08-13,NaN,0.176988,NaN
2002-08-14,0.172600,0.178482,-0.005882
2002-08-15,NaN,0.179976,NaN
2002-08-16,0.144600,0.184568,-0.039968
2002-08-17,NaN,0.189161,NaN
2002-08-18,NaN,0.193753,NaN
2002-08-19,NaN,0.198346,NaN
2002-08-20,NaN,0.202938,NaN
2002-08-21,0.114800,0.207530,-0.092730
2002-08-22,NaN,0.212123,NaN
2002-08-23,NaN,0.216715,NaN
2002-08-24,0.087200,0.221307,-0.134107
2002-08-25,NaN,0.225900,NaN
2002-08-26,NaN,0.230492,NaN
2002-08-27,NaN,0.235084,NaN
2002-08-28,NaN,0.239677,NaN
2002-08-29,NaN,0.244269,NaN
2002-08-30,NaN,0.248861,NaN
2002-08-31,NaN,0.253454,NaN
2002-09-01,NaN,0.258046,NaN
2002-09-02,NaN,0.262639,NaN
2002-09-03,0.218200,0.267231,-0.049031
2002-09-04,NaN,0.271823,NaN
2002-09-05,NaN,0.276416,NaN
2002-09-06,NaN,0.281008,NaN
2002-09-07,NaN,0.285600,NaN
2002-09-08,NaN,0.290193,NaN
2002-09-09,NaN,0.294785,NaN
2002-09-10,0.373400,0.299377,0.074023
2002-09-11,NaN,0.303970,NaN
2002-09-13,NaN,0.313154,NaN
2002-09-14,NaN,0.317747,NaN
2002-09-15,NaN,0.322339,NaN
