Time,mean,climatology,anomaly
1025740800,NaN,0.442081,NaN
1025827200,NaN,0.440941,NaN
1025913600,NaN,0.439801,NaN
1026000000,NaN,0.438662,NaN
1026086400,0.391000,0.437522,-0.046522
1026172800,NaN,0.436383,NaN
1026259200,NaN,0.435243,NaN
1026345600,NaN,0.434104,NaN
1026432000,NaN,0.432964,NaN
1026518400,NaN,0.431824,NaN
1026604800,NaN,0.430685,NaN
1026691200,NaN,0.429545,NaN
1026777600,NaN,0.430451,NaN
1026864000,NaN,0.431357,NaN
1026950400,NaN,0.432263,NaN
1027036800,NaN,0.433169,NaN
1027123200,NaN,0.434075,NaN
1027209600,NaN,0.434980,NaN
1027296000,NaN,0.435886,NaN
1027382400,NaN,0.436792,NaN
1027468800,NaN,0.437698,NaN
1027555200,NaN,0.438604,NaN
1027641600,NaN,0.439510,NaN
1027728000,NaN,0.440416,NaN
1027814400,NaN,0.441322,NaN
1027900800,0.850200,0.442227,0.407972
1028678400,0.564600,0.450380,0.114220
1028764800,NaN,0.451286,NaN
1028851200,NaN,0.452192,NaN
1028937600,0.315000,0.453098,-0.138098
1029024000,NaN,0.454004,NaN
1029110400,NaN,0.454910,NaN
1029196800,NaN,0.455816,NaN
1029283200,NaN,0.456721,NaN
1029369600,0.382800,0.457627,-0.074827
1029456000,0.419200,0.456563,-0.037363
1029542400,NaN,0.455499,NaN
1029628800,NaN,0.454436,NaN
1029715200,NaN,0.453372,NaN
1029801600,NaN,0.452308,NaN
1029888000,0.691000,0.451244,0.239756
1029974400,NaN,0.450180,NaN
1030060800,0.600000,0.449116,0.150884
1030147200,NaN,0.448052,NaN
1030233600,NaN,0.446988,NaN
1030320000,NaN,0.445924,NaN
1030406400,NaN,0.444860,NaN
1030492800,NaN,0.443796,NaN
1030579200,NaN,0.442732,NaN
1030665600,NaN,0.441668,NaN
1030752000,NaN,0.440604,NaN
1030838400,NaN,0.439540,NaN
1030924800,NaN,0.438476,NaN
1031011200,NaN,0.437413,NaN
1031097600,NaN,0.436349,NaN
1031184000,NaN,0.435285,NaN
1031270400,NaN,0.434221,NaN
1031356800,NaN,0.433157,NaN
1031443200,NaN,0.432093,NaN
1031529600,NaN,0.431029,NaN
1031616000,0.393000,0.429965,-0.036965
1031702400,NaN,0.428901,NaN
1031875200,NaN,0.426773,NaN
1031961600,NaN,0.425709,NaN
1032048000,NaN,0.424645,NaN
1032134400,NaN,0.425285,NaN
1032220800,NaN,0.425925,NaN
1032307200,NaN,0.426565,NaN
1032393600,NaN,0.427205,NaN
1032480000,NaN,0.427844,NaN
1032566400,0.620800,0.428484,0.192316
1032652800,NaN,0.429124,NaN
1032739200,NaN,0.429764,NaN
1032825600,NaN,0.430404,NaN
1032912000,NaN,0.431044,NaN
1032998400,NaN,0.431684,NaN
1033084800,NaN,0.432323,NaN
1033171200,0.384800,0.432963,-0.048163
1033257600,NaN,0.433603,NaN
1033344000,NaN,0.434243,NaN
1033430400,NaN,0.434883,NaN
1033516800,0.330800,0.435523,-0.104723
1033603200,0.465000,0.436162,0.028838
1033689600,NaN,0.436802,NaN
1033776000,0.523600,0.437442,0.086158
1033862400,NaN,0.438082,NaN
1033948800,0.360800,0.438722,-0.077922
1034035200,NaN,0.439362,NaN
1034121600,NaN,0.440001,NaN
1034208000,NaN,0.440641,NaN
1034294400,NaN,0.441281,NaN
1034380800,0.445800,0.441921,0.003879
1034467200,NaN,0.442561,NaN
1034553600,NaN,0.443201,NaN
1034640000,NaN,0.443841,NaN
1034726400,NaN,0.442926,NaN
1034812800,0.646400,0.442011,0.204389
1034899200,NaN,0.441096,NaN
1034985600,NaN,0.440182,NaN
1035072000,NaN,0.439267,NaN
1035158400,0.454600,0.438352,0.016248
1035244800,NaN,0.437437,NaN
1035331200,NaN,0.436522,NaN
1035417600,NaN,0.435608,NaN
1035504000,NaN,0.434693,NaN
1035590400,NaN,0.433778,NaN
1035676800,NaN,0.432863,NaN
1035763200,NaN,0.431949,NaN
1035849600,NaN,0.431034,NaN
1035936000,0.418800,0.430119,-0.011319
1036022400,NaN,0.429204,NaN
1036108800,0.442400,0.428290,0.014110
1036195200,0.501400,0.427375,0.074025
1036281600,0.404500,0.426460,-0.021960
1036368000,NaN,0.425545,NaN
1036454400,NaN,0.424631,NaN
1036540800,NaN,0.423716,NaN
1036627200,0.407400,0.422801,-0.015401
1036713600,0.390400,0.421886,-0.031486
1036800000,NaN,0.420972,NaN
1036886400,0.296800,0.420057,-0.123257
1036972800,0.481200,0.419142,0.062058
1037059200,NaN,0.418227,NaN
1037145600,NaN,0.417313,NaN
1037232000,NaN,0.416398,NaN
1037318400,NaN,0.415483,NaN
1037404800,NaN,0.415333,NaN
1037491200,NaN,0.415182,NaN
1037577600,0.618400,0.415032,0.203368
1037664000,0.331400,0.414882,-0.083482
1037750400,NaN,0.414732,NaN
1037836800,NaN,0.414581,NaN
1037923200,0.485400,0.414431,0.070969
1038009600,0.272600,0.414281,-0.141681
1038096000,0.385800,0.414130,-0.028330
1038182400,0.779800,0.413980,0.365820
1038268800,NaN,0.413830,NaN
