Time,mean,climatology,anomaly
1025740800,NaN,0.130473,NaN
1025827200,NaN,0.130741,NaN
1025913600,NaN,0.131009,NaN
1026000000,NaN,0.131277,NaN
1026086400,0.127200,0.131545,-0.004345
1026172800,NaN,0.131813,NaN
1026259200,NaN,0.132080,NaN
1026345600,NaN,0.132348,NaN
1026432000,NaN,0.132616,NaN
1026518400,NaN,0.132884,NaN
1026604800,NaN,0.133152,NaN
1026691200,0.123000,0.133420,-0.010420
1026777600,0.109400,0.133098,-0.023698
1026864000,0.110800,0.132775,-0.021975
1026950400,NaN,0.132453,NaN
1027036800,NaN,0.132131,NaN
1027123200,NaN,0.131809,NaN
1027209600,NaN,0.131486,NaN
1027296000,NaN,0.131164,NaN
1027382400,NaN,0.130842,NaN
1027468800,NaN,0.130519,NaN
1027555200,0.139400,0.130197,0.009203
1027641600,0.116400,0.129875,-0.013475
1027728000,NaN,0.129553,NaN
1027814400,NaN,0.129230,NaN
1027900800,0.121400,0.128908,-0.007508
1028678400,NaN,0.126008,NaN
1028764800,0.133200,0.125685,0.007515
1028851200,NaN,0.125363,NaN
1028937600,0.116400,0.125041,-0.008641
1029024000,NaN,0.124719,NaN
1029110400,NaN,0.124396,NaN
1029196800,NaN,0.124074,NaN
1029283200,0.085400,0.123752,-0.038352
1029369600,NaN,0.123430,NaN
1029456000,NaN,0.124842,NaN
1029542400,NaN,0.126254,NaN
1029628800,NaN,0.127666,NaN
1029715200,NaN,0.129078,NaN
1029801600,NaN,0.130490,NaN
1029888000,0.104400,0.131902,-0.027502
1029974400,NaN,0.133314,NaN
1030060800,0.100100,0.134726,-0.034626
1030147200,NaN,0.136138,NaN
1030233600,NaN,0.137550,NaN
1030320000,NaN,0.138962,NaN
1030406400,NaN,0.140374,NaN
1030492800,NaN,0.141786,NaN
1030579200,NaN,0.143198,NaN
1030665600,NaN,0.144610,NaN
1030752000,NaN,0.146022,NaN
1030838400,NaN,0.147434,NaN
1030924800,NaN,0.148846,NaN
1031011200,0.158300,0.150258,0.008042
1031097600,NaN,0.151670,NaN
1031184000,0.159700,0.153082,0.006618
1031270400,NaN,0.154494,NaN
1031356800,NaN,0.155906,NaN
1031443200,NaN,0.157318,NaN
1031529600,NaN,0.158730,NaN
1031616000,0.111000,0.160142,-0.049142
1031702400,NaN,0.161554,NaN
1031875200,NaN,0.164378,NaN
1031961600,NaN,0.165790,NaN
1032048000,NaN,0.167202,NaN
1032134400,NaN,0.166824,NaN
1032220800,0.118400,0.166446,-0.048046
1032307200,NaN,0.166068,NaN
1032393600,NaN,0.165690,NaN
1032480000,NaN,0.165312,NaN
1032566400,0.163800,0.164934,-0.001134
1032652800,NaN,0.164556,NaN
1032739200,NaN,0.164178,NaN
1032825600,NaN,0.163800,NaN
1032912000,NaN,0.163422,NaN
1032998400,NaN,0.163044,NaN
1033084800,NaN,0.162666,NaN
1033171200,0.150100,0.162288,-0.012188
1033257600,NaN,0.161910,NaN
1033344000,NaN,0.161532,NaN
1033430400,NaN,0.161154,NaN
1033516800,NaN,0.160775,NaN
1033603200,NaN,0.160397,NaN
1033689600,NaN,0.160019,NaN
1033776000,0.189200,0.159641,0.029559
1033862400,NaN,0.159263,NaN
1033948800,0.151300,0.158885,-0.007585
1034035200,NaN,0.158507,NaN
1034121600,NaN,0.158129,NaN
1034208000,NaN,0.157751,NaN
1034294400,NaN,0.157373,NaN
1034380800,0.159300,0.156995,0.002305
1034467200,NaN,0.156617,NaN
1034553600,NaN,0.156239,NaN
1034640000,NaN,0.155861,NaN
1034726400,NaN,0.155978,NaN
1034812800,0.167600,0.156095,0.011505
1034899200,NaN,0.156212,NaN
1034985600,NaN,0.156329,NaN
1035072000,NaN,0.156446,NaN
1035158400,NaN,0.156563,NaN
1035244800,NaN,0.156680,NaN
1035331200,NaN,0.156797,NaN
1035417600,NaN,0.156914,NaN
1035504000,NaN,0.157031,NaN
1035590400,NaN,0.157147,NaN
1035676800,NaN,0.157264,NaN
1035763200,NaN,0.157381,NaN
1035849600,NaN,0.157498,NaN
1035936000,NaN,0.157615,NaN
1036022400,NaN,0.157732,NaN
1036108800,0.103200,0.157849,-0.054649
1036195200,NaN,0.157966,NaN
1036281600,NaN,0.158083,NaN
1036368000,NaN,0.158200,NaN
1036454400,NaN,0.158317,NaN
1036540800,0.135600,0.158434,-0.022834
1036627200,0.137000,0.158551,-0.021551
1036713600,0.106500,0.158668,-0.052168
1036800000,NaN,0.158785,NaN
1036886400,0.099200,0.158902,-0.059702
1036972800,0.125000,0.159019,-0.034019
1037059200,NaN,0.159136,NaN
1037145600,NaN,0.159253,NaN
1037232000,0.257800,0.159370,0.098430
1037318400,NaN,0.159487,NaN
1037404800,NaN,0.160679,NaN
1037491200,NaN,0.161871,NaN
1037577600,0.217800,0.163063,0.054737
1037664000,0.138600,0.164255,-0.025656
1037750400,NaN,0.165448,NaN
1037836800,NaN,0.166640,NaN
1037923200,0.146500,0.167832,-0.021332
1038009600,0.119800,0.169024,-0.049224
1038096000,0.129400,0.170216,-0.040816
1038182400,NaN,0.171409,NaN
1038268800,NaN,0.172601,NaN
1038355200,NaN,0.173793,NaN
1038441600,NaN,0.174985,NaN
1038528000,0.084200,0.176177,-0.091977
1038614400,NaN,0.177369,NaN
1038700800,0.268400,0.178562,0.089838
1038787200,0.455800,0.179754,0.276046
1038873600,0.214700,0.180946,0.033754
1038960000,NaN,0.182138,NaN
1039046400,NaN,0.183330,NaN
1039132800,NaN,0.184522,NaN
1039219200,NaN,0.185715,NaN
1039305600,NaN,0.186907,NaN
1039392000,NaN,0.188099,NaN
1039478400,NaN,0.189291,NaN
1039564800,NaN,0.190483,NaN
1039651200,NaN,0.191676,NaN
1039737600,NaN,0.192868,NaN
1039824000,NaN,0.194060,NaN
1039910400,NaN,0.195252,NaN
1039996800,0.119200,0.194517,-0.075317
1040083200,NaN,0.193781,NaN
1040169600,NaN,0.193046,NaN
1040256000,0.091800,0.192311,-0.100511
1040342400,0.108000,0.191575,-0.083575
1040428800,0.089800,0.190840,-0.101040
1040515200,0.126200,0.190104,-0.063904
1040601600,NaN,0.189369,NaN
1040688000,NaN,0.188634,NaN
1040774400,0.158600,0.187898,-0.029298
1040860800,NaN,0.187163,NaN
1040947200,NaN,0.186427,NaN
1041033600,0.116800,0.185692,-0.068892
1041120000,0.130200,0.184957,-0.054757
1041206400,0.134400,0.184221,-0.049821
1041292800,NaN,0.183486,NaN
1041379200,NaN,0.182750,NaN
1041465600,NaN,0.182015,NaN
1041552000,NaN,0.181280,NaN
1041638400,0.205000,0.180544,0.024456
1041724800,0.197600,0.179809,0.017791
1041811200,0.162300,0.179074,-0.016774
1041897600,0.161000,0.178338,-0.017338
1041984000,0.148800,0.177603,-0.028803
1042070400,0.308500,0.176867,0.131633
1042156800,NaN,0.176132,NaN
1042243200,0.227700,0.175397,0.052303
1042329600,NaN,0.174661,NaN
1042416000,NaN,0.173926,NaN
1042502400,0.138900,0.173190,-0.034290
1042588800,0.162600,0.172455,-0.009855
1042675200,0.143600,0.173323,-0.029723
1042761600,NaN,0.174191,NaN
1042848000,NaN,0.175060,NaN
1042934400,0.266000,0.175928,0.090072
1043020800,0.228400,0.176796,0.051604
1043107200,0.795800,0.177664,0.618136
1043193600,NaN,0.178533,NaN
1043280000,NaN,0.179401,NaN
1043366400,0.164000,0.180269,-0.016269
1043452800,NaN,0.181137,NaN
1043539200,NaN,0.182005,NaN
1043625600,0.277800,0.182874,0.094926
1043712000,0.219400,0.183742,0.035658
1043798400,0.178200,0.184610,-0.006410
1043884800,NaN,0.185478,NaN
1043971200,NaN,0.186346,NaN
1044057600,0.189400,0.187215,0.002185
1044144000,NaN,0.188083,NaN
1044230400,NaN,0.188951,NaN
1044316800,NaN,0.189819,NaN
1044403200,NaN,0.190688,NaN
1044489600,NaN,0.191556,NaN
1044576000,NaN,0.192424,NaN
1044662400,NaN,0.193292,NaN
1044748800,NaN,0.194160,NaN
1044835200,0.226600,0.195029,0.031571
1044921600,0.160400,0.195897,-0.035497
1045008000,0.221100,0.196765,0.024335
1045094400,0.287400,0.197633,0.089767
1045180800,NaN,0.198501,NaN
1045267200,0.518400,0.199370,0.319030
1045353600,NaN,0.198757,NaN
1045440000,NaN,0.198144,NaN
1045526400,NaN,0.197531,NaN
1045612800,0.289200,0.196918,0.092282
1045699200,NaN,0.196305,NaN
1045785600,NaN,0.195692,NaN
1045872000,NaN,0.195079,NaN
1045958400,0.226800,0.194466,0.032334
1046044800,0.235000,0.193853,0.041147
1046131200,0.180800,0.193240,-0.012440
1046217600,NaN,0.192627,NaN
1046304000,NaN,0.192014,NaN
1046390400,NaN,0.191401,NaN
1046476800,NaN,0.190788,NaN
1046563200,NaN,0.190175,NaN
1046649600,NaN,0.189563,NaN
1046736000,NaN,0.188950,NaN
1046822400,NaN,0.188337,NaN
1046908800,NaN,0.187724,NaN
1046995200,NaN,0.187111,NaN
1047081600,NaN,0.186498,NaN
1047168000,NaN,0.185885,NaN
1047254400,0.174800,0.185272,-0.010472
1047340800,NaN,0.184659,NaN
1047427200,NaN,0.184046,NaN
1047513600,NaN,0.183433,NaN
1047600000,NaN,0.182820,NaN
1047686400,NaN,0.182207,NaN
