Time,mean,climatology,anomaly
1025740800,NaN,0.004218,NaN
1025827200,NaN,0.004208,NaN
1025913600,NaN,0.004197,NaN
1026000000,NaN,0.004187,NaN
1026086400,NaN,0.004176,NaN
1026172800,0.004938,0.004165,0.000773
1026259200,NaN,0.004155,NaN
1026345600,NaN,0.004144,NaN
1026432000,NaN,0.004134,NaN
1026518400,NaN,0.004123,NaN
1026604800,NaN,0.004113,NaN
1026691200,NaN,0.004102,NaN
1026777600,NaN,0.004102,NaN
1026864000,NaN,0.004102,NaN
1026950400,NaN,0.004103,NaN
1027036800,NaN,0.004103,NaN
1027123200,NaN,0.004103,NaN
1027209600,NaN,0.004103,NaN
1027296000,NaN,0.004104,NaN
1027382400,NaN,0.004104,NaN
1027468800,NaN,0.004104,NaN
1027555200,0.005328,0.004104,0.001224
1027641600,0.007767,0.004105,0.003662
1027728000,NaN,0.004105,NaN
1027814400,NaN,0.004105,NaN
1027900800,0.003646,0.004105,-0.000459
1028678400,0.007454,0.004107,0.003347
1028764800,0.008506,0.004108,0.004398
1028851200,0.010520,0.004108,0.006412
1028937600,0.007630,0.004108,0.003522
1029024000,0.010899,0.004108,0.006791
1029110400,NaN,0.004109,NaN
1029196800,NaN,0.004109,NaN
1029283200,0.002616,0.004109,-0.001493
1029369600,NaN,0.004109,NaN
1029456000,0.003278,0.004154,-0.000876
1029542400,NaN,0.004198,NaN
1029628800,NaN,0.004243,NaN
1029715200,NaN,0.004287,NaN
1029801600,NaN,0.004331,NaN
1029888000,NaN,0.004376,NaN
1029974400,NaN,0.004420,NaN
1030060800,0.002904,0.004465,-0.001561
1030147200,NaN,0.004509,NaN
1030233600,NaN,0.004554,NaN
1030320000,NaN,0.004598,NaN
1030406400,NaN,0.004642,NaN
1030492800,NaN,0.004687,NaN
1030579200,NaN,0.004731,NaN
1030665600,NaN,0.004776,NaN
1030752000,NaN,0.004820,NaN
1030838400,NaN,0.004865,NaN
1030924800,NaN,0.004909,NaN
1031011200,0.009865,0.004954,0.004911
1031097600,NaN,0.004998,NaN
1031184000,0.006528,0.005042,0.001486
1031270400,NaN,0.005087,NaN
1031356800,NaN,0.005131,NaN
1031443200,NaN,0.005176,NaN
1031529600,NaN,0.005220,NaN
1031616000,0.006530,0.005265,0.001265
1031702400,0.002250,0.005309,-0.003059
1031875200,NaN,0.005398,NaN
1031961600,NaN,0.005442,NaN
1032048000,NaN,0.005487,NaN
1032134400,NaN,0.005486,NaN
1032220800,NaN,0.005485,NaN
1032307200,NaN,0.005484,NaN
1032393600,NaN,0.005483,NaN
1032480000,NaN,0.005482,NaN
1032566400,0.007576,0.005481,0.002095
1032652800,NaN,0.005479,NaN
1032739200,0.004395,0.005478,-0.001083
1032825600,NaN,0.005477,NaN
1032912000,NaN,0.005476,NaN
1032998400,NaN,0.005475,NaN
1033084800,NaN,0.005474,NaN
1033171200,NaN,0.005473,NaN
1033257600,NaN,0.005472,NaN
1033344000,NaN,0.005471,NaN
1033430400,NaN,0.005470,NaN
1033516800,0.007282,0.005469,0.001813
1033603200,NaN,0.005468,NaN
1033689600,NaN,0.005467,NaN
1033776000,0.007026,0.005466,0.001560
1033862400,NaN,0.005465,NaN
1033948800,NaN,0.005464,NaN
1034035200,NaN,0.005463,NaN
1034121600,NaN,0.005462,NaN
1034208000,NaN,0.005461,NaN
1034294400,NaN,0.005460,NaN
1034380800,0.004904,0.005458,-0.000554
1034467200,NaN,0.005457,NaN
1034553600,NaN,0.005456,NaN
1034640000,NaN,0.005455,NaN
1034726400,NaN,0.005476,NaN
1034812800,0.005688,0.005497,0.000191
1034899200,0.008580,0.005518,0.003062
1034985600,NaN,0.005539,NaN
1035072000,NaN,0.005559,NaN
1035158400,0.007396,0.005580,0.001816
1035244800,NaN,0.005601,NaN
1035331200,NaN,0.005622,NaN
1035417600,NaN,0.005643,NaN
1035504000,NaN,0.005663,NaN
1035590400,NaN,0.005684,NaN
1035676800,NaN,0.005705,NaN
1035763200,NaN,0.005726,NaN
1035849600,NaN,0.005746,NaN
1035936000,NaN,0.005767,NaN
1036022400,NaN,0.005788,NaN
1036108800,0.005398,0.005809,-0.000411
1036195200,0.004442,0.005830,-0.001388
1036281600,NaN,0.005850,NaN
1036368000,NaN,0.005871,NaN
1036454400,NaN,0.005892,NaN
1036540800,0.012302,0.005913,0.006389
1036627200,0.006550,0.005934,0.000616
1036713600,0.007212,0.005954,0.001258
1036800000,NaN,0.005975,NaN
1036886400,0.004838,0.005996,-0.001158
1036972800,0.004902,0.006017,-0.001115
1037059200,NaN,0.006038,NaN
1037145600,0.006600,0.006058,0.000542
1037232000,0.003912,0.006079,-0.002167
1037318400,NaN,0.006100,NaN
1037404800,NaN,0.006128,NaN
1037491200,NaN,0.006155,NaN
1037577600,0.003680,0.006183,-0.002503
1037664000,0.007374,0.006210,0.001164
1037750400,NaN,0.006238,NaN
1037836800,NaN,0.006266,NaN
1037923200,0.008494,0.006293,0.002201
1038009600,0.002741,0.006321,-0.003580
1038096000,0.003119,0.006349,-0.003230
1038182400,0.001470,0.006376,-0.004906
1038268800,NaN,0.006404,NaN
1038355200,0.002080,0.006431,-0.004351
1038441600,NaN,0.006459,NaN
1038528000,0.002668,0.006487,-0.003819
1038614400,NaN,0.006514,NaN
1038700800,0.006239,0.006542,-0.000303
1038787200,NaN,0.006569,NaN
1038873600,0.005732,0.006597,-0.000865
1038960000,NaN,0.006625,NaN
1039046400,NaN,0.006652,NaN
1039132800,0.012027,0.006680,0.005347
1039219200,0.008838,0.006707,0.002131
1039305600,NaN,0.006735,NaN
1039392000,NaN,0.006763,NaN
1039478400,NaN,0.006790,NaN
1039564800,NaN,0.006818,NaN
1039651200,NaN,0.006846,NaN
1039737600,NaN,0.006873,NaN
1039824000,NaN,0.006901,NaN
1039910400,0.004291,0.006928,-0.002637
1039996800,0.002852,0.006907,-0.004055
1040083200,NaN,0.006886,NaN
1040169600,NaN,0.006865,NaN
1040256000,NaN,0.006843,NaN
1040342400,NaN,0.006822,NaN
1040428800,0.009394,0.006801,0.002593
1040515200,0.007802,0.006780,0.001022
1040601600,NaN,0.006759,NaN
1040688000,NaN,0.006737,NaN
1040774400,NaN,0.006716,NaN
1040860800,NaN,0.006695,NaN
1040947200,NaN,0.006674,NaN
1041033600,0.002508,0.006652,-0.004144
1041120000,0.002288,0.006631,-0.004343
1041206400,NaN,0.006610,NaN
1041292800,NaN,0.006589,NaN
1041379200,NaN,0.006567,NaN
1041465600,NaN,0.006546,NaN
1041552000,NaN,0.006525,NaN
1041638400,0.009104,0.006504,0.002600
1041724800,0.004942,0.006483,-0.001541
1041811200,0.003546,0.006461,-0.002915
1041897600,0.003460,0.006440,-0.002980
1041984000,NaN,0.006419,NaN
1042070400,0.003844,0.006398,-0.002554
1042156800,NaN,0.006376,NaN
1042243200,NaN,0.006355,NaN
1042329600,NaN,0.006334,NaN
1042416000,NaN,0.006313,NaN
1042502400,0.002238,0.006292,-0.004054
1042588800,0.002290,0.006270,-0.003980
1042675200,NaN,0.006272,NaN
1042761600,NaN,0.006274,NaN
1042848000,0.005270,0.006276,-0.001006
1042934400,0.003213,0.006278,-0.003065
1043020800,0.005674,0.006279,-0.000605
1043107200,NaN,0.006281,NaN
1043193600,NaN,0.006283,NaN
1043280000,NaN,0.006285,NaN
1043366400,0.003082,0.006287,-0.003205
1043452800,NaN,0.006288,NaN
1043539200,NaN,0.006290,NaN
1043625600,0.004312,0.006292,-0.001980
1043712000,NaN,0.006294,NaN
1043798400,0.004598,0.006296,-0.001698
1043884800,NaN,0.006297,NaN
1043971200,NaN,0.006299,NaN
1044057600,0.008418,0.006301,0.002117
1044144000,0.004804,0.006303,-0.001499
1044230400,NaN,0.006305,NaN
1044316800,NaN,0.006306,NaN
1044403200,0.004617,0.006308,-0.001691
1044489600,NaN,0.006310,NaN
1044576000,NaN,0.006312,NaN
1044662400,NaN,0.006314,NaN
1044748800,NaN,0.006316,NaN
1044835200,0.003344,0.006317,-0.002973
1044921600,0.002528,0.006319,-0.003791
1045008000,0.002966,0.006321,-0.003355
1045094400,0.001690,0.006323,-0.004633
1045180800,NaN,0.006325,NaN
1045267200,0.003958,0.006326,-0.002368
1045353600,NaN,0.006339,NaN
1045440000,NaN,0.006352,NaN
1045526400,NaN,0.006365,NaN
1045612800,0.008294,0.006377,0.001917
1045699200,NaN,0.006390,NaN
1045785600,NaN,0.006403,NaN
1045872000,NaN,0.006416,NaN
1045958400,0.008544,0.006428,0.002116
1046044800,0.004384,0.006441,-0.002057
1046131200,NaN,0.006454,NaN
1046217600,NaN,0.006467,NaN
1046304000,NaN,0.006479,NaN
1046390400,NaN,0.006492,NaN
1046476800,NaN,0.006505,NaN
1046563200,NaN,0.006518,NaN
1046649600,NaN,0.006530,NaN
1046736000,NaN,0.006543,NaN
1046822400,NaN,0.006556,NaN
1046908800,NaN,0.006569,NaN
1046995200,NaN,0.006581,NaN
1047081600,NaN,0.006594,NaN
1047168000,NaN,0.006607,NaN
1047254400,0.002320,0.006620,-0.004300
1047340800,NaN,0.006633,NaN
1047427200,NaN,0.006645,NaN
1047513600,NaN,0.006658,NaN
1047600000,NaN,0.006671,NaN
1047686400,NaN,0.006684,NaN
1047772800,0.009864,0.006657,0.003207
1047859200,NaN,0.006630,NaN
1047945600,NaN,0.006603,NaN
