Date,Mean,Climatology,Anomaly
2002-07-04,NaN,0.002134,NaN
2002-07-05,NaN,0.002131,NaN
2002-07-06,NaN,0.002128,NaN
2002-07-07,NaN,0.002125,NaN
2002-07-08,NaN,0.002122,NaN
2002-07-09,0.002486,0.002119,0.000367
2002-07-10,0.002090,0.002116,-0.000026
2002-07-11,NaN,0.002113,NaN
2002-07-12,NaN,0.002110,NaN
2002-07-13,NaN,0.002107,NaN
2002-07-14,NaN,0.002104,NaN
2002-07-15,NaN,0.002101,NaN
2002-07-16,NaN,0.002103,NaN
2002-07-17,NaN,0.002104,NaN
2002-07-18,NaN,0.002106,NaN
2002-07-19,NaN,0.002108,NaN
2002-07-20,NaN,0.002109,NaN
2002-07-21,NaN,0.002111,NaN
2002-07-22,NaN,0.002113,NaN
2002-07-23,NaN,0.002114,NaN
2002-07-24,NaN,0.002116,NaN
2002-07-25,NaN,0.002118,NaN
2002-07-26,0.004131,0.002119,0.002012
2002-07-27,NaN,0.002121,NaN
2002-07-28,NaN,0.002122,NaN
2002-07-29,0.001380,0.002124,-0.000744
2002-08-07,0.005161,0.002139,0.003022
2002-08-08,NaN,0.002140,NaN
2002-08-09,0.006630,0.002142,0.004488
2002-08-10,0.002690,0.002144,0.000546
2002-08-11,0.001869,0.002145,-0.000276
2002-08-12,NaN,0.002147,NaN
2002-08-13,NaN,0.002149,NaN
2002-08-14,NaN,0.002150,NaN
2002-08-15,NaN,0.002152,NaN
2002-08-16,0.002006,0.002183,-0.000177
2002-08-17,NaN,0.002214,NaN
2002-08-18,NaN,0.002245,NaN
2002-08-19,NaN,0.002276,NaN
2002-08-20,NaN,0.002306,NaN
2002-08-21,NaN,0.002337,NaN
2002-08-22,NaN,0.002368,NaN
2002-08-23,NaN,0.002399,NaN
2002-08-24,NaN,0.002430,NaN
2002-08-25,NaN,0.002461,NaN
2002-08-26,NaN,0.002492,NaN
2002-08-27,NaN,0.002523,NaN
2002-08-28,NaN,0.002554,NaN
2002-08-29,NaN,0.002585,NaN
2002-08-30,NaN,0.002615,NaN
2002-08-31,NaN,0.002646,NaN
2002-09-01,NaN,0.002677,NaN
2002-09-02,NaN,0.002708,NaN
2002-09-03,0.007412,0.002739,0.004673
2002-09-04,NaN,0.002770,NaN
2002-09-05,0.003903,0.002801,0.001102
2002-09-06,NaN,0.002832,NaN
2002-09-07,NaN,0.002863,NaN
2002-09-08,NaN,0.002893,NaN
2002-09-09,NaN,0.002924,NaN
2002-09-10,NaN,0.002955,NaN
2002-09-11,0.001056,0.002986,-0.001930
2002-09-13,NaN,0.003048,NaN
2002-09-14,NaN,0.003079,NaN
2002-09-15,NaN,0.003110,NaN
2002-09-16,NaN,0.003117,NaN
2002-09-17,NaN,0.003125,NaN
2002-09-18,NaN,0.003132,NaN
2002-09-19,NaN,0.003139,NaN
2002-09-20,NaN,0.003147,NaN
2002-09-21,0.001587,0.003154,-0.001567
2002-09-22,NaN,0.003161,NaN
2002-09-23,NaN,0.003169,NaN
2002-09-24,NaN,0.003176,NaN
2002-09-25,NaN,0.003183,NaN
2002-09-26,NaN,0.003191,NaN
2002-09-27,NaN,0.003198,NaN
2002-09-28,0.005345,0.003206,0.002139
2002-09-29,NaN,0.003213,NaN
2002-09-30,NaN,0.003220,NaN
2002-10-01,0.001972,0.003228,-0.001256
2002-10-02,0.002151,0.003235,-0.001084
2002-10-03,0.002360,0.003242,-0.000882
2002-10-04,NaN,0.003250,NaN
2002-10-05,0.003573,0.003257,0.000316
2002-10-06,NaN,0.003265,NaN
2002-10-07,0.002174,0.003272,-0.001098
2002-10-08,NaN,0.003279,NaN
2002-10-09,NaN,0.003287,NaN
2002-10-10,NaN,0.003294,NaN
2002-10-11,NaN,0.003301,NaN
2002-10-12,0.003555,0.003309,0.000246
2002-10-13,NaN,0.003316,NaN
2002-10-14,NaN,0.003323,NaN
2002-10-15,NaN,0.003331,NaN
2002-10-16,NaN,0.003342,NaN
2002-10-17,0.003490,0.003354,0.000136
2002-10-18,0.004032,0.003365,0.000667
2002-10-19,NaN,0.003377,NaN
2002-10-20,NaN,0.003388,NaN
2002-10-21,NaN,0.003400,NaN
2002-10-22,NaN,0.003411,NaN
2002-10-23,NaN,0.003423,NaN
2002-10-24,NaN,0.003434,NaN
2002-10-25,NaN,0.003446,NaN
2002-10-26,NaN,0.003457,NaN
2002-10-27,0.001707,0.003469,-0.001762
2002-10-28,NaN,0.003480,NaN
2002-10-29,NaN,0.003492,NaN
2002-10-30,NaN,0.003503,NaN
2002-10-31,NaN,0.003515,NaN
2002-11-01,0.002388,0.003526,-0.001138
2002-11-02,0.001384,0.003537,-0.002153
2002-11-03,NaN,0.003549,NaN
