Date,Mean,Climatology,Anomaly
2002-07-04,NaN,4.767956,NaN
2002-07-05,NaN,4.796457,NaN
2002-07-06,NaN,4.824959,NaN
2002-07-07,NaN,4.853460,NaN
2002-07-08,4.353134,4.881961,-0.528827
2002-07-09,NaN,4.910463,NaN
2002-07-10,NaN,4.938964,NaN
2002-07-11,NaN,4.967465,NaN
2002-07-12,NaN,4.995967,NaN
2002-07-13,NaN,5.024468,NaN
2002-07-14,NaN,5.052969,NaN
2002-07-15,NaN,5.081471,NaN
2002-07-16,NaN,5.081565,NaN
2002-07-17,NaN,5.081660,NaN
2002-07-18,NaN,5.081754,NaN
2002-07-19,NaN,5.081849,NaN
2002-07-20,NaN,5.081944,NaN
2002-07-21,NaN,5.082038,NaN
2002-07-22,NaN,5.082133,NaN
2002-07-23,NaN,5.082227,NaN
2002-07-24,NaN,5.082322,NaN
2002-07-25,NaN,5.082417,NaN
2002-07-26,NaN,5.082511,NaN
2002-07-27,NaN,5.082606,NaN
2002-07-28,NaN,5.082700,NaN
2002-07-29,9.692910,5.082795,4.610115
2002-08-07,NaN,5.083646,NaN
2002-08-08,NaN,5.083741,NaN
2002-08-09,NaN,5.083836,NaN
2002-08-10,NaN,5.083930,NaN
2002-08-11,NaN,5.084025,NaN
2002-08-12,NaN,5.084119,NaN
2002-08-13,NaN,5.084214,NaN
2002-08-14,NaN,5.084309,NaN
2002-08-15,NaN,5.084403,NaN
2002-08-16,8.551044,5.151892,3.399152
2002-08-17,NaN,5.219382,NaN
2002-08-18,6.604740,5.286871,1.317869
2002-08-19,NaN,5.354360,NaN
2002-08-20,NaN,5.421850,NaN
2002-08-21,16.520309,5.489339,11.030970
2002-08-22,NaN,5.556828,NaN
2002-08-23,3.811847,5.624318,-1.812471
2002-08-24,NaN,5.691807,NaN
2002-08-25,NaN,5.759296,NaN
2002-08-26,NaN,5.826786,NaN
2002-08-27,NaN,5.894275,NaN
2002-08-28,NaN,5.961764,NaN
2002-08-29,NaN,6.029253,NaN
2002-08-30,NaN,6.096743,NaN
