Time,mean,climatology,anomaly
1025740800,NaN,6.034874,NaN
1025827200,NaN,6.057112,NaN
1025913600,NaN,6.079349,NaN
1026000000,NaN,6.101587,NaN
1026086400,5.193341,6.123824,-0.930484
1026172800,4.659019,6.146062,-1.487043
1026259200,NaN,6.168300,NaN
1026345600,NaN,6.190537,NaN
1026432000,NaN,6.212775,NaN
1026518400,NaN,6.235012,NaN
1026604800,NaN,6.257250,NaN
1026691200,NaN,6.279488,NaN
1026777600,NaN,6.278379,NaN
1026864000,NaN,6.277270,NaN
1026950400,NaN,6.276161,NaN
1027036800,NaN,6.275052,NaN
1027123200,NaN,6.273944,NaN
1027209600,NaN,6.272835,NaN
1027296000,NaN,6.271726,NaN
1027382400,NaN,6.270617,NaN
1027468800,NaN,6.269508,NaN
1027555200,5.753004,6.268400,-0.515396
1027641600,5.590274,6.267291,-0.677017
1027728000,NaN,6.266182,NaN
1027814400,NaN,6.265073,NaN
1027900800,8.503469,6.263964,2.239504
1028678400,7.939782,6.253985,1.685797
1028764800,NaN,6.252877,NaN
1028851200,NaN,6.251768,NaN
1028937600,NaN,6.250659,NaN
1029024000,6.284203,6.249550,0.034652
1029110400,NaN,6.248441,NaN
1029196800,NaN,6.247333,NaN
1029283200,NaN,6.246224,NaN
1029369600,NaN,6.245115,NaN
1029456000,6.232597,6.236289,-0.003692
1029542400,NaN,6.227463,NaN
1029628800,NaN,6.218637,NaN
1029715200,NaN,6.209811,NaN
1029801600,NaN,6.200985,NaN
1029888000,NaN,6.192159,NaN
1029974400,NaN,6.183333,NaN
1030060800,6.740080,6.174507,0.565574
1030147200,NaN,6.165681,NaN
1030233600,NaN,6.156855,NaN
1030320000,NaN,6.148029,NaN
1030406400,NaN,6.139203,NaN
1030492800,NaN,6.130377,NaN
1030579200,NaN,6.121551,NaN
1030665600,NaN,6.112725,NaN
1030752000,NaN,6.103899,NaN
1030838400,NaN,6.095073,NaN
1030924800,NaN,6.086247,NaN
1031011200,6.032635,6.077421,-0.044786
1031097600,NaN,6.068594,NaN
1031184000,5.502400,6.059768,-0.557368
1031270400,NaN,6.050942,NaN
1031356800,NaN,6.042116,NaN
1031443200,NaN,6.033290,NaN
1031529600,NaN,6.024464,NaN
1031616000,NaN,6.015638,NaN
1031702400,3.254198,6.006812,-2.752615
1031875200,NaN,5.989160,NaN
1031961600,NaN,5.980334,NaN
1032048000,NaN,5.971508,NaN
1032134400,NaN,5.983421,NaN
1032220800,NaN,5.995334,NaN
1032307200,NaN,6.007247,NaN
1032393600,NaN,6.019160,NaN
1032480000,NaN,6.031072,NaN
1032566400,6.517824,6.042985,0.474839
1032652800,NaN,6.054898,NaN
1032739200,NaN,6.066811,NaN
1032825600,NaN,6.078724,NaN
1032912000,NaN,6.090636,NaN
1032998400,NaN,6.102549,NaN
1033084800,NaN,6.114462,NaN
1033171200,NaN,6.126375,NaN
1033257600,NaN,6.138288,NaN
1033344000,NaN,6.150200,NaN
1033430400,NaN,6.162113,NaN
1033516800,6.167212,6.174026,-0.006815
1033603200,5.704087,6.185939,-0.481852
1033689600,NaN,6.197852,NaN
1033776000,6.378657,6.209765,0.168893
1033862400,NaN,6.221677,NaN
1033948800,4.760979,6.233590,-1.472611
1034035200,NaN,6.245503,NaN
1034121600,NaN,6.257416,NaN
1034208000,NaN,6.269329,NaN
1034294400,NaN,6.281241,NaN
1034380800,4.994910,6.293154,-1.298244
1034467200,NaN,6.305067,NaN
1034553600,NaN,6.316980,NaN
1034640000,NaN,6.328893,NaN
1034726400,NaN,6.314857,NaN
1034812800,6.773418,6.300822,0.472596
1034899200,5.259926,6.286787,-1.026861
1034985600,NaN,6.272752,NaN
1035072000,NaN,6.258716,NaN
1035158400,NaN,6.244681,NaN
1035244800,NaN,6.230646,NaN
1035331200,NaN,6.216610,NaN
1035417600,NaN,6.202575,NaN
1035504000,NaN,6.188540,NaN
1035590400,NaN,6.174505,NaN
1035676800,NaN,6.160469,NaN
1035763200,NaN,6.146434,NaN
1035849600,NaN,6.132399,NaN
1035936000,NaN,6.118363,NaN
1036022400,NaN,6.104328,NaN
1036108800,5.142893,6.090293,-0.947400
1036195200,5.981448,6.076258,-0.094809
1036281600,NaN,6.062222,NaN
1036368000,NaN,6.048187,NaN
1036454400,NaN,6.034152,NaN
1036540800,5.982513,6.020116,-0.037604
1036627200,5.191663,6.006081,-0.814418
1036713600,5.018658,5.992046,-0.973388
1036800000,NaN,5.978011,NaN
1036886400,NaN,5.963975,NaN
1036972800,4.763569,5.949940,-1.186371
1037059200,NaN,5.935905,NaN
1037145600,NaN,5.921869,NaN
1037232000,6.061846,5.907834,0.154012
1037318400,5.652214,5.893799,-0.241585
1037404800,NaN,5.884546,NaN
1037491200,NaN,5.875292,NaN
1037577600,6.546470,5.866039,0.680431
1037664000,4.369102,5.856786,-1.487684
1037750400,NaN,5.847532,NaN
1037836800,NaN,5.838279,NaN
1037923200,5.641720,5.829026,-0.187306
1038009600,4.414227,5.819773,-1.405545
1038096000,5.552931,5.810519,-0.257589
1038182400,16.213869,5.801266,10.412603
1038268800,NaN,5.792013,NaN
1038355200,14.771019,5.782759,8.988260
1038441600,NaN,5.773506,NaN
1038528000,6.371245,5.764253,0.606992
1038614400,NaN,5.755000,NaN
1038700800,5.528960,5.745746,-0.216786
1038787200,4.892400,5.736493,-0.844093
1038873600,5.479571,5.727240,-0.247669
1038960000,NaN,5.717986,NaN
1039046400,NaN,5.708733,NaN
1039132800,5.164376,5.699480,-0.535104
1039219200,5.010193,5.690227,-0.680034
1039305600,NaN,5.680973,NaN
1039392000,NaN,5.671720,NaN
1039478400,NaN,5.662467,NaN
1039564800,NaN,5.653213,NaN
1039651200,NaN,5.643960,NaN
1039737600,NaN,5.634707,NaN
1039824000,NaN,5.625454,NaN
1039910400,6.400112,5.616200,0.783911
1039996800,8.175306,5.603150,2.572156
1040083200,NaN,5.590100,NaN
1040169600,NaN,5.577050,NaN
1040256000,NaN,5.564000,NaN
1040342400,NaN,5.550950,NaN
1040428800,5.882535,5.537900,0.344635
1040515200,8.272032,5.524850,2.747182
1040601600,NaN,5.511800,NaN
1040688000,NaN,5.498750,NaN
1040774400,NaN,5.485700,NaN
1040860800,NaN,5.472650,NaN
1040947200,NaN,5.459600,NaN
1041033600,5.482053,5.446550,0.035503
1041120000,6.817585,5.433500,1.384085
1041206400,NaN,5.420450,NaN
1041292800,NaN,5.407400,NaN
1041379200,NaN,5.394350,NaN
1041465600,NaN,5.381300,NaN
1041552000,NaN,5.368250,NaN
1041638400,4.910413,5.355200,-0.444787
1041724800,5.919073,5.342150,0.576923
1041811200,4.614110,5.329100,-0.714991
1041897600,5.665149,5.316050,0.349099
1041984000,4.570465,5.303000,-0.732535
1042070400,5.069764,5.289950,-0.220186
1042156800,NaN,5.276900,NaN
1042243200,NaN,5.263850,NaN
1042329600,NaN,5.250800,NaN
1042416000,NaN,5.237750,NaN
1042502400,5.323886,5.224700,0.099186
1042588800,4.663184,5.211650,-0.548466
1042675200,4.815627,5.208397,-0.392770
1042761600,NaN,5.205143,NaN
1042848000,5.672855,5.201890,0.470965
1042934400,5.137958,5.198637,-0.060679
1043020800,4.546847,5.195384,-0.648537
1043107200,NaN,5.192130,NaN
1043193600,NaN,5.188877,NaN
1043280000,NaN,5.185624,NaN
1043366400,3.780737,5.182370,-1.401633
1043452800,NaN,5.179117,NaN
1043539200,NaN,5.175864,NaN
1043625600,4.535077,5.172610,-0.637533
1043712000,5.381949,5.169357,0.212592
1043798400,4.384619,5.166104,-0.781485
1043884800,NaN,5.162851,NaN
1043971200,NaN,5.159597,NaN
1044057600,4.942194,5.156344,-0.214150
1044144000,4.554746,5.153091,-0.598345
1044230400,NaN,5.149837,NaN
1044316800,NaN,5.146584,NaN
1044403200,4.649251,5.143331,-0.494080
1044489600,NaN,5.140077,NaN
1044576000,NaN,5.136824,NaN
1044662400,NaN,5.133571,NaN
1044748800,NaN,5.130318,NaN
1044835200,4.793784,5.127064,-0.333280
1044921600,3.958578,5.123811,-1.165233
1045008000,4.704818,5.120558,-0.415740
1045094400,5.381989,5.117304,0.264685
1045180800,NaN,5.114051,NaN
1045267200,NaN,5.110798,NaN
1045353600,NaN,5.106496,NaN
1045440000,NaN,5.102193,NaN
1045526400,NaN,5.097891,NaN
1045612800,NaN,5.093589,NaN
1045699200,NaN,5.089287,NaN
1045785600,NaN,5.084985,NaN
1045872000,NaN,5.080682,NaN
1045958400,5.486295,5.076380,0.409915
1046044800,4.912313,5.072078,-0.159765
1046131200,NaN,5.067776,NaN
1046217600,NaN,5.063474,NaN
1046304000,NaN,5.059171,NaN
1046390400,NaN,5.054869,NaN
1046476800,NaN,5.050567,NaN
1046563200,NaN,5.046265,NaN
1046649600,NaN,5.041963,NaN
1046736000,NaN,5.037660,NaN
1046822400,NaN,5.033358,NaN
1046908800,NaN,5.029056,NaN
1046995200,NaN,5.024754,NaN
1047081600,NaN,5.020452,NaN
1047168000,NaN,5.016149,NaN
1047254400,7.597753,5.011847,2.585905
1047340800,NaN,5.007545,NaN
1047427200,NaN,5.003243,NaN
1047513600,NaN,4.998941,NaN
1047600000,NaN,4.994638,NaN
1047686400,NaN,4.990336,NaN
1047772800,NaN,5.015772,NaN
1047859200,NaN,5.041208,NaN
1047945600,NaN,5.066644,NaN
1048032000,NaN,5.092080,NaN
1048118400,NaN,5.117516,NaN
1048204800,NaN,5.142952,NaN
1048291200,4.598035,5.168388,-0.570353
1048377600,NaN,5.193824,NaN
