Time,mean,climatology,anomaly
1025740800,NaN,1.686853,NaN
1025827200,NaN,1.703755,NaN
1025913600,NaN,1.720658,NaN
1026000000,NaN,1.737560,NaN
1026086400,1.459556,1.754463,-0.294907
1026172800,NaN,1.771365,NaN
1026259200,NaN,1.788268,NaN
1026345600,NaN,1.805170,NaN
1026432000,NaN,1.822073,NaN
1026518400,NaN,1.838975,NaN
1026604800,NaN,1.855878,NaN
1026691200,1.257910,1.872780,-0.614870
1026777600,0.904972,1.856852,-0.951880
1026864000,0.944709,1.840924,-0.896215
1026950400,NaN,1.824996,NaN
1027036800,NaN,1.809068,NaN
1027123200,NaN,1.793139,NaN
1027209600,NaN,1.777211,NaN
1027296000,NaN,1.761283,NaN
1027382400,NaN,1.745355,NaN
1027468800,NaN,1.729426,NaN
1027555200,1.623756,1.713498,-0.089743
1027641600,1.267165,1.697570,-0.430405
1027728000,NaN,1.681642,NaN
1027814400,NaN,1.665714,NaN
1027900800,1.354940,1.649785,-0.294846
1028678400,NaN,1.506431,NaN
1028764800,1.566905,1.490503,0.076401
1028851200,NaN,1.474575,NaN
1028937600,1.267762,1.458647,-0.190885
1029024000,NaN,1.442718,NaN
1029110400,NaN,1.426790,NaN
1029196800,NaN,1.410862,NaN
1029283200,0.743995,1.394934,-0.650939
1029369600,NaN,1.379006,NaN
1029456000,NaN,1.400259,NaN
1029542400,NaN,1.421513,NaN
1029628800,NaN,1.442767,NaN
1029715200,NaN,1.464021,NaN
1029801600,NaN,1.485275,NaN
1029888000,1.058323,1.506528,-0.448205
1029974400,NaN,1.527782,NaN
1030060800,0.983443,1.549036,-0.565593
1030147200,NaN,1.570290,NaN
1030233600,NaN,1.591544,NaN
1030320000,NaN,1.612797,NaN
1030406400,NaN,1.634051,NaN
1030492800,NaN,1.655305,NaN
1030579200,NaN,1.676559,NaN
1030665600,NaN,1.697813,NaN
1030752000,NaN,1.719066,NaN
1030838400,NaN,1.740320,NaN
1030924800,NaN,1.761574,NaN
1031011200,2.014955,1.782828,0.232127
1031097600,NaN,1.804082,NaN
1031184000,2.039960,1.825335,0.214625
1031270400,NaN,1.846589,NaN
1031356800,NaN,1.867843,NaN
1031443200,NaN,1.889097,NaN
1031529600,NaN,1.910351,NaN
1031616000,1.172095,1.931604,-0.759510
1031702400,NaN,1.952858,NaN
1031875200,NaN,1.995366,NaN
1031961600,NaN,2.016620,NaN
1032048000,NaN,2.037873,NaN
1032134400,NaN,2.034528,NaN
1032220800,1.302590,2.031182,-0.728592
1032307200,NaN,2.027836,NaN
1032393600,NaN,2.024491,NaN
1032480000,NaN,2.021145,NaN
1032566400,2.112589,2.017799,0.094790
1032652800,NaN,2.014454,NaN
1032739200,NaN,2.011108,NaN
1032825600,NaN,2.007762,NaN
1032912000,NaN,2.004417,NaN
1032998400,NaN,2.001071,NaN
1033084800,NaN,1.997725,NaN
1033171200,1.869780,1.994380,-0.124600
1033257600,NaN,1.991034,NaN
1033344000,NaN,1.987688,NaN
1033430400,NaN,1.984343,NaN
1033516800,NaN,1.980997,NaN
1033603200,NaN,1.977651,NaN
1033689600,NaN,1.974306,NaN
1033776000,2.561268,1.970960,0.590308
1033862400,NaN,1.967614,NaN
1033948800,1.890489,1.964269,-0.073780
1034035200,NaN,1.960923,NaN
1034121600,NaN,1.957577,NaN
1034208000,NaN,1.954231,NaN
1034294400,NaN,1.950886,NaN
1034380800,2.032531,1.947540,0.084991
1034467200,NaN,1.944194,NaN
1034553600,NaN,1.940849,NaN
1034640000,NaN,1.937503,NaN
1034726400,NaN,1.938612,NaN
