Date,Mean,Climatology,Anomaly
2002-07-04,NaN,1.686853,NaN
2002-07-05,NaN,1.703755,NaN
2002-07-06,NaN,1.720658,NaN
2002-07-07,NaN,1.737560,NaN
2002-07-08,1.459556,1.754463,-0.294907
2002-07-09,NaN,1.771365,NaN
2002-07-10,NaN,1.788268,NaN
2002-07-11,NaN,1.805170,NaN
2002-07-12,NaN,1.822073,NaN
2002-07-13,NaN,1.838975,NaN
2002-07-14,NaN,1.855878,NaN
2002-07-15,1.257910,1.872780,-0.614870
2002-07-16,0.904972,1.856852,-0.951880
2002-07-17,0.944709,1.840924,-0.896215
2002-07-18,NaN,1.824996,NaN
2002-07-19,NaN,1.809068,NaN
2002-07-20,NaN,1.793139,NaN
2002-07-21,NaN,1.777211,NaN
2002-07-22,NaN,1.761283,NaN
2002-07-23,NaN,1.745355,NaN
2002-07-24,NaN,1.729426,NaN
2002-07-25,1.623756,1.713498,-0.089743
2002-07-26,1.267165,1.697570,-0.430405
2002-07-27,NaN,1.681642,NaN
2002-07-28,NaN,1.665714,NaN
2002-07-29,1.354940,1.649785,-0.294846
2002-08-07,NaN,1.506431,NaN
2002-08-08,1.566905,1.490503,0.076401
2002-08-09,NaN,1.474575,NaN
2002-08-10,1.267762,1.458647,-0.190885
2002-08-11,NaN,1.442718,NaN
2002-08-12,NaN,1.426790,NaN
2002-08-13,NaN,1.410862,NaN
2002-08-14,0.743995,1.394934,-0.650939
2002-08-15,NaN,1.379006,NaN
2002-08-16,NaN,1.400259,NaN
2002-08-17,NaN,1.421513,NaN
2002-08-18,NaN,1.442767,NaN
2002-08-19,NaN,1.464021,NaN
2002-08-20,NaN,1.485275,NaN
2002-08-21,1.058323,1.506528,-0.448205
2002-08-22,NaN,1.527782,NaN
2002-08-23,0.983443,1.549036,-0.565593
2002-08-24,NaN,1.570290,NaN
2002-08-25,NaN,1.591544,NaN
2002-08-26,NaN,1.612797,NaN
2002-08-27,NaN,1.634051,NaN
2002-08-28,NaN,1.655305,NaN
2002-08-29,NaN,1.676559,NaN
2002-08-30,NaN,1.697813,NaN
2002-08-31,NaN,1.719066,NaN
2002-09-01,NaN,1.740320,NaN
2002-09-02,NaN,1.761574,NaN
2002-09-03,2.014955,1.782828,0.232127
2002-09-04,NaN,1.804082,NaN
2002-09-05,2.039960,1.825335,0.214625
2002-09-06,NaN,1.846589,NaN
2002-09-07,NaN,1.867843,NaN
2002-09-08,NaN,1.889097,NaN
2002-09-09,NaN,1.910351,NaN
2002-09-10,1.172095,1.931604,-0.759510
2002-09-11,NaN,1.952858,NaN
2002-09-13,NaN,1.995366,NaN
2002-09-14,NaN,2.016620,NaN
2002-09-15,NaN,2.037873,NaN
