Time,mean,climatology,anomaly
1025740800,NaN,28.152381,NaN
1025827200,28.205000,28.200065,0.004935
1025913600,NaN,28.247748,NaN
1026000000,NaN,28.295432,NaN
1026086400,NaN,28.343115,NaN
1026172800,NaN,28.390799,NaN
1026259200,29.107498,28.438482,0.669016
1026345600,NaN,28.486166,NaN
1026518400,NaN,28.581533,NaN
1026604800,NaN,28.629216,NaN
1026691200,28.592499,28.676900,-0.084401
1026777600,NaN,28.682869,NaN
1026864000,29.080000,28.688839,0.391161
1026950400,NaN,28.694808,NaN
1027036800,NaN,28.700778,NaN
1027123200,30.279999,28.706747,1.573251
1027209600,NaN,28.712717,NaN
1027296000,NaN,28.718686,NaN
1027382400,NaN,28.724656,NaN
1027468800,NaN,28.730625,NaN
1027555200,29.014999,28.736595,0.278404
1027641600,29.324999,28.742564,0.582434
1027728000,NaN,28.748534,NaN
1027814400,29.219999,28.754503,0.465496
1027900800,29.144999,28.760473,0.384526
1028678400,NaN,28.814199,NaN
1028764800,28.484999,28.820168,-0.335169
1028851200,27.767498,28.826138,-1.058640
1028937600,27.090000,28.832107,-1.742107
1029024000,27.150000,28.838077,-1.688077
1029110400,NaN,28.844046,NaN
1029196800,27.637501,28.850016,-1.212515
1029283200,NaN,28.855985,NaN
1029369600,NaN,28.861955,NaN
1029456000,27.254999,28.801965,-1.546966
1029542400,NaN,28.741975,NaN
1029628800,NaN,28.681985,NaN
1029715200,NaN,28.621995,NaN
1029801600,NaN,28.562005,NaN
1029888000,27.670000,28.502015,-0.832015
1029974400,NaN,28.442025,NaN
1030060800,NaN,28.382035,NaN
1030147200,29.670000,28.322045,1.347955
1030233600,NaN,28.262055,NaN
1030320000,NaN,28.202065,NaN
1030406400,28.290001,28.142075,0.147926
1030492800,NaN,28.082085,NaN
1030579200,NaN,28.022095,NaN
1030665600,NaN,27.962105,NaN
1030752000,NaN,27.902115,NaN
1030838400,NaN,27.842125,NaN
1030924800,NaN,27.782135,NaN
1031011200,NaN,27.722145,NaN
1031097600,26.990000,27.662155,-0.672155
1031184000,NaN,27.602165,NaN
1031270400,NaN,27.542175,NaN
1031356800,27.955000,27.482185,0.472815
1031443200,NaN,27.422195,NaN
1031529600,27.617500,27.362205,0.255295
1031616000,NaN,27.302215,NaN
1031702400,NaN,27.242225,NaN
1031788800,27.232498,27.182235,0.050263
1031875200,NaN,27.122245,NaN
1031961600,NaN,27.062255,NaN
1032048000,NaN,27.002265,NaN
1032134400,26.875000,26.873755,0.001245
1032220800,NaN,26.745246,NaN
1032307200,26.965000,26.616736,0.348264
1032393600,NaN,26.488227,NaN
1032480000,27.750000,26.359717,1.390283
1032566400,NaN,26.231207,NaN
1032652800,NaN,26.102698,NaN
1032739200,27.347500,25.974188,1.373312
1032825600,NaN,25.845679,NaN
1032912000,NaN,25.717169,NaN
1032998400,NaN,25.588659,NaN
1033084800,NaN,25.460150,NaN
1033171200,26.642498,25.331640,1.310858
1033257600,NaN,25.203131,NaN
1033344000,27.150000,25.074621,2.075378
1033430400,NaN,24.946112,NaN
1033516800,26.775000,24.817602,1.957398
1033603200,26.939999,24.689092,2.250906
1033689600,27.047501,24.560583,2.486918
1033776000,NaN,24.432073,NaN
1033862400,NaN,24.303564,NaN
1033948800,27.744999,24.175054,3.569945
