Date,Mean,Climatology,Anomaly
2002-07-04,NaN,28.307950,NaN
2002-07-05,28.260000,28.354725,-0.094725
2002-07-06,NaN,28.401500,NaN
2002-07-07,NaN,28.448275,NaN
2002-07-08,NaN,28.495049,NaN
2002-07-09,NaN,28.541824,NaN
2002-07-10,29.010000,28.588599,0.421401
2002-07-11,NaN,28.635374,NaN
2002-07-13,NaN,28.728923,NaN
2002-07-14,NaN,28.775698,NaN
2002-07-15,28.754999,28.822473,-0.067474
2002-07-16,28.189999,28.824836,-0.634837
2002-07-17,29.309999,28.827198,0.482801
2002-07-18,NaN,28.829561,NaN
2002-07-19,NaN,28.831924,NaN
2002-07-20,30.244999,28.834286,1.410713
2002-07-21,NaN,28.836649,NaN
2002-07-22,NaN,28.839012,NaN
2002-07-23,NaN,28.841374,NaN
2002-07-24,NaN,28.843737,NaN
2002-07-25,29.025000,28.846100,0.178900
2002-07-26,29.459999,28.848462,0.611537
2002-07-27,NaN,28.850825,NaN
2002-07-28,29.494999,28.853188,0.641811
2002-07-29,29.539999,28.855550,0.684449
2002-08-07,NaN,28.876814,NaN
2002-08-08,28.644999,28.879177,-0.234178
2002-08-09,27.674999,28.881540,-1.206540
2002-08-10,NaN,28.883902,NaN
2002-08-11,27.059999,28.886265,-1.826266
2002-08-12,27.599998,28.888628,-1.288629
2002-08-13,27.465000,28.890990,-1.425990
2002-08-14,NaN,28.893353,NaN
2002-08-15,NaN,28.895716,NaN
2002-08-16,27.184999,28.835828,-1.650828
2002-08-17,NaN,28.775939,NaN
2002-08-18,NaN,28.716051,NaN
2002-08-19,NaN,28.656163,NaN
2002-08-20,NaN,28.596275,NaN
2002-08-21,28.154999,28.536386,-0.381388
2002-08-22,NaN,28.476498,NaN
2002-08-23,NaN,28.416610,NaN
2002-08-24,29.625000,28.356722,1.268278
2002-08-25,NaN,28.296833,NaN
2002-08-26,NaN,28.236945,NaN
2002-08-27,NaN,28.177057,NaN
2002-08-28,NaN,28.117169,NaN
2002-08-29,NaN,28.057281,NaN
2002-08-30,NaN,27.997392,NaN
2002-08-31,NaN,27.937504,NaN
2002-09-01,NaN,27.877616,NaN
2002-09-02,NaN,27.817728,NaN
2002-09-03,NaN,27.757839,NaN
2002-09-04,27.004999,27.697951,-0.692952
2002-09-05,27.379999,27.638063,-0.258064
2002-09-06,NaN,27.578175,NaN
2002-09-07,27.930000,27.518287,0.411714
2002-09-08,NaN,27.458398,NaN
2002-09-09,27.615000,27.398510,0.216490
2002-09-10,NaN,27.338622,NaN
2002-09-11,NaN,27.278734,NaN
2002-09-12,27.039999,27.218845,-0.178846
2002-09-13,27.597500,27.158957,0.438543
2002-09-14,NaN,27.099069,NaN
2002-09-15,NaN,27.039181,NaN
2002-09-16,26.860001,26.908088,-0.048087
2002-09-17,NaN,26.776995,NaN
2002-09-18,26.922501,26.645902,0.276599
2002-09-19,NaN,26.514809,NaN
2002-09-20,27.480000,26.383716,1.096284
2002-09-21,NaN,26.252623,NaN
2002-09-22,NaN,26.121530,NaN
2002-09-23,27.472500,25.990437,1.482063
2002-09-24,NaN,25.859344,NaN
2002-09-25,NaN,25.728251,NaN
2002-09-26,NaN,25.597158,NaN
2002-09-27,NaN,25.466065,NaN
2002-09-28,27.094999,25.334972,1.760027
2002-09-29,NaN,25.203879,NaN
2002-09-30,27.109999,25.072786,2.037213
2002-10-01,NaN,24.941693,NaN
2002-10-02,26.949999,24.810600,2.139399
2002-10-03,27.039999,24.679507,2.360492
2002-10-04,27.154999,24.548414,2.606585
2002-10-05,NaN,24.417321,NaN
2002-10-06,NaN,24.286228,NaN
2002-10-07,27.650000,24.155135,3.494864
2002-10-08,NaN,24.024042,NaN
2002-10-09,NaN,23.892949,NaN
2002-10-10,NaN,23.761856,NaN
2002-10-11,NaN,23.630763,NaN
2002-10-12,26.025000,23.499670,2.525329
2002-10-13,26.285000,23.368577,2.916422
2002-10-14,NaN,23.237484,NaN
2002-10-15,NaN,23.106391,NaN
2002-10-16,NaN,22.923164,NaN
2002-10-17,24.139999,22.739937,1.400063
2002-10-18,23.324999,22.556709,0.768289
2002-10-19,NaN,22.373482,NaN
2002-10-20,NaN,22.190255,NaN
2002-10-21,NaN,22.007027,NaN
2002-10-22,22.802500,21.823800,0.978700
2002-10-23,NaN,21.640573,NaN
2002-10-24,NaN,21.457345,NaN
2002-10-25,NaN,21.274118,NaN
2002-10-26,NaN,21.090891,NaN
2002-10-27,NaN,20.907663,NaN
2002-10-28,NaN,20.724436,NaN
2002-10-29,21.869999,20.541209,1.328790
