time,mean,climatology,anomaly
-323395200,0.920,0.907,0.013
-323308800,0.890,0.908,-0.018
-323222400,0.863,0.908,-0.045
-323136000,0.856,0.908,-0.052
-323049600,0.844,0.908,-0.064
-322963200,0.844,0.909,-0.064
-322876800,0.832,0.909,-0.077
-322790400,0.811,0.909,-0.098
-322704000,0.786,0.910,-0.123
-322617600,0.756,0.910,-0.154
-322531200,0.771,0.910,-0.139
-322444800,0.768,0.910,-0.142
-322358400,0.756,0.911,-0.155
-322272000,0.744,0.911,-0.167
-322185600,0.817,0.911,-0.094
-322099200,0.917,0.912,0.006
-322012800,0.875,0.912,-0.037
-321926400,0.887,0.912,-0.025
-321840000,0.930,0.913,0.017
-321753600,0.975,0.913,0.062
-321667200,0.954,0.914,0.040
-321580800,0.951,0.914,0.037
-321494400,0.951,0.914,0.037
-321408000,0.917,0.915,0.003
-321321600,0.896,0.915,-0.019
-321235200,0.878,0.916,-0.038
-321148800,0.869,0.916,-0.047
-321062400,0.847,0.916,-0.069
-320976000,0.835,0.917,-0.082
-320889600,0.826,0.917,-0.091
-320803200,0.829,0.918,-0.088
-320716800,0.823,0.918,-0.095
-320630400,0.802,0.918,-0.117
-320544000,0.771,0.919,-0.148
-320457600,0.768,0.919,-0.151
-320371200,0.786,0.919,-0.133
-320284800,0.783,0.920,-0.137
-320198400,0.777,0.920,-0.143
-320112000,0.786,0.921,-0.134
-320025600,0.860,0.921,-0.061
-319939200,0.860,0.921,-0.062
-319852800,0.832,0.922,-0.090
-319766400,0.826,0.922,-0.096
-319680000,0.792,0.923,-0.130
-319593600,0.789,0.923,-0.133
-319507200,0.796,0.923,-0.127
-319420800,0.777,0.923,-0.145
-319334400,1.088,0.923,0.166
-319248000,1.219,0.923,0.297
-319161600,1.228,0.922,0.306
-319075200,1.180,0.922,0.257
-318988800,1.100,0.922,0.178
-318902400,1.052,0.922,0.129
-318816000,1.039,0.922,0.117
-318729600,0.994,0.922,0.071
-318643200,0.969,0.922,0.047
-318556800,0.936,0.922,0.013
-318470400,0.863,0.922,-0.060
-318384000,0.844,0.922,-0.078
-318297600,0.844,0.922,-0.078
-318211200,0.841,0.922,-0.081
-318124800,0.832,0.922,-0.090
-318038400,0.829,0.922,-0.093
-317952000,0.832,0.922,-0.090
-317865600,0.841,0.922,-0.081
-317779200,0.786,0.922,-0.136
-317692800,0.750,0.922,-0.172
-317606400,0.732,0.922,-0.191
-317520000,0.725,0.922,-0.197
-317433600,0.710,0.922,-0.212
-317347200,0.698,0.922,-0.224
-317260800,0.671,0.922,-0.252
-317174400,0.646,0.922,-0.276
-317088000,0.637,0.922,-0.285
-317001600,0.628,0.922,-0.294
-316915200,0.622,0.922,-0.301
-316828800,0.604,0.922,-0.319
-316742400,0.597,0.922,-0.325
-316656000,0.585,0.923,-0.337
-316569600,0.594,0.923,-0.328
-316483200,0.600,0.923,-0.322
-316396800,0.649,0.923,-0.274
-316310400,0.680,0.923,-0.243
-316224000,0.738,0.923,-0.185
-316137600,0.759,0.923,-0.164
-316051200,0.762,0.923,-0.161
-315964800,0.771,0.923,-0.152
-315878400,0.753,0.923,-0.170
-315792000,0.728,0.923,-0.195
-315705600,0.716,0.923,-0.207
-315619200,0.710,0.923,-0.213
-315532800,0.713,0.923,-0.210
-315446400,0.707,0.924,-0.216
-315360000,0.671,0.924,-0.253
-315273600,0.658,0.924,-0.265
-315187200,0.649,0.924,-0.275
-315100800,0.652,0.924,-0.272
