Date,Mean,Climatology,Anomaly
2008-02-23,2.983992,3.150687,-0.166695
2008-02-24,3.087624,3.150465,-0.062841
2008-02-25,3.169920,3.150243,0.019677
2008-02-26,3.300984,3.150022,0.150962
2008-02-27,3.499104,3.149800,0.349304
2008-02-28,3.645408,3.149579,0.495829
2008-02-29,3.709416,3.149357,0.560059
2008-03-01,3.721608,3.149136,0.572472
2008-03-02,3.718560,3.148914,0.569646
2008-03-03,3.703320,3.148693,0.554627
2008-03-04,3.688080,3.148471,0.539609
2008-03-05,3.663696,3.148250,0.515446
2008-03-06,3.633216,3.148028,0.485188
2008-03-07,3.614928,3.147806,0.467122
2008-03-08,3.608832,3.147585,0.461247
2008-03-09,3.538728,3.147363,0.391365
2008-03-10,3.474720,3.147142,0.327578
2008-03-11,3.422904,3.146920,0.275984
2008-03-12,3.435096,3.146699,0.288397
2008-03-13,3.508248,3.146477,0.361771
2008-03-14,3.578352,3.146256,0.432096
2008-03-15,3.624072,3.142346,0.481726
2008-03-16,3.648456,3.138437,0.510019
2008-03-17,3.645408,3.134528,0.510880
2008-03-18,3.617976,3.130618,0.487358
2008-03-19,3.550920,3.126709,0.424211
2008-03-20,3.468624,3.122800,0.345824
2008-03-21,3.364992,3.118891,0.246101
2008-03-22,3.285744,3.114981,0.170763
2008-03-23,3.212592,3.111072,0.101520
2008-03-24,3.157728,3.107163,0.050565
2008-03-25,3.075432,3.103253,-0.027821
2008-03-26,3.044952,3.099344,-0.054392
2008-03-27,2.996184,3.095435,-0.099251
2008-03-28,2.974848,3.091525,-0.116677
2008-03-29,2.956560,3.087616,-0.131056
2008-03-30,2.983992,3.083707,-0.099715
2008-03-31,2.947416,3.079798,-0.132382
2008-04-01,2.871216,3.075888,-0.204672
2008-04-02,2.779776,3.071979,-0.292203
2008-04-03,2.746248,3.068070,-0.321822
2008-04-04,2.697480,3.064160,-0.366680
2008-04-05,2.633472,3.060251,-0.426779
2008-04-06,2.624328,3.056342,-0.432014
2008-04-07,2.691384,3.052433,-0.361049
2008-04-08,2.752344,3.048523,-0.296179
2008-04-09,2.795016,3.044614,-0.249598
2008-04-10,2.828544,3.040705,-0.212161
2008-04-11,2.877312,3.036795,-0.159483
2008-04-12,2.904744,3.032886,-0.128142
2008-04-13,2.941320,3.028977,-0.087657
2008-04-14,3.008376,3.025067,-0.016691
2008-04-15,3.081528,3.014926,0.066602
2008-04-16,3.139440,3.004785,0.134655
2008-04-17,3.145536,2.994644,0.150892
2008-04-18,3.136392,2.984503,0.151889
2008-04-19,3.093720,2.974362,0.119358
2008-04-20,3.029712,2.964221,0.065491
2008-04-21,2.956560,2.954080,0.002480
2008-04-22,2.892552,2.943938,-0.051386
2008-04-23,2.828544,2.933797,-0.105253
2008-04-24,2.767584,2.923656,-0.156072
2008-04-25,2.654808,2.913515,-0.258707
2008-04-26,2.505456,2.903374,-0.397918
2008-04-27,2.368296,2.893233,-0.524937
2008-04-28,2.267712,2.883092,-0.615380
2008-04-29,2.157984,2.872951,-0.714967
2008-04-30,2.261616,2.862810,-0.601194
2008-05-01,2.289048,2.852668,-0.563620
2008-05-02,2.328672,2.842527,-0.513855
2008-05-03,2.362200,2.832386,-0.470186
2008-05-04,2.392680,2.822245,-0.429565
2008-05-05,2.426208,2.812104,-0.385896
2008-05-06,2.435352,2.801963,-0.366611
2008-05-07,NaN,2.791822,NaN
2008-05-08,NaN,2.781681,NaN
2008-05-09,NaN,2.771539,NaN
2008-05-10,2.228088,2.761398,-0.533310
2008-05-11,2.234184,2.751257,-0.517073
2008-05-12,2.036064,2.741116,-0.705052
2008-05-13,2.264664,2.730975,-0.466311
2008-05-14,2.292096,2.720834,-0.428738
2008-05-15,2.289048,2.713821,-0.424773
2008-05-16,NaN,2.706807,NaN
2008-05-17,NaN,2.699794,NaN
2008-05-18,NaN,2.692781,NaN
2008-05-19,NaN,2.685768,NaN
2008-05-20,NaN,2.678755,NaN
2008-05-21,2.255520,2.671741,-0.416221
2008-05-22,2.255520,2.664728,-0.409208
2008-05-23,2.243328,2.657715,-0.414387
2008-05-24,2.221992,2.650702,-0.428710
2008-05-25,2.316480,2.643688,-0.327208
2008-05-26,2.237232,2.636675,-0.399443
2008-05-27,2.133600,2.629662,-0.496062
2008-05-28,2.081784,2.622649,-0.540865
2008-05-29,2.188464,2.615636,-0.427172
2008-05-30,2.206752,2.608622,-0.401870
2008-05-31,2.191512,2.601609,-0.410097
2008-06-01,2.176272,2.594596,-0.418324
2008-06-02,2.237232,2.587583,-0.350351
2008-06-03,2.292096,2.580569,-0.288473
2008-06-04,2.264664,2.573556,-0.308892
2008-06-05,2.273808,2.566543,-0.292735
2008-06-06,2.215896,2.559530,-0.343634
2008-06-07,2.218944,2.552517,-0.333573
2008-06-08,2.179320,2.545503,-0.366183
2008-06-09,2.124456,2.538490,-0.414034
2008-06-10,1.984248,2.531477,-0.547229
2008-06-11,1.935480,2.524464,-0.588984
2008-06-12,2.008632,2.517450,-0.508818
2008-06-13,2.017776,2.510437,-0.492661
2008-06-14,2.011680,2.503424,-0.491744
2008-06-15,1.944624,2.502353,-0.557729
2008-06-16,1.987296,2.501281,-0.513985
2008-06-17,1.941576,2.500210,-0.558634
2008-06-18,2.157984,2.499138,-0.341154
2008-06-19,2.161032,2.498067,-0.337035
2008-06-20,2.161032,2.496996,-0.335964
2008-06-21,2.045208,2.495924,-0.450716
2008-06-22,1.953768,2.494853,-0.541085
2008-06-23,1.953768,2.493781,-0.540013
2008-06-24,1.862328,2.492710,-0.630382
2008-06-25,1.828800,2.491639,-0.662839
2008-06-26,1.853184,2.490567,-0.637383
2008-06-27,1.834896,2.489496,-0.654600
2008-06-28,1.886712,2.488424,-0.601712
2008-06-29,1.880616,2.487353,-0.606737
2008-06-30,1.865376,2.486282,-0.620906
2008-07-01,2.081784,2.485210,-0.403426
2008-07-02,2.142744,2.484139,-0.341395
2008-07-03,2.127504,2.483067,-0.355563
2008-07-04,2.142744,2.481996,-0.339252
2008-07-05,2.112264,2.480925,-0.368661
2008-07-06,2.020824,2.479853,-0.459029
2008-07-07,1.959864,2.478782,-0.518918
2008-07-08,1.871472,2.477710,-0.606238
2008-07-09,1.795272,2.476639,-0.681367
2008-07-10,1.749552,2.475567,-0.726015
2008-07-11,1.792224,2.474496,-0.682272
2008-07-12,1.938528,2.473425,-0.534897
2008-07-13,2.029968,2.472353,-0.442385
2008-07-14,2.036064,2.471282,-0.435218
2008-07-15,2.124456,2.470565,-0.346109
2008-07-16,2.197608,2.469848,-0.272240
2008-07-17,2.209800,2.469131,-0.259331
2008-07-18,2.197608,2.468415,-0.270807
2008-07-19,2.121408,2.467698,-0.346290
2008-07-20,2.145792,2.466981,-0.321189
2008-07-21,2.057400,2.466264,-0.408864
2008-07-22,1.993392,2.465547,-0.472155
2008-07-23,2.005584,2.464831,-0.459247
2008-07-24,1.959864,2.464114,-0.504250
2008-07-25,2.020824,2.463397,-0.442573
2008-07-26,2.081784,2.462680,-0.380896
2008-07-27,2.090928,2.461963,-0.371035
2008-07-28,2.072640,2.461247,-0.388607
2008-07-29,2.087880,2.460530,-0.372650
2008-07-30,2.081784,2.459813,-0.378029
2008-07-31,2.072640,2.459096,-0.386456
2008-08-01,2.054352,2.458379,-0.404027
2008-08-02,2.054352,2.457663,-0.403311
2008-08-03,2.054352,2.456946,-0.402594
2008-08-04,2.069592,2.456229,-0.386637
2008-08-05,2.090928,2.455512,-0.364584
2008-08-06,1.935480,2.454795,-0.519315
2008-08-07,1.941576,2.454079,-0.512503
2008-08-08,1.975104,2.453362,-0.478258
2008-08-09,2.036064,2.452645,-0.416581
2008-08-10,2.014728,2.451928,-0.437200
2008-08-11,1.908048,2.451211,-0.543163
2008-08-12,2.066544,2.450495,-0.383951
2008-08-13,1.822704,2.449778,-0.627074
2008-08-14,2.182368,2.449061,-0.266693
2008-08-15,2.136648,2.446373,-0.309725
2008-08-16,2.106168,2.443686,-0.337518
2008-08-17,2.173224,2.440998,-0.267774
2008-08-18,2.176272,2.438310,-0.262038
2008-08-19,2.234184,2.435622,-0.201438
2008-08-20,2.298192,2.432935,-0.134743
2008-08-21,2.417064,2.430247,-0.013183
2008-08-22,2.563368,2.427559,0.135809
2008-08-23,2.343912,2.424871,-0.080959
2008-08-24,2.267712,2.422184,-0.154472
2008-08-25,2.261616,2.419496,-0.157880
2008-08-26,2.298192,2.416808,-0.118616
2008-08-27,2.316480,2.414121,-0.097641
2008-08-28,2.371344,2.411433,-0.040089
2008-08-29,2.362200,2.408745,-0.046545
2008-08-30,2.359152,2.406057,-0.046905
2008-08-31,2.359152,2.403370,-0.044218
2008-09-01,2.365248,2.400682,-0.035434
2008-09-02,2.353056,2.397994,-0.044938
2008-09-03,2.307336,2.395306,-0.087970
2008-09-04,2.273808,2.392619,-0.118811
2008-09-05,2.313432,2.389931,-0.076499
2008-09-06,2.157984,2.387243,-0.229259
2008-09-07,2.075688,2.384556,-0.308868
2008-09-08,2.087880,2.381868,-0.293988
2008-09-09,2.100072,2.379180,-0.279108
2008-09-10,2.121408,2.376492,-0.255084
2008-09-11,2.157984,2.373805,-0.215821
2008-09-12,2.179320,2.371117,-0.191797
2008-09-13,2.203704,2.368429,-0.164725
2008-09-14,2.231136,2.365741,-0.134605
2008-09-15,2.206752,2.362390,-0.155638
2008-09-16,2.200656,2.359039,-0.158383
2008-09-17,2.273808,2.355687,-0.081879
2008-09-18,2.334768,2.352336,-0.017568
2008-09-19,2.331720,2.348985,-0.017265
2008-09-20,2.356104,2.345633,0.010471
2008-09-21,2.350008,2.342282,0.007726
2008-09-22,2.304288,2.338930,-0.034642
2008-09-23,2.316480,2.335579,-0.019099
2008-09-24,2.371344,2.332228,0.039116
2008-09-25,2.350008,2.328876,0.021132
2008-09-26,NaN,2.325525,NaN
2008-09-27,NaN,2.322174,NaN
2008-09-28,NaN,2.318822,NaN
2008-09-29,NaN,2.315471,NaN
2008-09-30,2.185416,2.312119,-0.126703
2008-10-01,2.133600,2.308768,-0.175168
2008-10-02,2.161032,2.305417,-0.144385
2008-10-03,2.093976,2.302065,-0.208089
2008-10-04,2.014728,2.298714,-0.283986
2008-10-05,2.008632,2.295363,-0.286731
2008-10-06,2.072640,2.292011,-0.219371
2008-10-07,2.097024,2.288660,-0.191636
2008-10-08,2.106168,2.285308,-0.179140
2008-10-09,2.011680,2.281957,-0.270277
2008-10-10,2.078736,2.278606,-0.199870
2008-10-11,2.228088,2.275254,-0.047166
2008-10-12,2.273808,2.271903,0.001905
