time,mean,climatology,anomaly
1258761600,1.018,1.009,0.009
1258848000,1.073,1.008,0.065
1258934400,0.924,1.006,-0.082
1259020800,0.817,1.004,-0.187
1259107200,0.875,1.003,-0.128
1259193600,0.884,1.001,-0.117
1259280000,0.680,0.999,-0.319
1259366400,0.823,0.997,-0.175
1259452800,0.978,0.996,-0.017
1259539200,0.942,0.994,-0.052
1259625600,1.012,0.992,0.020
1259712000,1.137,0.991,0.146
1259798400,1.006,0.989,0.017
1259884800,1.027,0.987,0.040
1259971200,1.018,0.986,0.032
1260057600,1.036,0.984,0.052
1260144000,1.039,0.982,0.057
1260230400,1.070,0.981,0.089
1260316800,0.975,0.979,-0.004
1260403200,0.792,0.977,-0.185
1260489600,0.844,0.976,-0.131
1260576000,1.055,0.974,0.081
1260662400,1.049,0.972,0.076
1260748800,0.978,0.970,0.008
1260835200,0.966,0.969,-0.003
1260921600,1.045,0.967,0.078
1261008000,1.128,0.966,0.162
1261094400,NaN,0.964,NaN
1261180800,0.936,0.962,-0.027
1261267200,0.792,0.961,-0.168
1261353600,0.902,0.959,-0.057
1261440000,0.887,0.957,-0.070
1261526400,0.930,0.956,-0.026
1261612800,0.939,0.954,-0.015
1261699200,1.024,0.952,0.072
1261785600,0.856,0.951,-0.094
1261872000,0.893,0.949,-0.056
1261958400,0.872,0.948,-0.076
1262044800,0.924,0.946,-0.022
1262131200,1.106,0.944,0.162
1262217600,NaN,0.943,NaN
1262304000,NaN,0.941,NaN
1262390400,NaN,0.939,NaN
1262476800,NaN,0.938,NaN
1262563200,NaN,0.936,NaN
1262649600,NaN,0.935,NaN
1262736000,NaN,0.933,NaN
1262822400,0.841,0.931,-0.090
1262908800,0.814,0.930,-0.116
1262995200,0.850,0.928,-0.078
1263081600,0.856,0.926,-0.070
1263168000,0.890,0.925,-0.035
1263254400,0.646,0.923,-0.277
1263340800,0.853,0.921,-0.068
1263427200,0.853,0.920,-0.066
1263513600,0.863,0.918,-0.056
1263600000,0.844,0.918,-0.074
1263686400,0.811,0.919,-0.108
1263772800,0.661,0.919,-0.257
1263859200,0.747,0.919,-0.172
1263945600,0.732,0.919,-0.188
1264032000,0.924,0.919,0.004
1264118400,0.902,0.919,-0.017
1264204800,1.009,0.920,0.089
1264291200,1.015,0.920,0.095
1264377600,0.911,0.920,-0.009
1264464000,0.631,0.920,-0.289
1264550400,0.890,0.920,-0.030
1264636800,1.009,0.921,0.088
1264723200,1.079,0.921,0.158
1264809600,1.280,0.921,0.359
1264896000,1.262,0.921,0.341
1264982400,1.314,0.921,0.392
1265068800,1.250,0.922,0.328
1265155200,1.125,0.922,0.203
1265241600,1.100,0.922,0.178
1265328000,1.134,0.922,0.212
1265414400,0.878,0.922,-0.044
1265500800,0.866,0.922,-0.057
1265587200,0.960,0.923,0.037
1265673600,0.978,0.923,0.056
1265760000,0.704,0.923,-0.219
1265846400,0.774,0.923,-0.149
1265932800,1.030,0.923,0.107
1266019200,0.994,0.924,0.070
1266105600,0.969,0.924,0.045
1266192000,0.933,0.924,0.009
1266278400,0.768,0.925,-0.157
1266364800,0.753,0.926,-0.173
1266451200,0.625,0.927,-0.302
1266537600,0.823,0.928,-0.105
1266624000,0.841,0.929,-0.087
1266710400,0.872,0.930,-0.058
1266796800,0.930,0.930,-0.001
1266883200,0.975,0.931,0.044
1266969600,0.988,0.932,0.055
1267056000,0.954,0.933,0.021
1267142400,1.049,0.934,0.114
1267228800,1.027,0.935,0.092
1267315200,1.042,0.936,0.106
1267401600,1.134,0.937,0.197
1267488000,1.149,0.938,0.211
1267574400,0.911,0.939,-0.028
1267660800,0.988,0.940,0.048
1267747200,0.975,0.941,0.035
1267833600,0.948,0.942,0.006
1267920000,0.920,0.943,-0.022
1268006400,0.847,0.944,-0.096
1268092800,0.789,0.945,-0.155
1268179200,0.771,0.945,-0.174
1268265600,0.802,0.946,-0.145
1268352000,0.948,0.947,0.001
1268438400,0.869,0.948,-0.080
1268524800,0.744,0.949,-0.205
1268611200,0.863,0.950,-0.088
1268697600,1.003,0.951,0.052
1268784000,1.070,0.952,0.118
1268870400,1.052,0.953,0.099
1268956800,0.902,0.953,-0.051
1269043200,1.021,0.954,0.067
1269129600,1.006,0.955,0.051
1269216000,0.872,0.956,-0.084
1269302400,0.817,0.957,-0.140
1269388800,0.808,0.957,-0.150
1269475200,0.924,0.958,-0.035
1269561600,0.924,0.959,-0.035
1269648000,1.137,0.960,0.177
1269734400,1.128,0.961,0.167
1269820800,1.079,0.961,0.118
1269907200,1.097,0.962,0.135
1269993600,1.049,0.963,0.085
1270080000,0.896,0.964,-0.068
1270166400,1.042,0.965,0.078
1270252800,1.009,0.966,0.043
1270339200,0.957,0.966,-0.009
