Date,Mean,Climatology,Anomaly
2009-11-21,1.018032,1.009311,0.008721
2009-11-22,1.072896,1.007622,0.065274
2009-11-23,0.923544,1.005933,-0.082389
2009-11-24,0.816864,1.004244,-0.187380
2009-11-25,0.874776,1.002554,-0.127778
2009-11-26,0.883920,1.000865,-0.116945
2009-11-27,0.679704,0.999176,-0.319472
2009-11-28,0.822960,0.997487,-0.174527
2009-11-29,0.978408,0.995798,-0.017390
2009-11-30,0.941832,0.994108,-0.052276
2009-12-01,1.011936,0.992419,0.019517
2009-12-02,1.136904,0.990730,0.146174
2009-12-03,1.005840,0.989041,0.016799
2009-12-04,1.027176,0.987351,0.039825
2009-12-05,1.018032,0.985662,0.032370
2009-12-06,1.036320,0.983973,0.052347
2009-12-07,1.039368,0.982284,0.057084
2009-12-08,1.069848,0.980595,0.089253
2009-12-09,0.975360,0.978905,-0.003545
2009-12-10,0.792480,0.977216,-0.184736
2009-12-11,0.844296,0.975527,-0.131231
2009-12-12,1.054608,0.973838,0.080770
2009-12-13,1.048512,0.972149,0.076363
2009-12-14,0.978408,0.970459,0.007949
2009-12-15,0.966216,0.968770,-0.002554
2009-12-16,1.045464,0.967139,0.078325
2009-12-17,1.127760,0.965507,0.162253
2009-12-18,NaN,0.963876,NaN
2009-12-19,0.935736,0.962245,-0.026509
2009-12-20,0.792480,0.960614,-0.168134
2009-12-21,0.902208,0.958982,-0.056774
2009-12-22,0.886968,0.957351,-0.070383
2009-12-23,0.929640,0.955720,-0.026080
2009-12-24,0.938784,0.954088,-0.015304
2009-12-25,1.024128,0.952457,0.071671
2009-12-26,0.856488,0.950826,-0.094338
2009-12-27,0.893064,0.949194,-0.056130
2009-12-28,0.871728,0.947563,-0.075835
2009-12-29,0.923544,0.945932,-0.022388
2009-12-30,1.106424,0.944300,0.162124
2009-12-31,NaN,0.942669,NaN
2010-01-01,NaN,0.941038,NaN
2010-01-02,NaN,0.939406,NaN
2010-01-03,NaN,0.937775,NaN
2010-01-04,NaN,0.936144,NaN
2010-01-05,NaN,0.934512,NaN
2010-01-06,NaN,0.932881,NaN
2010-01-07,0.841248,0.931250,-0.090002
2010-01-08,0.813816,0.929618,-0.115802
2010-01-09,0.850392,0.927987,-0.077595
2010-01-10,0.856488,0.926356,-0.069868
2010-01-11,0.890016,0.924724,-0.034708
2010-01-12,0.646176,0.923093,-0.276917
2010-01-13,0.853440,0.921462,-0.068022
2010-01-14,0.853440,0.919830,-0.066390
2010-01-15,0.862584,0.918199,-0.055615
2010-01-16,0.844296,0.918385,-0.074089
2010-01-17,0.810768,0.918570,-0.107802
2010-01-18,0.661416,0.918756,-0.257340
2010-01-19,0.746760,0.918942,-0.172182
2010-01-20,0.731520,0.919127,-0.187607
2010-01-21,0.923544,0.919313,0.004231
2010-01-22,0.902208,0.919499,-0.017291
2010-01-23,1.008888,0.919684,0.089204
2010-01-24,1.014984,0.919870,0.095114
2010-01-25,0.911352,0.920056,-0.008704
2010-01-26,0.630936,0.920241,-0.289305
2010-01-27,0.890016,0.920427,-0.030411
2010-01-28,1.008888,0.920613,0.088275
2010-01-29,1.078992,0.920798,0.158194
2010-01-30,1.280160,0.920984,0.359176
2010-01-31,1.261872,0.921170,0.340702
2010-02-01,1.313688,0.921355,0.392333
2010-02-02,1.249680,0.921541,0.328139
2010-02-03,1.124712,0.921727,0.202985
2010-02-04,1.100328,0.921912,0.178416
2010-02-05,1.133856,0.922098,0.211758
2010-02-06,0.877824,0.922284,-0.044460
2010-02-07,0.865632,0.922469,-0.056837
2010-02-08,0.960120,0.922655,0.037465
2010-02-09,0.978408,0.922841,0.055567
2010-02-10,0.704088,0.923026,-0.218938
2010-02-11,0.774192,0.923212,-0.149020
2010-02-12,1.030224,0.923398,0.106826
2010-02-13,0.993648,0.923583,0.070065
2010-02-14,0.969264,0.923769,0.045495
2010-02-15,0.932688,0.923955,0.008733
2010-02-16,0.768096,0.924889,-0.156793
2010-02-17,0.752856,0.925824,-0.172968
2010-02-18,0.624840,0.926758,-0.301918
2010-02-19,0.822960,0.927692,-0.104732
2010-02-20,0.841248,0.928627,-0.087379
2010-02-21,0.871728,0.929561,-0.057833
2010-02-22,0.929640,0.930496,-0.000856
2010-02-23,0.975360,0.931430,0.043930
2010-02-24,0.987552,0.932365,0.055187
2010-02-25,0.954024,0.933299,0.020725
2010-02-26,1.048512,0.934234,0.114278
2010-02-27,1.027176,0.935168,0.092008
2010-02-28,1.042416,0.936102,0.106314
2010-03-01,1.133856,0.937037,0.196819
2010-03-02,1.149096,0.937971,0.211125
2010-03-03,0.911352,0.938906,-0.027554
2010-03-04,0.987552,0.939840,0.047712
2010-03-05,0.975360,0.940775,0.034585
