time,mean,climatology,anomaly
1249084800,39.643,38.577,1.066
1249171200,40.165,38.591,1.575
1249257600,40.404,38.604,1.800
1249344000,40.881,38.617,2.264
1249430400,41.304,38.630,2.674
1249516800,41.038,38.644,2.394
1249603200,40.829,38.657,2.172
1249689600,40.967,38.670,2.297
1249776000,41.275,38.683,2.592
1249862400,40.529,38.696,1.833
1249948800,40.217,38.710,1.507
1250035200,39.654,38.723,0.931
1250121600,39.400,38.736,0.664
1250208000,39.379,38.749,0.630
1250294400,40.250,38.763,1.487
1250380800,40.175,38.722,1.453
1250467200,40.691,38.681,2.010
1250553600,41.500,38.641,2.859
1250640000,41.987,38.600,3.387
1250726400,41.996,38.559,3.436
1250812800,42.205,38.519,3.686
1250899200,41.100,38.478,2.622
1250985600,41.108,38.438,2.671
1251072000,40.804,38.397,2.407
1251158400,41.078,38.356,2.721
1251244800,41.746,38.316,3.431
1251331200,41.254,38.275,2.979
1251417600,39.304,38.234,1.070
1251504000,40.358,38.194,2.165
1251590400,40.671,38.153,2.518
1251676800,40.593,38.112,2.480
1251763200,40.644,38.072,2.572
1251849600,40.580,38.031,2.549
1251936000,40.500,37.991,2.509
1252022400,40.738,37.950,2.788
1252108800,40.742,37.909,2.832
1252195200,40.675,37.869,2.806
1252281600,40.717,37.828,2.889
1252368000,40.465,37.787,2.678
1252454400,40.575,37.747,2.828
1252540800,40.813,37.706,3.106
1252627200,41.012,37.665,3.347
1252713600,41.000,37.625,3.375
1252800000,40.788,37.584,3.203
1252886400,40.533,37.543,2.990
1252972800,41.326,37.503,3.823
1253059200,40.570,37.429,3.141
1253145600,40.692,37.355,3.336
1253232000,41.061,37.281,3.780
1253318400,41.083,37.208,3.876
1253404800,40.888,37.134,3.754
1253491200,41.000,37.060,3.940
1253577600,40.891,36.986,3.905
1253664000,40.504,36.912,3.592
1253750400,40.336,36.838,3.498
1253836800,39.988,36.765,3.223
1253923200,39.933,36.691,3.243
1254009600,40.330,36.617,3.714
1254096000,40.004,36.543,3.461
1254182400,38.354,36.469,1.885
1254268800,37.983,36.395,1.587
1254355200,37.927,36.322,1.606
1254441600,38.075,36.248,1.827
1254528000,38.104,36.174,1.930
1254614400,38.126,36.100,2.026
1254700800,38.314,36.026,2.287
1254787200,38.183,35.952,2.230
1254873600,38.196,35.879,2.317
1254960000,38.280,35.805,2.475
1255046400,38.595,35.731,2.864
1255132800,37.895,35.657,2.238
1255219200,37.962,35.583,2.379
1255305600,37.868,35.509,2.359
1255392000,37.293,35.436,1.858
1255478400,37.260,35.362,1.898
1255564800,37.505,35.288,2.217
1255651200,38.409,35.220,3.189
1255737600,38.695,35.152,3.543
1255824000,38.585,35.084,3.501
1255910400,38.936,35.016,3.921
1255996800,38.695,34.948,3.748
1256083200,38.295,34.880,3.416
1256169600,38.496,34.812,3.684
1256256000,38.822,34.744,4.078
1256342400,39.077,34.675,4.402
1256428800,38.610,34.607,4.002
1256515200,38.985,34.539,4.446
1256601600,38.818,34.471,4.347
1256688000,38.452,34.403,4.049
1256774400,38.586,34.335,4.251
1256860800,37.657,34.267,3.389
1256947200,37.037,34.199,2.838
1257033600,37.705,34.131,3.574
1257120000,38.205,34.063,4.142
1257206400,38.645,33.995,4.651
1257292800,38.818,33.927,4.891
1257379200,38.710,33.859,4.851
1257465600,37.987,33.791,4.197
1257552000,37.670,33.723,3.947
1257638400,37.724,33.655,4.069
1257724800,37.239,33.587,3.653
1257811200,37.091,33.519,3.572
1257897600,36.871,33.451,3.421
1257984000,36.129,33.382,2.746
1258070400,36.748,33.314,3.433
1258156800,36.986,33.246,3.740
1258243200,37.352,33.178,4.174
