time,mean,climatology,anomaly
1249084800,30.891,31.258,-0.367
1249171200,31.361,31.257,0.103
1249257600,31.417,31.257,0.160
1249344000,31.976,31.256,0.720
1249430400,31.735,31.256,0.479
1249516800,30.742,31.255,-0.513
1249603200,31.158,31.254,-0.096
1249689600,31.871,31.254,0.617
1249776000,31.446,31.253,0.193
1249862400,31.242,31.253,-0.011
1249948800,32.046,31.252,0.794
1250035200,31.721,31.251,0.469
1250121600,32.025,31.251,0.774
1250208000,31.725,31.250,0.475
1250294400,30.987,31.250,-0.262
1250380800,28.287,31.211,-2.924
1250467200,29.782,31.173,-1.391
1250553600,30.725,31.134,-0.409
1250640000,30.354,31.095,-0.741
1250726400,30.957,31.057,-0.100
1250812800,31.182,31.018,0.164
1250899200,31.529,30.980,0.549
1250985600,33.000,30.941,2.059
1251072000,32.792,30.903,1.889
1251158400,31.872,30.864,1.008
1251244800,31.238,30.825,0.413
1251331200,30.962,30.787,0.176
1251417600,30.957,30.748,0.208
1251504000,31.862,30.710,1.153
1251590400,32.342,30.671,1.670
1251676800,33.186,30.633,2.553
1251763200,32.288,30.594,1.693
1251849600,32.160,30.556,1.604
1251936000,32.192,30.517,1.675
1252022400,32.221,30.478,1.742
1252108800,31.188,30.440,0.748
1252195200,28.375,30.401,-2.026
1252281600,29.829,30.363,-0.534
1252368000,30.596,30.324,0.271
1252454400,30.471,30.286,0.185
1252540800,30.029,30.247,-0.218
1252627200,30.962,30.208,0.754
1252713600,30.465,30.170,0.295
1252800000,30.117,30.131,-0.015
1252886400,30.086,30.093,-0.006
1252972800,30.857,30.054,0.802
1253059200,30.530,29.965,0.565
1253145600,30.496,29.876,0.620
1253232000,30.222,29.786,0.435
1253318400,30.346,29.697,0.649
1253404800,30.017,29.608,0.409
1253491200,30.805,29.519,1.286
1253577600,30.341,29.429,0.911
1253664000,30.113,29.340,0.772
1253750400,30.895,29.251,1.644
1253836800,30.533,29.162,1.372
1253923200,30.708,29.073,1.636
1254009600,30.748,28.983,1.765
